Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.7360222E-5,1.8501627E-5,0.001024869,55.39345,0.001006386,7.439883E-5,7.9290556E-5,0.0015796016,19.921686,0.00150043,9.0542925E-4,9.6498354E-4,0.0038715464,4.0120335,0.0029093705,0.009017491,0.0096127745,0.014252015,1.482612,0.0046842694
6.1,9.062689E-6,9.592193E-6,5.5852474E-4,58.22701,5.489378E-4,3.8839516E-5,4.1108804E-5,8.8277884E-4,21.474205,8.4170466E-4,4.727685E-4,5.003936E-4,0.002073228,4.143194,0.0015736218,0.0047176396,0.004993552,0.0076699154,1.5359639,0.0026897953
6.2,9.062689E-6,9.592193E-6,5.5852474E-4,58.22701,5.489378E-4,3.8839516E-5,4.1108804E-5,8.8277884E-4,21.474205,8.4170466E-4,4.727685E-4,5.003936E-4,0.002073228,4.143194,0.0015736218,0.0047176396,0.004993552,0.0076699154,1.5359639,0.0026897953
6.3,7.2575485E-6,7.66771E-6,4.8341017E-4,63.044926,4.7574608E-4,3.110341E-5,3.2861237E-5,6.36673E-4,19.37459,6.038316E-4,3.786182E-4,4.0001926E-4,0.0015706181,3.9263563,0.0011710674,0.0037797375,0.0039936965,0.0060713296,1.520228,0.0020859637
6.4,7.2575485E-6,7.66771E-6,4.8341017E-4,63.044926,4.7574608E-4,3.110341E-5,3.2861237E-5,6.36673E-4,19.37459,6.038316E-4,3.786182E-4,4.0001926E-4,0.0015706181,3.9263563,0.0011710674,0.0037797375,0.0039936965,0.0060713296,1.520228,0.0020859637
6.5,6.06582E-6,6.4038773E-6,4.089557E-4,63.86064,4.025544E-4,2.5996113E-5,2.7444936E-5,5.3977285E-4,19.667484,5.1234197E-4,3.164567E-4,3.3409733E-4,0.0013401471,4.0112476,0.001006386,0.0031600643,0.0033365893,0.0051420396,1.5411066,0.0018114947
6.6,5.598744E-6,5.910262E-6,3.9016447E-4,66.01475,3.8425648E-4,2.3994397E-5,2.5329486E-5,5.19361E-4,20.504206,4.9404404E-4,2.9209262E-4,3.0834923E-4,0.0012229634,3.9661634,9.148963E-4,0.0029170897,0.003079843,0.004703343,1.5271372,0.0016285155
6.7,5.246996E-6,5.539162E-6,3.5319786E-4,63.763767,3.4766062E-4,2.2486933E-5,2.3739085E-5,4.994739E-4,21.040148,4.7574608E-4,2.73744E-4,2.8899137E-4,0.0011670381,4.0383143,8.7830046E-4,0.0027340704,0.0028867796,0.004419368,1.5308992,0.0015370259
6.8,4.02324E-6,4.2469046E-6,2.4211894E-4,57.01069,2.3787304E-4,1.7242342E-5,1.8200926E-5,3.1096244E-4,17.084978,2.9276684E-4,2.099053E-4,2.2157968E-4,8.435713E-4,3.8070788,6.2212953E-4,0.0020970714,0.002214172,0.0033643888,1.5194795,0.0011527694
6.9,6.835972E-7,7.1399285E-7,5.5607736E-5,77.88277,5.489378E-5,2.9296991E-6,3.0599674E-6,7.6251454E-5,24.91904,7.319171E-5,3.56685E-5,3.7254784E-5,1.4703826E-4,3.9468286,1.0978756E-4,3.5662777E-4,3.7251666E-4,5.0055445E-4,1.3437102,1.2808549E-4
