Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.0320643E-5,6.635816E-5,0.008475548,127.72427,0.008409747,2.1564208E-4,2.843674E-4,0.011578586,40.717,0.011297432,0.0026222812,0.0034577388,0.020808078,6.0178285,0.017410541,0.02591553,0.034140717,0.05741581,1.68174,0.02409781
6.1,5.0320643E-5,6.635816E-5,0.008475548,127.72427,0.008409747,2.1564208E-4,2.843674E-4,0.011578586,40.717,0.011297432,0.0026222812,0.0034577388,0.020808078,6.0178285,0.017410541,0.02591553,0.034140717,0.05741581,1.68174,0.02409781
6.2,2.4125871E-5,3.0981035E-5,0.006430972,207.57768,0.0064001894,1.0339249E-4,1.3277028E-4,0.008625825,64.96804,0.0084941825,0.0012580766,0.001615439,0.014546877,9.004907,0.012952361,0.012509781,0.016070465,0.033516906,2.0856216,0.017731395
6.3,1.7433485E-5,2.2355514E-5,0.005594955,250.27182,0.005572724,7.471279E-5,9.580672E-5,0.0073734247,76.96146,0.0072783153,9.0924866E-4,0.0011659743,0.012264692,10.518836,0.011111674,0.009055373,0.011628896,0.026583731,2.2860065,0.01513079
6.4,1.7433485E-5,2.2355514E-5,0.005594955,250.27182,0.005572724,7.471279E-5,9.580672E-5,0.0073734247,76.96146,0.0072783153,9.0924866E-4,0.0011659743,0.012264692,10.518836,0.011111674,0.009055373,0.011628896,0.026583731,2.2860065,0.01513079
6.5,1.5182742E-5,1.9429144E-5,0.005406291,278.25677,0.0053869667,6.506727E-5,8.326596E-5,0.007107691,85.361305,0.0070250095,7.919061E-4,0.0010134429,0.011675238,11.5203705,0.010672611,0.0078909,0.010118429,0.024410756,2.4125047,0.014438421
6.6,6.7271576E-6,8.547361E-6,0.0042978195,502.82416,0.004289309,2.8830356E-5,3.6631063E-5,0.0056598103,154.50848,0.0056233853,3.5095305E-4,4.458976E-4,0.008548064,19.170464,0.00810578,0.0035039932,0.004467813,0.015025494,3.3630538,0.010605062
6.7,6.682835E-6,8.479807E-6,0.0042639785,502.83908,0.0042555346,2.8640408E-5,3.6341557E-5,0.0056257495,154.80211,0.005589611,3.4864116E-4,4.4237426E-4,0.00849393,19.200779,0.008055119,0.003480947,0.0044327388,0.014940356,3.370457,0.010554401
6.8,6.5774975E-6,8.32628E-6,0.0042638257,512.09247,0.0042555346,2.8188972E-5,3.5683603E-5,0.005608209,157.16487,0.005572724,3.4314668E-4,4.343669E-4,0.008469108,19.49759,0.008038232,0.0034261728,0.004352885,0.014827717,3.4064116,0.010520628
6.9,6.363419E-6,7.999454E-6,0.004246613,530.86285,0.004238648,2.727151E-5,3.428296E-5,0.0055899294,163.05272,0.005555837,3.3198006E-4,4.1732067E-4,0.008435318,20.213037,0.008021345,0.0033148455,0.0041828766,0.014609048,3.4925842,0.010469967
7.0,6.1342453E-6,7.6316555E-6,0.004212473,551.9737,0.0042048735,2.6289357E-5,3.2706717E-5,0.005554589,169.83023,0.005522063,3.2002592E-4,3.9813702E-4,0.008315006,20.884787,0.007920023,0.0031956544,0.003991571,0.014285188,3.5788388,0.01033487
7.1,5.842926E-6,7.142211E-6,0.0040093428,561.35876,0.0040022293,2.504087E-5,3.0609146E-5,0.0053160917,173.67656,0.0052856444,3.0482994E-4,3.7260808E-4,0.007901423,21.20572,0.007531621,0.0030441214,0.0037370329,0.013545387,3.624637,0.009845146
7.2,4.77173E-6,5.358483E-6,0.0024370796,454.80774,0.0024317342,2.045011E-5,2.2964748E-5,0.003383409,147.33055,0.0033605215,2.4895166E-4,2.79564E-4,0.005276731,18.874859,0.0049985647,0.0024867293,0.002808645,0.009308736,3.3143156,0.0065183984
