Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.877682E-5,1.9400702E-4,0.001153868,5.9475584,9.6004724E-4,4.2326056E-4,8.311939E-4,0.002110193,2.5387492,0.0012800631,0.0051410277,0.010072956,0.011900604,1.1814411,0.0018462448,0.05023708,0.09831428,0.10044513,1.0216739,0.0023631933
6.1,9.877682E-5,1.9400702E-4,0.001153868,5.9475584,9.6004724E-4,4.2326056E-4,8.311939E-4,0.002110193,2.5387492,0.0012800631,0.0051410277,0.010072956,0.011900604,1.1814411,0.0018462448,0.05023708,0.09831428,0.10044513,1.0216739,0.0023631933
6.2,9.877682E-5,1.9400702E-4,0.001153868,5.9475584,9.6004724E-4,4.2326056E-4,8.311939E-4,0.002110193,2.5387492,0.0012800631,0.0051410277,0.010072956,0.011900604,1.1814411,0.0018462448,0.05023708,0.09831428,0.10044513,1.0216739,0.0023631933
6.3,9.877682E-5,1.9400702E-4,0.001153868,5.9475584,9.6004724E-4,4.2326056E-4,8.311939E-4,0.002110193,2.5387492,0.0012800631,0.0051410277,0.010072956,0.011900604,1.1814411,0.0018462448,0.05023708,0.09831428,0.10044513,1.0216739,0.0023631933
6.4,9.877682E-5,1.9400702E-4,0.001153868,5.9475584,9.6004724E-4,4.2326056E-4,8.311939E-4,0.002110193,2.5387492,0.0012800631,0.0051410277,0.010072956,0.011900604,1.1814411,0.0018462448,0.05023708,0.09831428,0.10044513,1.0216739,0.0023631933
6.5,9.861474E-5,1.9374468E-4,0.001153606,5.9542584,9.6004724E-4,4.2256617E-4,8.300703E-4,0.0021090708,2.540834,0.0012800631,0.0051326132,0.010059402,0.011887075,1.181688,0.0018462448,0.050156746,0.098192066,0.100323215,1.0217038,0.0023631933
6.6,9.861474E-5,1.9374468E-4,0.001153606,5.9542584,9.6004724E-4,4.2256617E-4,8.300703E-4,0.0021090708,2.540834,0.0012800631,0.0051326132,0.010059402,0.011887075,1.181688,0.0018462448,0.050156746,0.098192066,0.100323215,1.0217038,0.0023631933
6.7,9.8552715E-5,1.9364421E-4,0.0011535055,5.9568295,9.6004724E-4,4.223004E-4,8.2964E-4,0.002108641,2.5416338,0.0012800631,0.0051293927,0.010054212,0.011881894,1.1817827,0.0018462448,0.050125998,0.098145254,0.100276515,1.0217153,0.0023631933
6.8,9.8464974E-5,1.9349584E-4,0.0011533573,5.960631,9.6004724E-4,4.219245E-4,8.290045E-4,0.0021080063,2.5428164,0.0012800631,0.0051248376,0.010046546,0.011874243,1.1819228,0.0018462448,0.05008251,0.09807528,0.1002067,1.0217326,0.0023631933
6.9,9.825824E-5,1.9317595E-4,0.0011530378,5.9688478,9.6004724E-4,4.2103877E-4,8.276344E-4,0.002106638,2.5453727,0.0012800631,0.0051141046,0.010030019,0.011857746,1.1822257,0.0018462448,0.049980022,0.09792438,0.10005616,1.0217696,0.0023631933
