Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.0667746E-5,3.5272755E-5,1.3373567E-4,3.7914722,9.8466386E-5,1.742787E-4,1.5116022E-4,2.7422459E-4,1.8141321,1.2308298E-4,0.0021197782,0.0018388226,0.0020108218,1.0935377,1.7231617E-4,0.020996714,0.018986892,0.019204235,1.011447,2.2154937E-4
6.1,4.0667746E-5,3.5272755E-5,1.3373567E-4,3.7914722,9.8466386E-5,1.742787E-4,1.5116022E-4,2.7422459E-4,1.8141321,1.2308298E-4,0.0021197782,0.0018388226,0.0020108218,1.0935377,1.7231617E-4,0.020996714,0.018986892,0.019204235,1.011447,2.2154937E-4
6.2,4.0667746E-5,3.5272755E-5,1.3373567E-4,3.7914722,9.8466386E-5,1.742787E-4,1.5116022E-4,2.7422459E-4,1.8141321,1.2308298E-4,0.0021197782,0.0018388226,0.0020108218,1.0935377,1.7231617E-4,0.020996714,0.018986892,0.019204235,1.011447,2.2154937E-4
6.3,4.0667746E-5,3.5272755E-5,1.3373567E-4,3.7914722,9.8466386E-5,1.742787E-4,1.5116022E-4,2.7422459E-4,1.8141321,1.2308298E-4,0.0021197782,0.0018388226,0.0020108218,1.0935377,1.7231617E-4,0.020996714,0.018986892,0.019204235,1.011447,2.2154937E-4
6.4,4.0577226E-5,3.5144654E-5,1.3360758E-4,3.8016472,9.8466386E-5,1.738908E-4,1.5061127E-4,2.7367572E-4,1.8170998,1.2308298E-4,0.0021150648,0.0018321523,0.0020041526,1.0938789,1.7231617E-4,0.020950472,0.018921461,0.019138817,1.0114874,2.2154937E-4
6.5,4.0577226E-5,3.5144654E-5,1.3360758E-4,3.8016472,9.8466386E-5,1.738908E-4,1.5061127E-4,2.7367572E-4,1.8170998,1.2308298E-4,0.0021150648,0.0018321523,0.0020041526,1.0938789,1.7231617E-4,0.020950472,0.018921461,0.019138817,1.0114874,2.2154937E-4
6.6,4.053861E-5,3.509E-5,1.3355294E-4,3.806011,9.8466386E-5,1.7372532E-4,1.5037706E-4,2.7344155E-4,1.8183726,1.2308298E-4,0.0021130538,0.0018293057,0.0020013065,1.0940253,1.7231617E-4,0.020930743,0.018893538,0.019110901,1.0115047,2.2154937E-4
6.7,4.0516545E-5,3.5059067E-5,1.33522E-4,3.808487,9.8466386E-5,1.7363077E-4,1.5024451E-4,2.73309E-4,1.8190948,1.2308298E-4,0.002111905,0.001827695,0.0019996963,1.0941082,1.7231617E-4,0.020919468,0.018877735,0.019095102,1.0115144,2.2154937E-4
6.8,4.049434E-5,3.5030633E-5,1.3349357E-4,3.810767,9.8466386E-5,1.7353562E-4,1.5012265E-4,2.7318715E-4,1.8197597,1.2308298E-4,0.0021107488,0.0018262138,0.0019982152,1.0941848,1.7231617E-4,0.020908125,0.018863149,0.019080518,1.0115235,2.2154937E-4
6.9,4.046386E-5,3.499319E-5,1.3345614E-4,3.8137743,9.8466386E-5,1.73405E-4,1.4996222E-4,2.7302673E-4,1.8206369,1.2308298E-4,0.0021091616,0.0018242638,0.0019962657,1.0942856,1.7231617E-4,0.020892553,0.01884392,0.019061295,1.0115355,2.2154937E-4
