Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30863586,0.0,0.20061,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
0.6172717,0.0,0.24201,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
0.9259076,0.0,0.26684,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.2345434,0.0,0.28575,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.5431793,0.0,0.30076,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.8518152,0.0,0.31303,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
2.160451,0.0,0.32403,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
2.469087,0.0,0.33323,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
2.7777228,0.0,0.34171,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
3.0863585,0.0,0.34972,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
3.3949945,0.0,0.35683,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
3.7036304,0.0,0.3634,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
4.012266,0.0,0.36967,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
4.320902,0.0,0.3752,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
4.629538,0.0,0.38057,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
4.938174,0.0,0.38502,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.2468095,0.0,0.38979,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.5554457,0.0,0.39406,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.8640814,0.0,0.39836,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.172717,0.0,0.40215,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.4813533,0.0,0.40612,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.789989,0.0,0.40957,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
7.0986247,0.0,0.41309,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
7.407261,0.0,0.41627,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
7.7158966,0.0,0.41949,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
8.024532,0.0,0.42277,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
8.333168,0.0,0.42577,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
8.641804,0.0,0.42871,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
8.95044,0.0,0.43149,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
9.259076,0.0,0.43407,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
9.567712,0.0,0.43668,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
9.876348,0.0,0.43945,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
10.184983,0.0,0.44182,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
10.493619,0.0,0.44398,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
10.802256,0.0,0.44629,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
11.110891,0.0,0.4485,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
11.419527,0.0,0.45093,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
11.728163,0.0,0.45312,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
12.0367985,0.0,0.45518,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
12.345434,0.0,0.45712,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
12.65407,0.0,0.45919,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
12.962707,0.0,0.46112,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
13.271342,0.0,0.4629,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
13.579978,0.0,0.46484,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
13.888614,0.0,0.46663,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
14.197249,0.0,0.46821,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
14.505885,0.0,0.46983,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
14.814522,0.0,0.47159,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
15.1231575,0.0,0.4735,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
15.431793,0.0,0.47499,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
15.740429,0.0,0.47657,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
16.049065,0.0,0.47819,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
16.3577,0.0,0.47971,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
16.666336,0.0,0.48117,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
16.974972,0.0,0.48248,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
17.283607,0.0,0.4839,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
17.592243,0.0,0.48555,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
17.90088,0.0,0.48717,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
18.209517,0.0,0.48865,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
18.518152,0.0,0.4901,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
18.826788,0.0,0.49165,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
19.135424,0.0,0.4931,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
19.44406,0.0,0.4944,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
19.752695,0.0,0.49551,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
20.06133,0.0,0.49681,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
20.369967,0.0,0.49821,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
20.678602,0.0,0.4994,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
20.987238,0.0,0.50063,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
21.295874,0.0,0.50213,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
21.604511,0.0,0.50352,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
21.913147,0.0,0.50457,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
22.221783,0.0,0.50576,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
22.530418,0.0,0.507,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
22.839054,0.0,0.50806,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
23.14769,0.0,0.50925,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
23.456326,0.0,0.51025,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
23.764961,0.0,0.51142,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
24.073597,0.0,0.51254,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
24.382233,0.0,0.51337,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
24.690868,0.0,0.51448,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
24.999504,0.0,0.51549,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
25.30814,0.0,0.51641,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0
25.616777,0.0,0.51762,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
25.925413,0.0,0.51875,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
26.234049,0.0,0.51975,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
26.542685,0.0,0.52081,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
26.85132,0.0,0.52173,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
27.159956,0.0,0.52271,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
27.468592,0.0,0.52357,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
27.777227,0.0,0.52454,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
28.085863,0.0,0.5254,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
28.394499,0.0,0.52626,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
28.703135,0.0,0.52726,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
29.01177,0.0,0.52819,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
29.320406,0.0,0.52912,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
29.629044,0.0,0.53011,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
29.93768,0.0,0.53103,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
30.246315,0.0,0.53177,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
30.55495,0.0,0.53264,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
30.863586,0.0,0.53353,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
31.172222,0.0,0.53429,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
31.480858,0.0,0.53501,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
31.789494,0.0,0.53605,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
32.09813,0.0,0.53693,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
32.406765,0.0,0.53777,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
32.7154,0.0,0.5385,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
33.024036,0.0,0.53935,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
33.332672,0.0,0.54024,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
33.641308,0.0,0.54117,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
33.949944,0.0,0.542,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
34.25858,0.0,0.54277,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
34.567215,0.0,0.54356,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
34.87585,0.0,0.54422,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
35.184486,0.0,0.54499,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
35.493126,0.0,0.54583,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
35.80176,0.0,0.54639,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
36.110397,0.0,0.5472,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
36.419033,0.0,0.54789,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
36.72767,0.0,0.54871,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
37.036304,0.0,0.54937,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
37.34494,0.0,0.55017,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
37.653576,0.0,0.55094,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
37.96221,0.0,0.55168,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
38.270847,0.0,0.55246,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
38.579483,0.0,0.55313,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
38.88812,0.0,0.55389,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
39.196754,0.0,0.55452,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
39.50539,0.0,0.55526,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
39.814026,0.0,0.55592,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
40.12266,0.0,0.55655,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
40.431297,0.0,0.55734,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
40.739933,0.0,0.55808,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
41.04857,0.0,0.55882,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
41.357204,0.0,0.55955,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
41.66584,0.0,0.56017,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
41.974476,0.0,0.56076,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
42.28311,0.0,0.56146,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
42.591747,0.0,0.56198,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
42.900383,0.0,0.56252,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
43.209023,0.0,0.56308,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
43.51766,0.0,0.56367,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
43.826294,0.0,0.56438,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
44.13493,0.0,0.56498,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
44.443565,0.0,0.56562,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
44.7522,0.0,0.5661,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
45.060837,0.0,0.56667,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
45.369473,0.0,0.56719,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
45.67811,0.0,0.56778,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
45.986744,0.0,0.56825,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
46.29538,0.0,0.56877,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
46.604015,0.0,0.56933,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
46.91265,0.0,0.56986,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
47.221287,0.0,0.5704,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
47.529922,0.0,0.57106,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
47.83856,0.0,0.57167,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
48.147194,0.0,0.57225,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
48.45583,0.0,0.5727,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
48.764465,0.0,0.57321,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
49.0731,0.0,0.57378,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
49.381737,0.0,0.57433,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
49.690372,0.0,0.575,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
49.99901,0.0,0.57557,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
50.307644,0.0,0.57614,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
50.61628,0.0,0.57675,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
50.924915,0.0,0.57736,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
51.233555,0.0,0.57783,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
51.54219,0.0,0.57834,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
51.850826,0.0,0.5789,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
52.159462,0.0,0.57955,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
52.468098,0.0,0.57999,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
52.776733,0.0,0.58048,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
53.08537,0.0,0.58112,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
53.394005,0.0,0.58154,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
53.70264,0.0,0.58205,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
54.011276,0.0,0.58258,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
54.319912,0.0,0.58309,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
54.628548,0.0,0.58352,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
54.937183,0.0,0.58388,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
55.24582,0.0,0.58433,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
55.554455,0.0,0.58481,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
55.86309,0.0,0.58533,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
56.171726,0.0,0.58594,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
56.480362,0.0,0.58639,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
56.788998,0.0,0.58683,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
57.097633,0.0,0.58721,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
57.40627,0.0,0.58766,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
57.714905,0.0,0.58813,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
58.02354,0.0,0.58871,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
58.332176,0.0,0.58908,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
58.640812,0.0,0.58949,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
58.94945,0.0,0.59004,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
59.258087,0.0,0.59054,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
59.566723,0.0,0.59102,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
59.87536,0.0,0.59146,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
60.183994,0.0,0.59183,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
60.49263,0.0,0.59233,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
60.801266,0.0,0.59285,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
61.1099,0.0,0.5933,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
61.418537,0.0,0.59364,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
61.727173,0.0,0.59402,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
62.03581,0.0,0.59451,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
62.344444,0.0,0.59501,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
62.65308,0.0,0.59549,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
62.961716,0.0,0.59585,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
63.27035,0.0,0.59627,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
