Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32400018,181.0,109.51116,106.0,103.0,54.0,794.0,80.0,92.0,124.0,160.0
0.64800036,254.0,201.17828,193.0,186.0,118.0,1468.0,153.0,171.0,225.0,303.0
0.97200054,311.0,286.99417,273.0,262.0,174.0,1883.0,220.0,243.0,320.0,442.0
1.2960007,368.0,367.37982,348.0,327.0,238.0,2278.0,283.0,311.0,410.0,575.0
1.6200008,415.0,440.6743,417.0,393.0,282.0,2854.0,341.0,373.0,491.0,700.0
1.9440011,456.0,501.41135,473.0,468.0,321.0,3406.0,388.0,423.0,560.0,801.0
2.2680013,491.0,553.6147,522.0,493.0,358.0,3971.0,428.0,467.0,619.0,890.0
2.5920014,526.0,599.42365,564.0,531.0,388.0,4326.0,463.0,505.0,670.0,970.0
2.9160016,552.0,640.37665,602.0,573.0,412.0,4740.0,494.0,539.0,716.0,1044.0
3.2400017,575.0,677.229,637.0,598.0,434.0,5119.0,523.0,569.0,758.0,1109.0
3.564002,595.0,710.87537,668.0,634.0,461.0,5365.0,549.0,597.0,796.0,1167.0
3.8880022,621.0,741.9525,696.0,664.0,480.0,5569.0,573.0,623.0,831.0,1223.0
4.2120023,639.0,770.59766,723.0,689.0,502.0,5727.0,594.0,647.0,864.0,1273.0
4.5360026,670.0,797.31744,748.0,714.0,514.0,5875.0,615.0,669.0,895.0,1321.0
4.8600025,693.0,822.20404,771.0,746.0,528.0,6210.0,634.0,689.0,923.0,1366.0
5.184003,719.0,845.60754,792.0,742.0,554.0,6353.0,652.0,708.0,949.0,1407.0
5.508003,736.0,867.6625,813.0,781.0,564.0,6491.0,668.0,726.0,974.0,1445.0
5.832003,748.0,888.5766,832.0,788.0,577.0,6621.0,684.0,744.0,998.0,1484.0
6.1560035,762.0,908.3571,850.0,809.0,587.0,6709.0,699.0,760.0,1020.0,1519.0
6.4800034,771.0,927.2473,868.0,793.0,599.0,6769.0,714.0,775.0,1041.0,1555.0
6.8040037,779.0,945.2603,884.0,814.0,611.0,6901.0,727.0,790.0,1062.0,1585.0
7.128004,788.0,962.63293,900.0,822.0,627.0,7426.0,740.0,804.0,1082.0,1620.0
7.452004,799.0,979.1728,916.0,876.0,640.0,7817.0,752.0,818.0,1101.0,1649.0
7.7760043,806.0,995.0858,930.0,876.0,650.0,8069.0,764.0,831.0,1119.0,1682.0
8.100004,814.0,1010.41656,944.0,884.0,665.0,8286.0,775.0,843.0,1136.0,1710.0
8.424005,825.0,1025.174,958.0,896.0,677.0,8472.0,787.0,855.0,1152.0,1735.0
8.748005,828.0,1039.3838,971.0,905.0,683.0,8652.0,797.0,867.0,1169.0,1760.0
9.072005,838.0,1053.1644,984.0,938.0,689.0,8790.0,808.0,878.0,1184.0,1783.0
9.396006,848.0,1066.431,996.0,930.0,697.0,8939.0,817.0,889.0,1199.0,1807.0
9.720005,858.0,1079.273,1008.0,955.0,701.0,9075.0,827.0,899.0,1214.0,1831.0
10.044005,868.0,1091.7167,1019.0,953.0,714.0,9181.0,836.0,909.0,1228.0,1853.0
10.368006,879.0,1103.7205,1030.0,935.0,721.0,9302.0,845.0,919.0,1242.0,1873.0
10.692006,887.0,1115.2994,1041.0,980.0,727.0,9385.0,854.0,928.0,1255.0,1893.0
11.016006,903.0,1126.5924,1051.0,990.0,732.0,9497.0,862.0,938.0,1268.0,1914.0
11.340006,907.0,1137.6201,1062.0,1005.0,735.0,9592.0,871.0,946.0,1281.0,1935.0
11.664006,916.0,1148.4211,1071.0,977.0,742.0,9647.0,879.0,955.0,1294.0,1956.0
11.988007,926.0,1158.8931,1081.0,1020.0,745.0,9724.0,887.0,963.0,1306.0,1976.0
12.312007,940.0,1169.063,1090.0,1043.0,750.0,9792.0,894.0,972.0,1318.0,1996.0
12.636007,944.0,1179.0153,1100.0,1060.0,761.0,9852.0,901.0,980.0,1329.0,2014.0
12.960007,949.0,1188.7294,1108.0,1054.0,764.0,9932.0,909.0,988.0,1340.0,2030.0
13.284007,956.0,1198.1594,1117.0,1030.0,765.0,9991.0,916.0,995.0,1350.0,2047.0
13.608007,963.0,1207.4839,1126.0,1062.0,768.0,10036.0,922.0,1003.0,1361.0,2069.0
13.932008,964.0,1216.5104,1134.0,1068.0,774.0,10089.0,929.0,1010.0,1371.0,2084.0
14.256008,968.0,1225.2892,1142.0,1047.0,778.0,10151.0,935.0,1017.0,1381.0,2100.0
14.5800085,971.0,1233.9346,1150.0,1063.0,786.0,10188.0,942.0,1024.0,1391.0,2115.0
14.904008,980.0,1242.454,1158.0,1092.0,791.0,10233.0,948.0,1031.0,1401.0,2131.0
15.228008,987.0,1250.8252,1166.0,1110.0,805.0,10294.0,954.0,1038.0,1411.0,2147.0
15.552009,992.0,1259.0175,1173.0,1130.0,807.0,10346.0,961.0,1044.0,1420.0,2163.0
15.876009,994.0,1267.0306,1180.0,1102.0,816.0,10398.0,966.0,1051.0,1430.0,2178.0
16.200008,995.0,1274.8495,1188.0,1083.0,822.0,10452.0,972.0,1057.0,1439.0,2193.0
16.52401,998.0,1282.4974,1195.0,1121.0,827.0,10491.0,978.0,1063.0,1447.0,2208.0
16.84801,1001.0,1290.0126,1201.0,1109.0,828.0,10537.0,983.0,1069.0,1456.0,2224.0
17.17201,1002.0,1297.3419,1208.0,1099.0,835.0,10568.0,989.0,1075.0,1465.0,2236.0
17.49601,1006.0,1304.6117,1215.0,1179.0,839.0,10602.0,994.0,1081.0,1473.0,2249.0
17.82001,1007.0,1311.7675,1221.0,1138.0,842.0,10638.0,999.0,1087.0,1481.0,2261.0
18.14401,1009.0,1318.8634,1228.0,1136.0,848.0,10671.0,1005.0,1092.0,1490.0,2274.0
18.46801,1014.0,1325.7759,1234.0,1156.0,851.0,10722.0,1010.0,1098.0,1498.0,2286.0
18.792011,1019.0,1332.6407,1240.0,1161.0,855.0,10751.0,1015.0,1104.0,1506.0,2299.0
19.11601,1021.0,1339.348,1247.0,1163.0,861.0,10785.0,1019.0,1109.0,1514.0,2311.0
19.44001,1023.0,1345.9736,1253.0,1159.0,864.0,10810.0,1024.0,1114.0,1521.0,2325.0
19.764011,1025.0,1352.433,1259.0,1198.0,870.0,10836.0,1029.0,1119.0,1529.0,2338.0
20.08801,1039.0,1358.7928,1264.0,1238.0,874.0,10873.0,1033.0,1124.0,1536.0,2349.0
20.412012,1043.0,1365.0795,1270.0,1205.0,879.0,10901.0,1038.0,1129.0,1543.0,2362.0
20.736012,1045.0,1371.2805,1276.0,1191.0,884.0,10924.0,1043.0,1134.0,1550.0,2374.0
21.06001,1047.0,1377.3458,1281.0,1181.0,887.0,10944.0,1048.0,1139.0,1557.0,2385.0
21.384012,1049.0,1383.374,1287.0,1203.0,893.0,10991.0,1052.0,1144.0,1565.0,2397.0
21.708012,1052.0,1389.2981,1293.0,1207.0,894.0,11032.0,1056.0,1149.0,1572.0,2409.0
22.032013,1055.0,1395.1006,1298.0,1201.0,896.0,11064.0,1060.0,1154.0,1578.0,2417.0
22.356012,1056.0,1400.8492,1303.0,1212.0,897.0,11099.0,1065.0,1158.0,1586.0,2426.0
22.680012,1058.0,1406.5142,1309.0,1264.0,899.0,11140.0,1069.0,1163.0,1592.0,2438.0
23.004013,1062.0,1412.0907,1314.0,1235.0,901.0,11170.0,1073.0,1167.0,1598.0,2448.0
