Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.0552754E-4,6.066091E-4,1.1999526,1.0113269E-4,0.0011778869,0.002164787,0.0022657008,1.0466161,1.0113269E-4,0.0142467655,0.026038699,0.026235698,1.0075656,2.0226538E-4,0.13367249,0.2280438,0.22819993,1.0006847,2.0226538E-4
6.1,2.5356023E-4,4.8656776E-4,5.876513E-4,1.2077479,1.0113269E-4,0.001086234,0.0020836622,0.0021845843,1.0484349,1.0113269E-4,0.013144928,0.025071215,0.02526841,1.0078653,2.0226538E-4,0.123940155,0.21947981,0.21963768,1.0007193,2.0226538E-4
6.2,2.4820742E-4,4.7752203E-4,5.7860644E-4,1.2116853,1.0113269E-4,0.0010633124,0.0020449557,0.0021458815,1.0493536,1.0113269E-4,0.01286919,0.024611235,0.024808522,1.0080161,2.0226538E-4,0.12148927,0.21598552,0.2161441,1.0007342,2.0226538E-4
6.3,2.3205351E-4,4.5890483E-4,5.599911E-4,1.2202772,1.0113269E-4,9.94136E-4,0.0019652895,0.0020662234,1.0513583,1.0113269E-4,0.012036599,0.02366133,0.02385881,1.0083461,2.0226538E-4,0.11405133,0.20793462,0.20809482,1.0007704,2.0226538E-4
6.4,2.0304754E-4,3.987652E-4,4.9985753E-4,1.2535135,1.0113269E-4,8.6991355E-4,0.0017078889,0.0018088489,1.0591139,1.0113269E-4,0.010539869,0.020595672,0.020793771,1.0096185,2.0226538E-4,0.100537635,0.1850669,0.18523173,1.0008906,2.0226538E-4
6.5,1.854992E-4,3.6988858E-4,4.7098385E-4,1.2733128,1.0113269E-4,7.9475436E-4,0.0015842861,0.0016852586,1.0637337,1.0113269E-4,0.009633281,0.01911948,0.01931788,1.0103768,2.0226538E-4,0.0922623,0.173298,0.17346522,1.0009649,2.0226538E-4
6.6,1.6586106E-4,3.403506E-4,4.4144888E-4,1.2970415,1.0113269E-4,7.106394E-4,0.0014578402,0.0015588255,1.0692705,1.0113269E-4,0.008617763,0.01760642,0.017805124,1.0112859,2.0226538E-4,0.08291132,0.16077545,0.16094519,1.0010558,2.0226538E-4
6.7,1.4224656E-4,3.076692E-4,4.0877075E-4,1.3286048,1.0113269E-4,6.094856E-4,0.001317924,0.0014189235,1.0766352,1.0113269E-4,0.0073952693,0.015929576,0.01612862,1.0124952,2.0226538E-4,0.07153955,0.14648417,0.1466568,1.0011785,2.0226538E-4
6.8,1.2317259E-4,2.779122E-4,3.7901677E-4,1.3638004,1.0113269E-4,5.2777573E-4,0.0011905148,0.0012915271,1.0848476,1.0113269E-4,0.0064067547,0.0143995695,0.014499246,1.0069221,1.0113269E-4,0.06225166,0.13293684,0.13302451,1.0006596,1.0113269E-4
6.9,9.859898E-5,2.5014306E-4,3.5125043E-4,1.4041983,1.0113269E-4,4.2249862E-4,0.0010716055,0.0011726298,1.0942738,1.0113269E-4,0.0051317946,0.012969712,0.013069533,1.0076965,1.0113269E-4,0.05014893,0.11940631,0.11949537,1.0007458,1.0113269E-4
7.0,7.3191884E-5,2.1266776E-4,3.1377893E-4,1.4754419,1.0113269E-4,3.136418E-4,9.1111806E-4,0.0010121586,1.1108973,1.0113269E-4,0.003811904,0.011037128,0.011137144,1.0090618,1.0113269E-4,0.037471764,0.10206493,0.10215574,1.0008898,1.0113269E-4
7.1,7.1760296E-5,2.0968143E-4,3.107929E-4,1.4822148,1.0113269E-4,3.0750787E-4,8.983284E-4,9.993702E-4,1.1124777,1.0113269E-4,0.003737482,0.010882978,0.01098301,1.0091916,1.0113269E-4,0.03675245,0.10070146,0.10079241,1.0009031,1.0113269E-4
7.2,6.46614E-5,1.9136685E-4,2.924802E-4,1.5283743,1.0113269E-4,2.7709085E-4,8.1988896E-4,9.209387E-4,1.1232481,1.0113269E-4,0.0033683628,0.0099370815,0.010037209,1.0100762,1.0113269E-4,0.033177625,0.09250898,0.092600755,1.0009921,1.0113269E-4
7.3,6.088115E-5,1.78084E-4,2.7919866E-4,1.567792,1.0113269E-4,2.6089314E-4,7.6299673E-4,8.640523E-4,1.1324456,1.0113269E-4,0.0031717476,0.009250494,0.009350691,1.0108316,1.0113269E-4,0.031268585,0.08655989,0.08665227,1.0010673,1.0113269E-4
