Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.1,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.2,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.3,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.4,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.5,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.6,6.5124755E-6,6.6592643E-6,6.6592643E-6,1.0,0.0,2.791031E-5,2.8539416E-5,1.4468012E-4,5.069484,1.16144016E-4,3.3975503E-4,3.4741635E-4,4.6352003E-4,1.3341917,1.16144016E-4,0.0033923604,0.003469164,0.003584905,1.0333629,1.16144016E-4
6.7,3.5261137E-6,3.6098995E-6,3.6098995E-6,1.0,0.0,1.5111828E-5,1.547091E-5,1.547091E-5,1.0,0.0,1.8397097E-4,1.883427E-4,1.883427E-4,1.0,0.0,0.0018381875,0.0018818958,0.0018818958,1.0,0.0
6.8,3.370743E-6,3.4509355E-6,3.4509355E-6,1.0,0.0,1.4445961E-5,1.47896435E-5,1.47896435E-5,1.0,0.0,1.7586538E-4,1.8004965E-4,1.8004965E-4,1.0,0.0,0.0017572626,0.0017990996,0.0017990996,1.0,0.0
6.9,2.2756835E-6,2.333161E-6,2.333161E-6,1.0,0.0,9.752893E-6,9.999225E-6,9.999225E-6,1.0,0.0,1.18735006E-4,1.2173401E-4,1.2173401E-4,1.0,0.0,0.0011867158,0.0012166979,0.0012166979,1.0,0.0
7.0,2.1617404E-6,2.21598E-6,2.21598E-6,1.0,0.0,9.264569E-6,9.497024E-6,9.497024E-6,1.0,0.0,1.1279029E-4,1.1562037E-4,1.1562037E-4,1.0,0.0,0.0011273306,0.0011556263,0.0011556263,1.0,0.0
7.1,1.5900777E-6,1.6327014E-6,1.6327014E-6,1.0,0.0,6.814601E-6,6.997274E-6,6.997274E-6,1.0,0.0,8.296461E-5,8.518861E-5,8.518861E-5,1.0,0.0,8.293364E-4,8.5157226E-4,8.5157226E-4,1.0,0.0
7.2,1.2971728E-6,1.3328992E-6,1.3328992E-6,1.0,0.0,5.5593005E-6,5.712413E-6,5.712413E-6,1.0,0.0,6.768238E-5,6.954651E-5,6.954651E-5,1.0,0.0,6.7661767E-4,6.952578E-4,6.952578E-4,1.0,0.0
7.3,8.2454284E-7,8.448891E-7,8.448891E-7,1.0,0.0,3.5337503E-6,3.6209485E-6,3.6209485E-6,1.0,0.0,4.302256E-5,4.408422E-5,4.408422E-5,1.0,0.0,4.301423E-4,4.4076078E-4,4.4076078E-4,1.0,0.0
7.4,4.2619024E-7,4.3863466E-7,4.3863466E-7,1.0,0.0,1.8265283E-6,1.8798615E-6,1.8798615E-6,1.0,0.0,2.2237757E-5,2.2887078E-5,2.2887078E-5,1.0,0.0,2.223553E-4,2.288476E-4,2.288476E-4,1.0,0.0
7.5,2.993922E-7,3.086453E-7,3.086453E-7,1.0,0.0,1.2831089E-6,1.3227649E-6,1.3227649E-6,1.0,0.0,1.5621737E-5,1.6104546E-5,1.6104546E-5,1.0,0.0,1.562064E-4,1.6103406E-4,1.6103406E-4,1.0,0.0
7.6,1.6988751E-7,1.7533823E-7,1.7533823E-7,1.0,0.0,7.2808916E-7,7.5144936E-7,7.5144936E-7,1.0,0.0,8.864449E-6,9.14886E-6,9.14886E-6,1.0,0.0,8.8640954E-5,9.1485024E-5,9.1485024E-5,1.0,0.0
