Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.487524,226.0,125.42544,114.0,110.0,62.0,2198.0,88.0,100.0,135.0,233.0
0.975048,242.0,151.96893,135.0,131.0,78.0,2829.0,105.0,118.0,163.0,306.0
1.462572,249.0,168.85318,148.0,144.0,83.0,3165.0,115.0,130.0,181.0,358.0
1.950096,256.0,181.48543,158.0,148.0,89.0,3441.0,123.0,138.0,195.0,400.0
2.4376202,260.0,191.66885,166.0,157.0,90.0,3613.0,129.0,145.0,205.0,433.0
2.925144,263.0,200.17284,172.0,164.0,92.0,3762.0,133.0,150.0,215.0,462.0
3.412668,266.0,207.58138,177.0,168.0,96.0,4028.0,138.0,155.0,222.0,487.0
3.900192,268.0,214.0888,182.0,168.0,99.0,4362.0,141.0,159.0,229.0,510.0
4.3877163,273.0,219.86597,186.0,173.0,106.0,4591.0,145.0,163.0,236.0,531.0
4.8752403,282.0,225.08862,190.0,179.0,112.0,4776.0,148.0,166.0,241.0,548.0
5.3627644,291.0,229.87993,194.0,181.0,114.0,4929.0,150.0,169.0,247.0,568.0
5.850288,295.0,234.30626,197.0,184.0,115.0,5038.0,153.0,172.0,251.0,583.0
6.337812,299.0,238.34991,200.0,187.0,116.0,5147.0,155.0,174.0,256.0,596.0
6.825336,300.0,242.1889,203.0,193.0,119.0,5247.0,157.0,177.0,260.0,611.0
7.31286,301.0,245.86043,205.0,192.0,120.0,5325.0,159.0,179.0,264.0,624.0
7.800384,301.0,249.29317,208.0,192.0,123.0,5399.0,161.0,181.0,268.0,636.0
8.287909,301.0,252.51193,210.0,198.0,123.0,5466.0,163.0,183.0,271.0,647.0
8.775433,301.0,255.61726,212.0,203.0,124.0,5524.0,164.0,185.0,275.0,657.0
9.262957,303.0,258.5666,214.0,201.0,126.0,5572.0,166.0,186.0,278.0,667.0
9.750481,304.0,261.38947,216.0,205.0,126.0,5624.0,167.0,188.0,281.0,680.0
10.238005,307.0,264.04303,218.0,205.0,128.0,5666.0,169.0,190.0,284.0,691.0
10.725529,309.0,266.60843,220.0,210.0,128.0,5728.0,170.0,191.0,287.0,701.0
11.213052,310.0,269.09393,222.0,208.0,128.0,5770.0,172.0,192.0,290.0,712.0
11.700576,311.0,271.51498,223.0,208.0,128.0,5823.0,173.0,194.0,292.0,723.0
12.1881,313.0,273.8063,225.0,213.0,130.0,5875.0,174.0,195.0,295.0,732.0
12.675624,313.0,275.98193,226.0,216.0,132.0,5905.0,175.0,196.0,297.0,741.0
13.163148,314.0,278.10794,228.0,216.0,135.0,5936.0,176.0,198.0,300.0,749.0
13.650672,316.0,280.19272,229.0,216.0,135.0,5963.0,177.0,199.0,302.0,758.0
14.138196,317.0,282.2479,231.0,211.0,138.0,5986.0,178.0,200.0,304.0,766.0
14.62572,317.0,284.2231,232.0,213.0,138.0,6020.0,179.0,201.0,306.0,776.0
15.113244,318.0,286.15036,233.0,215.0,140.0,6052.0,180.0,202.0,308.0,784.0
15.600768,318.0,287.9901,235.0,214.0,141.0,6080.0,181.0,203.0,310.0,792.0
16.088293,318.0,289.76538,236.0,215.0,141.0,6109.0,182.0,204.0,312.0,801.0
16.575817,318.0,291.4771,237.0,214.0,141.0,6133.0,183.0,205.0,314.0,809.0
17.063341,319.0,293.1746,238.0,215.0,142.0,6165.0,184.0,206.0,316.0,816.0
17.550865,320.0,294.81366,239.0,223.0,142.0,6196.0,185.0,207.0,318.0,823.0
18.03839,321.0,296.44278,240.0,227.0,142.0,6215.0,185.0,208.0,320.0,829.0
18.525913,322.0,298.03027,241.0,223.0,142.0,6238.0,186.0,209.0,322.0,836.0
19.013437,322.0,299.54214,242.0,219.0,142.0,6268.0,187.0,210.0,324.0,841.0
19.500961,322.0,301.0522,243.0,229.0,143.0,6311.0,188.0,211.0,325.0,849.0
19.988485,324.0,302.54056,244.0,233.0,143.0,6328.0,188.0,211.0,327.0,854.0
20.47601,324.0,303.98578,246.0,230.0,143.0,6355.0,189.0,212.0,329.0,859.0
20.963533,325.0,305.39966,246.0,231.0,143.0,6399.0,190.0,213.0,330.0,865.0
21.451057,326.0,306.76508,247.0,231.0,143.0,6436.0,190.0,214.0,332.0,872.0
21.938581,326.0,308.102,248.0,233.0,144.0,6458.0,191.0,214.0,333.0,877.0
22.426104,326.0,309.4326,249.0,236.0,145.0,6472.0,192.0,215.0,335.0,883.0
22.913628,326.0,310.73834,250.0,238.0,147.0,6488.0,192.0,216.0,336.0,889.0
23.401152,326.0,312.06744,251.0,229.0,148.0,6603.0,193.0,217.0,338.0,895.0
23.888676,327.0,313.32242,252.0,244.0,148.0,6678.0,194.0,217.0,339.0,901.0
24.3762,327.0,314.53894,253.0,239.0,149.0,6722.0,194.0,218.0,340.0,905.0
24.863724,328.0,315.79013,253.0,240.0,149.0,6760.0,195.0,219.0,342.0,911.0
25.351248,328.0,316.9965,254.0,241.0,150.0,6799.0,195.0,219.0,343.0,917.0
25.838772,328.0,318.1938,255.0,240.0,150.0,6826.0,196.0,220.0,344.0,923.0
26.326296,328.0,319.33768,256.0,244.0,150.0,6845.0,196.0,221.0,346.0,930.0
26.81382,328.0,320.45377,256.0,240.0,150.0,6909.0,197.0,221.0,347.0,934.0
27.301344,328.0,321.56784,257.0,244.0,150.0,6943.0,198.0,222.0,348.0,939.0
27.788868,328.0,322.6681,258.0,243.0,150.0,6954.0,198.0,222.0,350.0,944.0
28.276392,328.0,323.74475,259.0,248.0,150.0,6971.0,198.0,223.0,351.0,951.0
28.763916,328.0,324.8346,259.0,245.0,151.0,6987.0,199.0,224.0,352.0,958.0
29.25144,328.0,325.8973,260.0,241.0,151.0,7002.0,200.0,224.0,353.0,963.0
29.738964,328.0,326.91995,261.0,239.0,151.0,7025.0,200.0,225.0,354.0,969.0
30.226488,328.0,327.9199,261.0,245.0,151.0,7046.0,201.0,225.0,356.0,973.0
30.714012,328.0,328.9046,262.0,245.0,152.0,7068.0,201.0,226.0,357.0,977.0
31.201536,328.0,329.87555,263.0,246.0,155.0,7078.0,202.0,226.0,358.0,982.0
31.68906,328.0,330.84653,263.0,245.0,155.0,7089.0,202.0,227.0,359.0,986.0
32.176586,328.0,331.7913,264.0,244.0,156.0,7099.0,202.0,227.0,360.0,990.0
32.66411,328.0,332.73843,264.0,249.0,157.0,7125.0,203.0,228.0,361.0,995.0
33.151634,328.0,333.6644,265.0,246.0,157.0,7136.0,203.0,228.0,362.0,1000.0
33.639156,328.0,334.59647,266.0,243.0,157.0,7148.0,204.0,229.0,363.0,1004.0
34.126682,328.0,335.50354,266.0,252.0,157.0,7189.0,204.0,229.0,364.0,1008.0
34.614204,328.0,336.42407,267.0,253.0,157.0,7208.0,205.0,230.0,365.0,1015.0
35.10173,328.0,337.31235,268.0,248.0,158.0,7217.0,205.0,230.0,366.0,1019.0
35.589252,328.0,338.21,268.0,243.0,158.0,7230.0,205.0,231.0,367.0,1022.0
36.07678,328.0,339.08987,269.0,251.0,158.0,7242.0,206.0,231.0,368.0,1029.0
36.5643,328.0,339.93347,269.0,255.0,160.0,7268.0,206.0,232.0,369.0,1035.0
37.051826,328.0,340.78693,270.0,249.0,160.0,7284.0,207.0,232.0,370.0,1039.0
37.53935,328.0,341.62833,270.0,249.0,161.0,7296.0,207.0,233.0,371.0,1043.0
38.026875,328.0,342.4564,271.0,250.0,162.0,7317.0,207.0,233.0,372.0,1046.0
38.514397,328.0,343.26572,271.0,251.0,162.0,7330.0,208.0,233.0,373.0,1051.0
39.001923,328.0,344.07037,272.0,255.0,162.0,7338.0,208.0,234.0,374.0,1055.0
39.489445,329.0,344.8884,272.0,255.0,163.0,7353.0,209.0,234.0,375.0,1059.0
39.97697,331.0,345.68915,273.0,255.0,163.0,7377.0,209.0,235.0,375.0,1065.0
40.464493,332.0,346.45218,273.0,260.0,163.0,7391.0,209.0,235.0,376.0,1067.0
40.95202,332.0,347.21927,274.0,254.0,163.0,7407.0,210.0,235.0,377.0,1069.0
41.43954,332.0,347.98804,274.0,254.0,163.0,7412.0,210.0,236.0,378.0,1072.0
41.927067,332.0,348.75262,275.0,254.0,163.0,7420.0,210.0,236.0,379.0,1075.0
42.41459,332.0,349.51276,276.0,260.0,163.0,7440.0,211.0,237.0,380.0,1080.0
42.902115,332.0,350.248,276.0,257.0,165.0,7461.0,211.0,237.0,380.0,1085.0
43.389637,332.0,350.97275,276.0,260.0,165.0,7471.0,211.0,237.0,381.0,1088.0
43.877163,333.0,351.69598,277.0,251.0,165.0,7482.0,212.0,238.0,382.0,1090.0
44.364685,333.0,352.40384,277.0,249.0,165.0,7500.0,212.0,238.0,383.0,1092.0
44.852207,333.0,353.1055,278.0,258.0,165.0,7508.0,212.0,238.0,384.0,1095.0
45.339733,333.0,353.81793,278.0,259.0,166.0,7517.0,213.0,239.0,385.0,1098.0
45.827255,333.0,354.51663,279.0,260.0,166.0,7528.0,213.0,239.0,386.0,1102.0
46.31478,333.0,355.208,279.0,260.0,166.0,7533.0,213.0,240.0,386.0,1107.0
46.802303,333.0,355.90073,280.0,258.0,166.0,7538.0,213.0,240.0,387.0,1109.0
47.28983,333.0,356.58038,280.0,260.0,166.0,7542.0,214.0,240.0,388.0,1112.0
47.77735,335.0,357.25314,281.0,260.0,166.0,7549.0,214.0,241.0,388.0,1116.0
48.264877,336.0,357.95117,281.0,260.0,166.0,7559.0,215.0,241.0,389.0,1118.0
48.7524,336.0,358.61356,281.0,260.0,166.0,7570.0,215.0,241.0,390.0,1121.0
49.239925,336.0,359.28235,282.0,261.0,166.0,7579.0,215.0,242.0,391.0,1125.0
49.727448,336.0,359.93607,282.0,261.0,166.0,7588.0,215.0,242.0,392.0,1128.0
50.214973,336.0,360.57874,283.0,262.0,166.0,7597.0,216.0,242.0,392.0,1131.0
50.702496,336.0,361.22147,283.0,259.0,166.0,7603.0,216.0,243.0,393.0,1134.0
51.19002,336.0,361.85483,283.0,262.0,166.0,7615.0,216.0,243.0,394.0,1136.0
51.677544,336.0,362.50095,284.0,256.0,166.0,7622.0,217.0,243.0,394.0,1139.0
52.16507,336.0,363.12158,284.0,256.0,166.0,7632.0,217.0,244.0,395.0,1144.0
52.65259,336.0,363.73373,285.0,262.0,166.0,7651.0,217.0,244.0,396.0,1146.0
53.140118,336.0,364.3367,285.0,262.0,166.0,7672.0,217.0,244.0,397.0,1149.0
53.62764,336.0,364.94965,285.0,257.0,166.0,7691.0,218.0,245.0,397.0,1151.0
54.115166,336.0,365.57812,286.0,259.0,166.0,7701.0,218.0,245.0,398.0,1155.0
