Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,320.0,328.4396,301.0,292.0,208.0,4490.0,255.0,276.0,343.0,562.0
0.5244035,422.0,453.3687,403.0,387.0,285.0,8345.0,341.0,368.0,474.0,881.0
1.048807,464.0,519.0361,454.0,436.0,331.0,9666.0,383.0,413.0,543.0,1077.0
1.5732106,484.0,565.2498,489.0,453.0,355.0,10663.0,412.0,444.0,593.0,1229.0
2.097614,502.0,601.21814,515.0,497.0,368.0,11343.0,434.0,468.0,632.0,1346.0
2.6220176,520.0,630.74677,537.0,515.0,379.0,11845.0,451.0,487.0,664.0,1452.0
3.1464212,532.0,656.11285,556.0,528.0,391.0,12586.0,466.0,503.0,691.0,1538.0
3.6708245,543.0,678.2083,572.0,548.0,403.0,13650.0,479.0,517.0,715.0,1617.0
4.195228,557.0,697.61487,586.0,550.0,416.0,14404.0,490.0,529.0,737.0,1679.0
4.7196317,580.0,715.1164,599.0,560.0,423.0,15010.0,500.0,540.0,756.0,1740.0
5.2440352,595.0,731.0331,611.0,569.0,437.0,15481.0,509.0,550.0,773.0,1803.0
5.768439,612.0,745.6025,621.0,586.0,443.0,15854.0,517.0,559.0,789.0,1855.0
6.2928424,617.0,759.1059,631.0,589.0,446.0,16207.0,525.0,567.0,804.0,1898.0
6.817246,619.0,771.935,640.0,603.0,452.0,16495.0,532.0,575.0,818.0,1950.0
7.341649,624.0,783.9453,649.0,626.0,457.0,16753.0,539.0,582.0,831.0,1989.0
7.8660526,631.0,795.05597,657.0,620.0,462.0,16972.0,545.0,589.0,844.0,2024.0
8.390456,632.0,805.71027,664.0,626.0,464.0,17187.0,551.0,595.0,856.0,2057.0
8.91486,639.0,815.89294,672.0,626.0,467.0,17377.0,556.0,601.0,867.0,2097.0
9.439263,643.0,825.5636,678.0,632.0,481.0,17550.0,561.0,607.0,878.0,2135.0
9.963667,649.0,834.6198,684.0,636.0,487.0,17710.0,566.0,612.0,888.0,2175.0
10.4880705,655.0,843.3367,691.0,634.0,494.0,17907.0,571.0,617.0,898.0,2212.0
11.012474,663.0,851.7725,697.0,648.0,495.0,18062.0,575.0,622.0,907.0,2253.0
11.536878,672.0,859.9135,702.0,656.0,497.0,18220.0,579.0,627.0,916.0,2290.0
12.061281,681.0,867.5999,707.0,672.0,500.0,18379.0,584.0,631.0,924.0,2322.0
