Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,354.0,880.0832,664.0,586.0,441.0,19507.0,529.0,576.0,959.0,3029.0
2.65,281.0,699.06177,528.0,479.0,351.0,15475.0,417.0,457.0,762.0,2402.0
2.75,287.0,555.3106,420.0,383.0,272.0,12314.0,330.0,363.0,606.0,1896.0
2.85,195.0,441.01523,334.0,307.0,203.0,9816.0,259.0,287.0,481.0,1516.0
2.95,143.0,350.2578,266.0,246.0,163.0,7740.0,204.0,227.0,383.0,1198.0
3.05,144.0,278.23227,211.0,195.0,122.0,6065.0,160.0,180.0,304.0,954.0
3.15,103.0,221.00368,168.0,155.0,90.0,4797.0,126.0,142.0,242.0,756.0
3.25,112.0,175.64494,134.0,119.0,74.0,3830.0,98.0,113.0,193.0,604.0
3.35,79.0,139.52023,107.0,97.0,53.0,3147.0,76.0,89.0,153.0,478.0
3.45,100.0,110.76643,85.0,78.0,40.0,2437.0,59.0,70.0,122.0,379.0
3.55,92.0,88.02087,68.0,61.0,30.0,1977.0,46.0,55.0,98.0,302.0
3.65,62.0,69.93148,54.0,48.0,20.0,1525.0,35.0,43.0,78.0,238.0
3.75,26.0,55.52251,43.0,39.0,14.0,1200.0,27.0,34.0,62.0,192.0
3.85,30.0,44.11991,34.0,32.0,10.0,945.0,21.0,27.0,50.0,151.0
3.95,25.0,35.0263,27.0,25.0,7.0,778.0,16.0,21.0,40.0,121.0
4.05,21.0,27.82901,22.0,20.0,4.0,607.0,12.0,16.0,32.0,96.0
4.15,12.0,22.0626,17.0,16.0,2.0,466.0,9.0,12.0,26.0,77.0
4.25,6.0,17.55842,14.0,13.0,2.0,403.0,6.0,10.0,21.0,61.0
4.35,9.0,13.9488,11.0,10.0,0.0,307.0,4.0,7.0,17.0,48.0
4.45,6.0,11.10167,9.0,8.0,0.0,251.0,3.0,6.0,14.0,39.0
4.55,10.0,8.79244,7.0,6.0,0.0,187.0,2.0,4.0,11.0,30.0
4.65,6.0,6.99357,6.0,5.0,0.0,151.0,1.0,3.0,9.0,24.0
4.75,3.0,5.55728,4.0,4.0,0.0,131.0,1.0,2.0,8.0,20.0
4.85,5.0,4.40582,3.0,3.0,0.0,99.0,0.0,2.0,6.0,16.0
4.95,2.0,3.50227,3.0,2.0,0.0,83.0,0.0,1.0,5.0,13.0
5.05,1.0,2.77687,2.0,2.0,0.0,61.0,0.0,1.0,4.0,10.0
