Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06867231,0.0,0.01105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.13734461,0.0,0.01401,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.20601693,0.0,0.01604,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.27468923,0.0,0.01738,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.34336156,0.0,0.01845,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.41203386,0.0,0.01924,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.4807062,0.0,0.01998,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.54937845,0.0,0.0207,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.6180508,0.0,0.02147,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.6867231,0.0,0.022,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.7553954,0.0,0.02248,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.8240677,0.0,0.02293,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.89274,0.0,0.02328,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.9614124,0.0,0.02369,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.0300846,0.0,0.02406,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.0987569,0.0,0.02457,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.1674293,0.0,0.02492,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.2361016,0.0,0.02514,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.3047739,0.0,0.02546,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.3734462,0.0,0.02576,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.4421185,0.0,0.02602,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.5107908,0.0,0.02625,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.5794631,0.0,0.02649,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.6481354,0.0,0.02681,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.7168077,0.0,0.02706,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.78548,0.0,0.02725,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.8541523,0.0,0.02748,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.9228247,0.0,0.0277,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.991497,0.0,0.02789,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.0601692,0.0,0.02803,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.1288416,0.0,0.02821,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.1975138,0.0,0.02839,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.2661862,0.0,0.02866,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.3348587,0.0,0.02882,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.4035308,0.0,0.02896,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.4722033,0.0,0.02911,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.5408754,0.0,0.02928,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.6095479,0.0,0.02941,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.67822,0.0,0.02962,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.7468925,0.0,0.02977,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.8155646,0.0,0.02995,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.884237,0.0,0.03004,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.9529092,0.0,0.03011,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.0215816,0.0,0.03023,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.090254,0.0,0.03034,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.1589262,0.0,0.03049,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.2275987,0.0,0.03062,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.2962708,0.0,0.03079,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.3649433,0.0,0.03092,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.4336154,0.0,0.03098,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.5022879,0.0,0.03106,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.57096,0.0,0.03116,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.6396325,0.0,0.03123,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.7083046,0.0,0.03135,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.776977,0.0,0.03145,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.8456495,0.0,0.03154,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.9143217,0.0,0.03162,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.982994,0.0,0.03173,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.0516663,0.0,0.03186,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.1203384,0.0,0.03194,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.189011,0.0,0.03202,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.2576833,0.0,0.0321,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.3263555,0.0,0.0322,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.3950276,0.0,0.03231,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.4637003,0.0,0.03243,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.5323725,0.0,0.03254,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.6010447,0.0,0.03263,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.6697173,0.0,0.03274,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.7383895,0.0,0.03288,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.8070617,0.0,0.03295,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
