Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,1978.0,3223.769,2942.0,2821.0,2223.0,23638.0,2487.0,2658.0,3590.0,6207.0
2.6,1662.0,2560.5972,2337.0,2189.0,1739.0,18772.0,1971.0,2109.0,2852.0,4928.0
2.7,1400.0,2033.8533,1857.0,1723.0,1353.0,14880.0,1560.0,1674.0,2268.0,3916.0
2.8,1143.0,1615.5138,1476.0,1354.0,1075.0,11828.0,1234.0,1328.0,1803.0,3111.0
2.9,970.0,1283.1871,1173.0,1101.0,833.0,9372.0,976.0,1053.0,1434.0,2467.0
3.0,838.0,1019.25165,932.0,887.0,656.0,7425.0,771.0,835.0,1141.0,1962.0
3.1,704.0,809.6256,741.0,702.0,515.0,5852.0,608.0,662.0,907.0,1558.0
3.2,597.0,643.0654,589.0,557.0,379.0,4632.0,479.0,524.0,722.0,1240.0
3.3,489.0,510.73306,468.0,441.0,300.0,3713.0,377.0,415.0,575.0,986.0
3.4,411.0,405.6612,372.0,359.0,241.0,2961.0,296.0,328.0,458.0,782.0
3.5,312.0,322.17386,296.0,286.0,184.0,2382.0,232.0,259.0,365.0,623.0
3.6,225.0,255.83553,235.0,221.0,141.0,1926.0,182.0,205.0,292.0,495.0
3.7,160.0,203.12816,187.0,179.0,104.0,1544.0,142.0,161.0,233.0,394.0
3.8,136.0,161.25197,149.0,143.0,77.0,1200.0,110.0,127.0,186.0,313.0
3.9,108.0,128.01694,118.0,112.0,55.0,938.0,85.0,100.0,149.0,249.0
4.0,83.0,101.61713,94.0,87.0,41.0,749.0,66.0,78.0,119.0,199.0
4.1,62.0,80.65352,75.0,70.0,31.0,593.0,51.0,61.0,96.0,158.0
4.2,50.0,63.99469,59.0,56.0,23.0,465.0,39.0,48.0,77.0,126.0
4.3,44.0,50.7697,47.0,45.0,15.0,379.0,29.0,37.0,62.0,100.0
4.4,35.0,40.26402,37.0,35.0,8.0,299.0,22.0,29.0,50.0,80.0
4.5,29.0,31.92092,30.0,28.0,7.0,235.0,16.0,22.0,40.0,64.0
4.6,19.0,25.29179,23.0,21.0,4.0,184.0,12.0,17.0,33.0,51.0
4.7,13.0,20.02718,19.0,17.0,1.0,148.0,9.0,13.0,26.0,42.0
4.8,10.0,15.84741,15.0,13.0,0.0,124.0,6.0,10.0,21.0,34.0
4.9,5.0,12.53032,12.0,10.0,0.0,105.0,4.0,7.0,17.0,27.0
5.0,3.0,9.88777,9.0,8.0,0.0,83.0,3.0,6.0,14.0,22.0
5.1,2.0,7.79908,7.0,6.0,0.0,67.0,2.0,4.0,11.0,18.0
5.2,2.0,6.12728,6.0,5.0,0.0,55.0,1.0,3.0,9.0,15.0
5.3,2.0,4.80395,4.0,4.0,0.0,43.0,1.0,2.0,7.0,12.0
5.4,2.0,3.75451,3.0,3.0,0.0,38.0,0.0,1.0,6.0,10.0
5.5,1.0,2.92192,3.0,2.0,0.0,31.0,0.0,1.0,5.0,8.0
5.6,0.0,2.25842,2.0,1.0,0.0,24.0,0.0,1.0,4.0,7.0
5.7,0.0,1.7315,1.0,1.0,0.0,15.0,0.0,0.0,3.0,6.0
5.8,0.0,1.3148,1.0,0.0,0.0,14.0,0.0,0.0,3.0,5.0
5.9,0.0,0.98631,1.0,0.0,0.0,11.0,0.0,0.0,2.0,4.0
