Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.939946E-5,4.896264E-5,4.896264E-5,1.0,0.0,1.6884391E-4,2.0982575E-4,2.0982575E-4,1.0,0.0,0.0020537362,0.0025521463,0.0025621208,1.0039083,1.0E-5,0.020348595,0.02528122,0.025329957,1.0019277,5.0E-5
6.1,2.1505624E-5,2.688868E-5,2.688868E-5,1.0,0.0,9.2163704E-5,1.1523274E-4,1.1523274E-4,1.0,0.0,0.0011215154,0.001402166,0.001402166,1.0,0.0,0.011158722,0.013946032,0.013965753,1.0014141,2.0E-5
6.2,2.1505624E-5,2.688868E-5,2.688868E-5,1.0,0.0,9.2163704E-5,1.1523274E-4,1.1523274E-4,1.0,0.0,0.0011215154,0.001402166,0.001402166,1.0,0.0,0.011158722,0.013946032,0.013965753,1.0014141,2.0E-5
6.3,1.4290785E-5,1.8173025E-5,1.8173025E-5,1.0,0.0,6.1244784E-5,7.788232E-5,7.788232E-5,1.0,0.0,7.454001E-4,9.4785006E-4,9.4785006E-4,1.0,0.0,0.007429048,0.009444471,0.009464283,1.0020976,2.0E-5
6.4,1.4290785E-5,1.8173025E-5,1.8173025E-5,1.0,0.0,6.1244784E-5,7.788232E-5,7.788232E-5,1.0,0.0,7.454001E-4,9.4785006E-4,9.4785006E-4,1.0,0.0,0.007429048,0.009444471,0.009464283,1.0020976,2.0E-5
6.5,1.3017944E-5,1.665972E-5,1.665972E-5,1.0,0.0,5.5789995E-5,7.139709E-5,7.139709E-5,1.0,0.0,6.790315E-4,8.689567E-4,8.689567E-4,1.0,0.0,0.0067696036,0.008661825,0.008681652,1.0022889,2.0E-5
6.6,9.470016E-6,1.204539E-5,1.204539E-5,1.0,0.0,4.058515E-5,5.1622268E-5,5.1622268E-5,1.0,0.0,4.940122E-4,6.2835385E-4,6.2835385E-4,1.0,0.0,0.004929154,0.0062714987,0.0062814364,1.0015845,1.0E-5
6.7,8.314155E-6,1.0413125E-5,1.0413125E-5,1.0,0.0,3.5631605E-5,4.4627097E-5,4.4627097E-5,1.0,0.0,4.3372845E-4,5.432317E-4,5.432317E-4,1.0,0.0,0.004328829,0.005425172,0.0054351175,1.0018332,1.0E-5
6.8,3.4856364E-6,3.8151547E-6,3.8151547E-6,1.0,0.0,1.4938357E-5,1.6350574E-5,1.6350574E-5,1.0,0.0,1.8185932E-4,1.9905213E-4,1.9905213E-4,1.0,0.0,0.0018171056,0.0019903646,0.002000345,1.0050142,1.0E-5
6.9,2.2645952E-6,2.154179E-6,2.154179E-6,1.0,0.0,9.705372E-6,9.232164E-6,9.232164E-6,1.0,0.0,1.18156495E-4,1.1239602E-4,1.1239602E-4,1.0,0.0,0.0011809369,0.0011239543,0.0011339431,1.0088872,1.0E-5
7.0,1.7864003E-6,1.54422E-6,1.54422E-6,1.0,0.0,7.655979E-6,6.618069E-6,6.618069E-6,1.0,0.0,9.3207556E-5,8.057207E-5,8.057207E-5,1.0,0.0,9.316847E-4,8.058698E-4,8.1586174E-4,1.012399,1.0E-5
7.1,1.7315456E-6,1.4744774E-6,1.4744774E-6,1.0,0.0,7.420889E-6,6.3191737E-6,6.3191737E-6,1.0,0.0,9.034557E-5,7.693328E-5,7.693328E-5,1.0,0.0,9.0308854E-4,7.6950184E-4,7.794942E-4,1.0129855,1.0E-5
7.2,1.6008337E-6,1.3585003E-6,1.3585003E-6,1.0,0.0,6.860698E-6,5.8221317E-6,5.8221317E-6,1.0,0.0,8.352579E-5,7.0882204E-5,7.0882204E-5,1.0,0.0,8.34944E-4,7.090193E-4,7.190122E-4,1.014094,1.0E-5
7.3,1.3320939E-6,1.1227855E-6,1.1227855E-6,1.0,0.0,5.7089615E-6,4.8119296E-6,4.8119296E-6,1.0,0.0,6.9504385E-5,5.8583715E-5,5.8583715E-5,1.0,0.0,6.9482654E-4,5.858142E-4,5.858142E-4,1.0,0.0
7.4,1.114294E-6,9.246502E-7,9.246502E-7,1.0,0.0,4.775537E-6,3.9627807E-6,3.9627807E-6,1.0,0.0,5.8140613E-5,4.8245824E-5,4.8245824E-5,1.0,0.0,5.81254E-4,4.8237146E-4,4.8237146E-4,1.0,0.0
7.5,9.354081E-7,7.632328E-7,7.632328E-7,1.0,0.0,4.0088858E-6,3.2709936E-6,3.2709936E-6,1.0,0.0,4.8807087E-5,3.9823655E-5,3.9823655E-5,1.0,0.0,4.879637E-4,3.9816857E-4,3.9816857E-4,1.0,0.0
7.6,8.521771E-7,6.889392E-7,6.889392E-7,1.0,0.0,3.6521824E-6,2.9525934E-6,2.9525934E-6,1.0,0.0,4.4464414E-5,3.5947265E-5,3.5947265E-5,1.0,0.0,4.4455516E-4,3.5941767E-4,3.5941767E-4,1.0,0.0
7.7,2.1803626E-7,1.4210353E-7,1.4210353E-7,1.0,0.0,9.344408E-7,6.0901505E-7,6.0901505E-7,1.0,0.0,1.1376757E-5,7.414743E-6,7.414743E-6,1.0,0.0,1.13761744E-4,7.4145915E-5,7.4145915E-5,1.0,0.0
