Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1364202E-5,9.969261E-6,9.969261E-6,1.0,0.0,9.1557646E-5,4.272475E-5,4.272475E-5,1.0,0.0,0.0011141442,5.2005844E-4,5.2005844E-4,1.0,0.0,0.011085749,0.0051892838,0.005199232,1.001917,1.0E-5
6.1,2.1364202E-5,9.969261E-6,9.969261E-6,1.0,0.0,9.1557646E-5,4.272475E-5,4.272475E-5,1.0,0.0,0.0011141442,5.2005844E-4,5.2005844E-4,1.0,0.0,0.011085749,0.0051892838,0.005199232,1.001917,1.0E-5
6.2,2.1364202E-5,9.969261E-6,9.969261E-6,1.0,0.0,9.1557646E-5,4.272475E-5,4.272475E-5,1.0,0.0,0.0011141442,5.2005844E-4,5.2005844E-4,1.0,0.0,0.011085749,0.0051892838,0.005199232,1.001917,1.0E-5
6.3,1.7751237E-5,8.090198E-6,8.090198E-6,1.0,0.0,7.607452E-5,3.467185E-5,3.467185E-5,1.0,0.0,9.258136E-4,4.2205432E-4,4.2205432E-4,1.0,0.0,0.00921966,0.0042131506,0.0042231083,1.0023636,1.0E-5
6.4,1.7751237E-5,8.090198E-6,8.090198E-6,1.0,0.0,7.607452E-5,3.467185E-5,3.467185E-5,1.0,0.0,9.258136E-4,4.2205432E-4,4.2205432E-4,1.0,0.0,0.00921966,0.0042131506,0.0042231083,1.0023636,1.0E-5
6.5,1.5886664E-5,6.6046364E-6,6.6046364E-6,1.0,0.0,6.808392E-5,2.8305303E-5,2.8305303E-5,1.0,0.0,8.286065E-4,3.4456726E-4,3.4456726E-4,1.0,0.0,0.008255237,0.0034407945,0.0034507602,1.0028963,1.0E-5
6.6,1.5886664E-5,6.6046364E-6,6.6046364E-6,1.0,0.0,6.808392E-5,2.8305303E-5,2.8305303E-5,1.0,0.0,8.286065E-4,3.4456726E-4,3.4456726E-4,1.0,0.0,0.008255237,0.0034407945,0.0034507602,1.0028963,1.0E-5
6.7,1.428471E-5,5.4711068E-6,5.4711068E-6,1.0,0.0,6.121875E-5,2.3447412E-5,2.3447412E-5,1.0,0.0,7.450834E-4,2.854388E-4,2.854388E-4,1.0,0.0,0.007425902,0.0028511097,0.0028610812,1.0034974,1.0E-5
6.8,1.3490684E-5,5.0743597E-6,5.0743597E-6,1.0,0.0,5.7815934E-5,2.1747097E-5,2.1747097E-5,1.0,0.0,7.0368167E-4,2.6474262E-4,2.6474262E-4,1.0,0.0,0.007014576,0.0026446532,0.0026546267,1.0037712,1.0E-5
6.9,1.2235421E-5,4.2902793E-6,4.2902793E-6,1.0,0.0,5.2436466E-5,1.8386803E-5,1.8386803E-5,1.0,0.0,6.38227E-4,2.2383993E-4,2.2383993E-4,1.0,0.0,0.0063639707,0.0022364992,0.002246477,1.0044613,1.0E-5
7.0,1.1009851E-5,3.71954E-6,3.71954E-6,1.0,0.0,4.7184225E-5,1.5940808E-5,1.5940808E-5,1.0,0.0,5.743165E-4,1.9406549E-4,1.9406549E-4,1.0,0.0,0.005728345,0.0019392981,0.0019492788,1.0051465,1.0E-5
7.1,9.726373E-6,3.21228E-6,3.21228E-6,1.0,0.0,4.168379E-5,1.376686E-5,1.376686E-5,1.0,0.0,5.07382E-4,1.67602E-4,1.67602E-4,1.0,0.0,0.0050622504,0.0016750874,0.0016850707,1.0059599,1.0E-5
7.2,3.9335127E-6,1.1526508E-6,1.1526508E-6,1.0,0.0,1.6857803E-5,4.939923E-6,4.939923E-6,1.0,0.0,2.0522442E-4,6.0141967E-5,6.0141967E-5,1.0,0.0,0.00205035,6.0126284E-4,6.1125687E-4,1.0166217,1.0E-5
7.3,2.661632E-6,6.9126224E-7,6.9126224E-7,1.0,0.0,1.14069435E-5,2.9625492E-6,2.9625492E-6,1.0,0.0,1.3887069E-4,3.606845E-5,3.606845E-5,1.0,0.0,0.0013878393,3.6062702E-4,3.706234E-4,1.0277195,1.0E-5
7.4,2.0893426E-6,5.46272E-7,5.46272E-7,1.0,0.0,8.954295E-6,2.3411637E-6,2.3411637E-6,1.0,0.0,1.0901308E-4,2.85033E-5,2.85033E-5,1.0,0.0,0.0010895962,2.84997E-4,2.9499413E-4,1.035078,1.0E-5
7.5,1.1681728E-6,3.60355E-7,3.60355E-7,1.0,0.0,5.0064455E-6,1.5443777E-6,1.5443777E-6,1.0,0.0,6.0951766E-5,1.880264E-5,1.880264E-5,1.0,0.0,6.093505E-4,1.8801096E-4,1.8801096E-4,1.0,0.0
7.6,1.3154387E-7,7.120354E-8,7.120354E-8,1.0,0.0,5.6375933E-7,3.0515798E-7,3.0515798E-7,1.0,0.0,6.863748E-6,3.7152938E-6,3.7152938E-6,1.0,0.0,6.863536E-5,3.7152477E-5,3.7152477E-5,1.0,0.0
