Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.1,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.2,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.3,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.4,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.5,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.6,3.155064E-5,2.9531044E-5,2.9531044E-5,1.0,0.0,1.3521002E-4,1.265557E-4,1.265557E-4,1.0,0.0,0.001644939,0.0015397646,0.0015794111,1.0257485,3.970775E-5,0.01632816,0.015295465,0.015334565,1.0025563,3.970775E-5
6.7,3.098897E-5,2.8869135E-5,2.8869135E-5,1.0,0.0,1.328031E-4,1.237192E-4,1.237192E-4,1.0,0.0,0.0016156785,0.0015052783,0.0015449262,1.0263393,3.970775E-5,0.016039822,0.0149552645,0.014994378,1.0026155,3.970775E-5
6.8,3.0449872E-5,2.824424E-5,2.824424E-5,1.0,0.0,1.3049292E-4,1.2104134E-4,1.2104134E-4,1.0,0.0,0.0015875935,0.0014727192,0.0015123686,1.0269225,3.970775E-5,0.015762992,0.014633966,0.014673092,1.0026737,3.970775E-5
6.9,2.697928E-5,2.422405E-5,2.422405E-5,1.0,0.0,1.15620365E-4,1.0381334E-4,1.0381334E-4,1.0,0.0,0.0014067689,0.0012632161,0.0013028737,1.0313941,3.970775E-5,0.0139789665,0.012563073,0.012602283,1.003121,3.970775E-5
