Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.1810763E-5,4.759736E-5,4.759736E-5,1.0,0.0,1.7917668E-4,2.0397367E-4,2.0397367E-4,1.0,0.0,0.0021792934,0.002480717,0.002508323,1.0111283,2.7674767E-5,0.021580452,0.02454787,0.024601862,1.0021994,5.5349534E-5
6.1,4.1810763E-5,4.759736E-5,4.759736E-5,1.0,0.0,1.7917668E-4,2.0397367E-4,2.0397367E-4,1.0,0.0,0.0021792934,0.002480717,0.002508323,1.0111283,2.7674767E-5,0.021580452,0.02454787,0.024601862,1.0021994,5.5349534E-5
6.2,4.1810763E-5,4.759736E-5,4.759736E-5,1.0,0.0,1.7917668E-4,2.0397367E-4,2.0397367E-4,1.0,0.0,0.0021792934,0.002480717,0.002508323,1.0111283,2.7674767E-5,0.021580452,0.02454787,0.024601862,1.0021994,5.5349534E-5
6.3,4.1810763E-5,4.759736E-5,4.759736E-5,1.0,0.0,1.7917668E-4,2.0397367E-4,2.0397367E-4,1.0,0.0,0.0021792934,0.002480717,0.002508323,1.0111283,2.7674767E-5,0.021580452,0.02454787,0.024601862,1.0021994,5.5349534E-5
6.4,4.1810763E-5,4.759736E-5,4.759736E-5,1.0,0.0,1.7917668E-4,2.0397367E-4,2.0397367E-4,1.0,0.0,0.0021792934,0.002480717,0.002508323,1.0111283,2.7674767E-5,0.021580452,0.02454787,0.024601862,1.0021994,5.5349534E-5
6.5,3.154503E-5,3.5364967E-5,3.5364967E-5,1.0,0.0,1.3518598E-4,1.5155585E-4,1.5155585E-4,1.0,0.0,0.0016446467,0.0018437232,0.001871347,1.0149826,2.7674767E-5,0.01632528,0.018293923,0.018321091,1.0014851,2.7674767E-5
6.6,3.1535834E-5,3.5354347E-5,3.5354347E-5,1.0,0.0,1.3514658E-4,1.5151035E-4,1.5151035E-4,1.0,0.0,0.0016441676,0.0018431701,0.0018707939,1.0149871,2.7674767E-5,0.01632056,0.018288482,0.01831565,1.0014856,2.7674767E-5
6.7,2.8267326E-5,3.1473908E-5,3.1473908E-5,1.0,0.0,1.2114006E-4,1.3488167E-4,1.3488167E-4,1.0,0.0,0.0014738824,0.0016410325,0.001668662,1.0168365,2.7674767E-5,0.014641452,0.01629791,0.016325135,1.0016704,2.7674767E-5
6.8,2.8212884E-5,3.1411786E-5,3.1411786E-5,1.0,0.0,1.20906756E-4,1.3461547E-4,1.3461547E-4,1.0,0.0,0.0014710457,0.0016377963,0.0016654257,1.0168699,2.7674767E-5,0.014613459,0.016266024,0.016293248,1.0016737,2.7674767E-5
6.9,2.4227871E-5,2.6710753E-5,2.6710753E-5,1.0,0.0,1.03829596E-4,1.14470065E-4,1.14470065E-4,1.0,0.0,0.0012633923,0.001392858,0.0014204942,1.0198414,2.7674767E-5,0.012562336,0.013848972,0.013876263,1.0019706,2.7674767E-5
