Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2141.0,4431.777,4239.0,4113.0,3562.0,11971.0,3837.0,3999.0,4771.0,6414.0
2.6,1782.0,3520.2583,3368.0,3260.0,2785.0,9490.0,3041.0,3174.0,3793.0,5095.0
2.7,1495.0,2796.2798,2677.0,2623.0,2206.0,7508.0,2408.0,2519.0,3015.0,4046.0
2.8,1204.0,2221.2493,2127.0,2080.0,1752.0,6033.0,1906.0,1998.0,2397.0,3216.0
2.9,1009.0,1764.3578,1691.0,1644.0,1366.0,4846.0,1508.0,1585.0,1906.0,2557.0
3.0,865.0,1401.3486,1344.0,1290.0,1075.0,3813.0,1191.0,1257.0,1516.0,2032.0
3.1,719.0,1113.0067,1068.0,1039.0,850.0,3022.0,942.0,996.0,1207.0,1616.0
3.2,615.0,883.97125,849.0,835.0,659.0,2432.0,743.0,789.0,960.0,1284.0
3.3,503.0,702.042,675.0,657.0,512.0,1949.0,586.0,625.0,765.0,1021.0
3.4,423.0,557.5114,536.0,518.0,403.0,1559.0,461.0,494.0,609.0,811.0
3.5,322.0,442.7661,426.0,411.0,299.0,1245.0,362.0,391.0,486.0,646.0
3.6,228.0,351.6172,339.0,329.0,228.0,983.0,284.0,309.0,387.0,514.0
3.7,165.0,279.14752,269.0,262.0,171.0,795.0,223.0,244.0,309.0,409.0
3.8,138.0,221.6854,214.0,208.0,133.0,642.0,174.0,192.0,247.0,325.0
3.9,108.0,176.02231,170.0,168.0,102.0,502.0,135.0,151.0,198.0,260.0
4.0,83.0,139.72491,135.0,132.0,76.0,397.0,105.0,119.0,158.0,207.0
4.1,63.0,110.87773,108.0,105.0,55.0,319.0,81.0,93.0,127.0,165.0
4.2,50.0,88.01934,85.0,83.0,43.0,258.0,63.0,73.0,102.0,132.0
4.3,44.0,69.83054,68.0,65.0,30.0,213.0,48.0,57.0,82.0,105.0
4.4,35.0,55.37817,54.0,53.0,21.0,170.0,37.0,45.0,66.0,85.0
4.5,29.0,43.90871,43.0,41.0,14.0,135.0,28.0,35.0,53.0,68.0
4.6,19.0,34.78781,34.0,32.0,10.0,110.0,21.0,27.0,42.0,55.0
4.7,13.0,27.53206,27.0,25.0,5.0,88.0,16.0,21.0,34.0,45.0
4.8,10.0,21.77327,21.0,21.0,4.0,75.0,11.0,16.0,28.0,36.0
4.9,5.0,17.20509,17.0,16.0,1.0,55.0,8.0,12.0,22.0,30.0
5.0,3.0,13.58652,13.0,12.0,0.0,50.0,6.0,9.0,18.0,24.0
5.1,2.0,10.70432,10.0,10.0,0.0,37.0,4.0,7.0,15.0,20.0
5.2,2.0,8.41238,8.0,7.0,0.0,31.0,3.0,5.0,12.0,16.0
5.3,2.0,6.59761,6.0,6.0,0.0,25.0,2.0,4.0,10.0,13.0
5.4,2.0,5.15509,5.0,4.0,0.0,24.0,1.0,3.0,8.0,11.0
5.5,1.0,4.00983,4.0,3.0,0.0,18.0,0.0,2.0,6.0,9.0
5.6,0.0,3.09793,3.0,2.0,0.0,14.0,0.0,1.0,5.0,8.0
5.7,0.0,2.37185,2.0,2.0,0.0,13.0,0.0,1.0,4.0,6.0
5.8,0.0,1.79432,2.0,1.0,0.0,12.0,0.0,0.0,3.0,5.0
5.9,0.0,1.34497,1.0,1.0,0.0,9.0,0.0,0.0,3.0,4.0
6.0,0.0,1.0199,1.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0
6.1,0.0,0.73076,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
6.2,0.0,0.47605,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.3,0.0,0.35883,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.4,0.0,0.26629,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.5,0.0,0.20597,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
6.6,0.0,0.1749,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.7,0.0,0.14225,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.11807,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.9,0.0,0.09366,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
