Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5475678,0.0,0.71519,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
1.0951356,0.0,0.75921,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
1.6427034,0.0,0.78291,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
2.1902711,0.0,0.79898,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
2.737839,0.0,0.81135,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
3.2854068,0.0,0.82117,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
3.8329747,0.0,0.82866,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
4.3805423,0.0,0.83536,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
4.92811,0.0,0.84133,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
5.475678,0.0,0.847,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
6.023246,0.0,0.8517,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
6.5708137,0.0,0.85627,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
7.1183815,0.0,0.86061,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
7.6659493,0.0,0.86419,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
8.213517,0.0,0.86736,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
8.761085,0.0,0.87049,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
9.308653,0.0,0.87323,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
9.85622,0.0,0.87613,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
10.403788,0.0,0.87873,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
10.951356,0.0,0.88094,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
11.498923,0.0,0.88301,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
12.046492,0.0,0.88496,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
12.594059,0.0,0.88706,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
13.141627,0.0,0.88901,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
