Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,315.0,863.1744,848.0,836.0,686.0,1569.0,775.0,809.0,908.0,1066.0
2.65,262.0,685.6004,674.0,669.0,554.0,1250.0,611.0,640.0,724.0,849.0
2.75,257.0,544.5255,536.0,534.0,426.0,1041.0,481.0,507.0,577.0,676.0
2.85,173.0,432.5325,426.0,423.0,327.0,804.0,378.0,401.0,460.0,537.0
2.95,132.0,343.53302,339.0,337.0,261.0,631.0,297.0,317.0,368.0,428.0
3.05,134.0,272.93945,269.0,265.0,197.0,501.0,233.0,250.0,294.0,341.0
3.15,107.0,216.76627,214.0,210.0,145.0,430.0,182.0,197.0,235.0,272.0
3.25,108.0,172.15953,170.0,168.0,115.0,306.0,143.0,156.0,188.0,217.0
3.35,78.0,136.78809,135.0,132.0,89.0,265.0,111.0,122.0,151.0,174.0
3.45,99.0,108.66588,108.0,105.0,64.0,218.0,86.0,96.0,121.0,139.0
3.55,87.0,86.33994,85.0,84.0,45.0,174.0,67.0,76.0,97.0,112.0
3.65,65.0,68.58759,68.0,67.0,34.0,130.0,51.0,59.0,78.0,90.0
3.75,24.0,54.5106,54.0,53.0,27.0,110.0,39.0,46.0,63.0,73.0
3.85,28.0,43.25418,43.0,42.0,17.0,89.0,30.0,36.0,50.0,59.0
3.95,25.0,34.38464,34.0,34.0,10.0,72.0,23.0,28.0,41.0,48.0
4.05,21.0,27.30169,27.0,27.0,8.0,59.0,17.0,22.0,33.0,39.0
4.15,12.0,21.69975,21.0,21.0,5.0,53.0,13.0,17.0,27.0,32.0
4.25,6.0,17.21526,17.0,17.0,1.0,44.0,9.0,13.0,21.0,26.0
4.35,9.0,13.67901,13.0,13.0,0.0,35.0,7.0,10.0,17.0,22.0
4.45,6.0,10.85415,11.0,10.0,0.0,30.0,5.0,8.0,14.0,18.0
4.55,10.0,8.63972,8.0,8.0,0.0,28.0,3.0,6.0,12.0,15.0
4.65,6.0,6.8449,7.0,6.0,0.0,21.0,2.0,4.0,9.0,13.0
4.75,3.0,5.44411,5.0,5.0,0.0,19.0,1.0,3.0,8.0,11.0
4.85,5.0,4.32507,4.0,4.0,0.0,17.0,1.0,2.0,6.0,9.0
4.95,2.0,3.43614,3.0,3.0,0.0,14.0,0.0,2.0,5.0,8.0
5.05,1.0,2.73277,3.0,2.0,0.0,13.0,0.0,1.0,4.0,6.0
5.15,0.0,2.16516,2.0,2.0,0.0,11.0,0.0,1.0,4.0,5.0
5.25,0.0,1.72361,2.0,1.0,0.0,9.0,0.0,0.0,3.0,5.0
5.35,0.0,1.36827,1.0,1.0,0.0,10.0,0.0,0.0,3.0,4.0
5.45,1.0,1.08976,1.0,1.0,0.0,8.0,0.0,0.0,2.0,4.0
5.55,1.0,0.87137,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
5.65,0.0,0.68226,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0
5.75,0.0,0.53994,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
5.85,0.0,0.42807,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
5.95,0.0,0.31154,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.05,0.0,0.26808,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.15,0.0,0.24589,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0
