Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.50079274,65.0,81.41886,76.0,74.0,33.0,430.0,53.0,63.0,95.0,156.0
1.0015855,67.0,96.83629,89.0,86.0,41.0,533.0,63.0,74.0,114.0,192.0
1.5023782,69.0,105.91049,97.0,93.0,45.0,580.0,68.0,81.0,125.0,214.0
2.003171,69.0,112.31627,103.0,95.0,46.0,610.0,72.0,85.0,133.0,229.0
2.5039637,69.0,117.23523,107.0,101.0,47.0,630.0,74.0,88.0,139.0,241.0
3.0047565,69.0,121.24283,110.0,101.0,49.0,639.0,77.0,91.0,144.0,251.0
3.5055492,69.0,124.61191,113.0,106.0,51.0,657.0,79.0,93.0,149.0,259.0
4.006342,70.0,127.50732,116.0,105.0,52.0,669.0,80.0,95.0,152.0,267.0
4.507135,71.0,130.03249,118.0,106.0,53.0,674.0,82.0,97.0,156.0,273.0
5.0079274,75.0,132.27382,120.0,106.0,54.0,695.0,83.0,99.0,159.0,278.0
5.5087204,77.0,134.2862,121.0,112.0,55.0,718.0,84.0,100.0,161.0,283.0
6.009513,78.0,136.10748,123.0,112.0,55.0,735.0,85.0,101.0,164.0,287.0
6.510306,79.0,137.803,124.0,113.0,55.0,742.0,86.0,102.0,166.0,291.0
7.0110984,79.0,139.33646,125.0,112.0,55.0,757.0,87.0,103.0,168.0,295.0
7.5118914,79.0,140.77985,127.0,113.0,56.0,763.0,88.0,104.0,170.0,298.0
8.012684,79.0,142.11073,128.0,119.0,56.0,767.0,88.0,105.0,172.0,301.0
8.513477,79.0,143.34747,129.0,122.0,57.0,772.0,89.0,106.0,173.0,305.0
9.01427,79.0,144.51726,130.0,121.0,57.0,787.0,90.0,106.0,175.0,308.0
9.515062,80.0,145.61278,131.0,120.0,57.0,798.0,90.0,107.0,176.0,310.0
10.015855,80.0,146.65266,132.0,120.0,57.0,806.0,91.0,108.0,178.0,313.0
10.516648,80.0,147.62764,132.0,123.0,57.0,815.0,91.0,108.0,179.0,316.0
11.017441,82.0,148.5461,133.0,123.0,57.0,820.0,92.0,109.0,180.0,318.0
11.518233,82.0,149.42747,134.0,121.0,57.0,822.0,92.0,110.0,181.0,320.0
12.019026,82.0,150.27235,135.0,124.0,58.0,823.0,93.0,110.0,183.0,323.0
12.519819,83.0,151.07646,135.0,121.0,58.0,825.0,93.0,111.0,184.0,325.0
13.020612,83.0,151.8391,136.0,124.0,58.0,830.0,94.0,111.0,185.0,327.0
13.521404,83.0,152.57828,136.0,124.0,58.0,832.0,94.0,112.0,186.0,329.0
14.022197,83.0,153.28595,137.0,124.0,58.0,834.0,94.0,112.0,187.0,330.0
14.52299,83.0,153.95958,138.0,125.0,58.0,835.0,95.0,113.0,188.0,332.0
15.023783,83.0,154.60907,138.0,125.0,59.0,836.0,95.0,113.0,189.0,333.0
15.524575,83.0,155.24445,139.0,127.0,59.0,842.0,95.0,113.0,189.0,335.0
16.025368,83.0,155.85188,139.0,127.0,59.0,843.0,96.0,114.0,190.0,336.0
16.526161,83.0,156.44733,140.0,127.0,60.0,844.0,96.0,114.0,191.0,338.0
17.026955,83.0,157.01697,140.0,127.0,60.0,846.0,96.0,114.0,192.0,339.0
17.527746,84.0,157.5606,140.0,127.0,60.0,848.0,97.0,115.0,193.0,341.0
18.02854,84.0,158.09933,141.0,127.0,60.0,849.0,97.0,115.0,193.0,342.0
18.529331,84.0,158.6262,141.0,128.0,60.0,852.0,97.0,115.0,194.0,343.0
19.030125,84.0,159.13097,142.0,128.0,60.0,852.0,97.0,116.0,195.0,344.0
19.530918,84.0,159.61607,142.0,128.0,60.0,852.0,98.0,116.0,196.0,346.0
20.03171,85.0,160.0906,143.0,128.0,60.0,854.0,98.0,116.0,196.0,347.0
20.532503,85.0,160.54736,143.0,132.0,60.0,855.0,98.0,117.0,197.0,348.0
21.033297,85.0,160.98991,143.0,132.0,60.0,857.0,98.0,117.0,198.0,349.0
21.534088,85.0,161.42442,144.0,132.0,61.0,858.0,99.0,117.0,198.0,350.0
22.034882,85.0,161.84415,144.0,128.0,61.0,858.0,99.0,118.0,199.0,351.0
22.535675,85.0,162.2564,144.0,130.0,61.0,861.0,99.0,118.0,199.0,352.0
23.036467,85.0,162.66089,145.0,135.0,61.0,861.0,99.0,118.0,200.0,353.0
23.53726,85.0,163.04457,145.0,135.0,61.0,862.0,99.0,118.0,200.0,354.0
24.038052,85.0,163.42654,145.0,134.0,61.0,862.0,100.0,118.0,201.0,355.0
24.538845,85.0,163.80019,146.0,135.0,61.0,862.0,100.0,119.0,201.0,356.0
25.039639,85.0,164.16646,146.0,135.0,61.0,863.0,100.0,119.0,202.0,357.0
25.54043,85.0,164.5261,146.0,134.0,61.0,864.0,100.0,119.0,202.0,358.0
26.041224,85.0,164.87762,146.0,134.0,61.0,867.0,100.0,119.0,203.0,359.0
26.542017,85.0,165.21817,147.0,135.0,61.0,868.0,101.0,120.0,203.0,360.0
27.042809,85.0,165.55087,147.0,134.0,61.0,869.0,101.0,120.0,204.0,360.0
27.543602,85.0,165.87563,147.0,133.0,62.0,871.0,101.0,120.0,204.0,361.0
28.044394,85.0,166.19016,148.0,133.0,64.0,874.0,101.0,120.0,204.0,362.0
28.545187,85.0,166.49236,148.0,134.0,64.0,874.0,101.0,120.0,205.0,363.0
29.04598,85.0,166.80261,148.0,134.0,64.0,874.0,102.0,121.0,205.0,364.0
29.546772,85.0,167.11407,148.0,137.0,64.0,875.0,102.0,121.0,206.0,365.0
30.047565,85.0,167.40683,149.0,137.0,64.0,878.0,102.0,121.0,206.0,365.0
