Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,363.0,1257.2758,1093.0,1007.0,692.0,6765.0,834.0,927.0,1549.0,2769.0
2.65,287.0,998.6137,868.0,790.0,541.0,5427.0,660.0,736.0,1229.0,2199.0
2.75,294.0,793.3586,690.0,617.0,417.0,4332.0,522.0,584.0,976.0,1748.0
2.85,195.0,630.1558,548.0,496.0,337.0,3451.0,414.0,463.0,777.0,1390.0
2.95,145.0,500.59818,436.0,397.0,257.0,2680.0,327.0,368.0,618.0,1104.0
3.05,146.0,397.70346,347.0,304.0,200.0,2193.0,258.0,291.0,491.0,879.0
3.15,104.0,315.86234,275.0,251.0,149.0,1744.0,203.0,231.0,391.0,698.0
3.25,112.0,250.89944,219.0,203.0,109.0,1445.0,160.0,183.0,311.0,554.0
3.35,80.0,199.226,174.0,151.0,85.0,1100.0,125.0,145.0,247.0,439.0
3.45,101.0,158.2368,139.0,126.0,63.0,889.0,98.0,114.0,197.0,350.0
3.55,94.0,125.66447,110.0,97.0,53.0,705.0,77.0,90.0,157.0,278.0
3.65,63.0,99.8914,88.0,78.0,37.0,567.0,60.0,71.0,125.0,222.0
3.75,28.0,79.33841,70.0,63.0,28.0,434.0,46.0,56.0,100.0,176.0
3.85,30.0,63.01475,56.0,50.0,20.0,352.0,36.0,44.0,80.0,140.0
3.95,25.0,50.07424,44.0,40.0,13.0,287.0,27.0,35.0,64.0,112.0
4.05,20.0,39.75696,35.0,33.0,9.0,230.0,21.0,27.0,51.0,88.0
4.15,13.0,31.58518,28.0,26.0,7.0,190.0,16.0,21.0,41.0,71.0
4.25,6.0,25.10589,22.0,20.0,3.0,147.0,12.0,16.0,33.0,56.0
4.35,9.0,19.91927,18.0,16.0,2.0,130.0,9.0,13.0,26.0,45.0
4.45,6.0,15.83501,14.0,12.0,1.0,90.0,6.0,10.0,21.0,36.0
4.55,10.0,12.59198,11.0,10.0,0.0,76.0,5.0,7.0,17.0,29.0
4.65,6.0,9.99008,9.0,8.0,0.0,59.0,3.0,6.0,14.0,23.0
4.75,3.0,7.92485,7.0,6.0,0.0,53.0,2.0,4.0,11.0,19.0
4.85,5.0,6.31045,6.0,5.0,0.0,37.0,1.0,3.0,9.0,15.0
4.95,2.0,5.01063,4.0,4.0,0.0,32.0,1.0,2.0,8.0,13.0
5.05,1.0,3.96956,4.0,3.0,0.0,27.0,0.0,2.0,6.0,10.0
5.15,0.0,3.1521,3.0,2.0,0.0,25.0,0.0,1.0,5.0,9.0
5.25,0.0,2.50478,2.0,2.0,0.0,23.0,0.0,1.0,4.0,7.0
5.35,0.0,1.99921,2.0,1.0,0.0,17.0,0.0,0.0,4.0,6.0
5.45,1.0,1.58302,1.0,1.0,0.0,13.0,0.0,0.0,3.0,5.0
5.55,1.0,1.25436,1.0,1.0,0.0,12.0,0.0,0.0,2.0,4.0
5.65,0.0,0.99779,1.0,0.0,0.0,11.0,0.0,0.0,2.0,4.0
5.75,0.0,0.78862,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
5.85,0.0,0.62819,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
5.95,0.0,0.43816,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.05,0.0,0.41504,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.15,0.0,0.34269,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.25,0.0,0.16383,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.35,0.0,0.12174,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.45,0.0,0.08372,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.55,0.0,0.04821,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.65,0.0,0.04524,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.75,0.0,0.0349,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
6.85,0.0,0.03315,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.95,0.0,0.02609,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.05,0.0,0.01499,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.15,0.0,0.01879,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.25,0.0,0.01776,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.35,0.0,0.005,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.45,0.0,0.00772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.55,0.0,0.01368,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.75,0.0,0.00162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.85,0.0,0.00115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.95,0.0,9.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.05,0.0,4.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.15,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
