Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2302514E-4,2.5205986E-4,5.719792E-4,2.2692196,3.2E-4,5.27144E-4,0.0010798109,0.0014394223,1.3330317,3.6E-4,0.0063991086,0.013067958,0.013512077,1.0339854,4.5E-4,0.06217949,0.12438412,0.12488322,1.0040126,5.7E-4
6.1,1.2302514E-4,2.5205986E-4,5.719792E-4,2.2692196,3.2E-4,5.27144E-4,0.0010798109,0.0014394223,1.3330317,3.6E-4,0.0063991086,0.013067958,0.013512077,1.0339854,4.5E-4,0.06217949,0.12438412,0.12488322,1.0040126,5.7E-4
6.2,1.2203569E-4,2.502277E-4,5.6015013E-4,2.2385616,3.1E-4,5.2290526E-4,0.0010719653,0.0014215901,1.3261532,3.5E-4,0.006347804,0.012973578,0.01340787,1.033475,4.4E-4,0.061695136,0.123571314,0.12406211,1.0039718,5.6E-4
6.3,1.2142645E-4,2.4908737E-4,5.590102E-4,2.2442331,3.1E-4,5.202953E-4,0.0010670823,0.0014167088,1.3276472,3.5E-4,0.006316212,0.012914834,0.013349151,1.0336293,4.4E-4,0.06139677,0.12306532,0.123556405,1.0039904,5.6E-4
6.4,1.1865206E-4,2.4414246E-4,5.540668E-4,2.2694404,3.1E-4,5.0840975E-4,0.0010459068,0.0013855512,1.3247367,3.4E-4,0.006172335,0.012660044,0.013084601,1.0335351,4.3E-4,0.060036868,0.12085904,0.12134257,1.0040008,5.5E-4
6.5,1.17443946E-4,2.4207575E-4,5.520007E-4,2.2802808,3.1E-4,5.032341E-4,0.0010370566,0.001376704,1.327511,3.4E-4,0.006109677,0.012553536,0.012978138,1.0338233,4.3E-4,0.059444077,0.11993008,0.12041412,1.004036,5.5E-4
6.6,1.13579066E-4,2.3516564E-4,5.4509274E-4,2.3179097,3.1E-4,4.866766E-4,0.001007465,0.0013471225,1.3371407,3.4E-4,0.0059092017,0.012197345,0.012622099,1.0348235,4.3E-4,0.057545185,0.1168492,0.1173261,1.0040814,5.4E-4
6.7,1.1271412E-4,2.336088E-4,5.435364E-4,2.3266947,3.1E-4,4.829711E-4,0.001000798,0.0013404577,1.339389,3.4E-4,0.005864331,0.012117079,0.012541869,1.0350571,4.3E-4,0.057119697,0.11615275,0.11663003,1.004109,5.4E-4
6.8,1.1217975E-4,2.3249313E-4,5.324234E-4,2.2900608,3.0E-4,4.8068175E-4,9.960202E-4,0.0013256915,1.3309886,3.3E-4,0.005836608,0.012059555,0.01247449,1.0344071,4.2E-4,0.056856725,0.11565061,0.116110474,1.0039763,5.2E-4
6.9,1.1146753E-4,2.3098059E-4,5.309113E-4,2.2985106,3.0E-4,4.7763053E-4,9.895428E-4,0.0013192162,1.3331573,3.3E-4,0.0057996577,0.011981564,0.012396531,1.0346339,4.2E-4,0.056506127,0.11497027,0.11543048,1.0040029,5.2E-4
7.0,1.0965793E-4,2.2721413E-4,5.27146E-4,2.3200405,3.0E-4,4.698779E-4,9.734129E-4,0.0013030916,1.3386834,3.3E-4,0.005705768,0.011787324,0.012192491,1.0343732,4.1E-4,0.055614736,0.11327011,0.11372235,1.0039926,5.1E-4
7.1,9.927982E-5,2.0540332E-4,5.053417E-4,2.460241,3.0E-4,4.2541555E-4,8.8000396E-4,0.0012097136,1.3746684,3.3E-4,0.0051671406,0.010661708,0.011057444,1.0371175,4.0E-4,0.05048634,0.10336573,0.10380508,1.0042504,4.9E-4
7.2,9.696786E-5,2.0044584E-4,5.003857E-4,2.4963636,3.0E-4,4.1551032E-4,8.587718E-4,0.0011884883,1.3839397,3.3E-4,0.00504711,0.010405703,0.010801542,1.0380404,4.0E-4,0.04934009,0.10110233,0.10154279,1.0043566,4.9E-4
7.3,9.4727984E-5,1.9473763E-4,4.946792E-4,2.5402343,3.0E-4,4.0591392E-4,8.343239E-4,0.0011640486,1.3951999,3.3E-4,0.0049308087,0.010110851,0.010506807,1.0391614,4.0E-4,0.048228268,0.09847412,0.09891587,1.004486,4.9E-4
7.4,9.220358E-5,1.8844259E-4,4.7838793E-4,2.5386403,2.9E-4,3.9509835E-4,8.07362E-4,0.0011271037,1.3960326,3.2E-4,0.004799717,0.009785578,0.010171761,1.0394646,3.9E-4,0.046973653,0.09555831,0.09599244,1.0045431,4.8E-4
7.5,7.71631E-5,1.5179155E-4,4.2175056E-4,2.778485,2.7E-4,3.306571E-4,6.5037323E-4,9.501781E-4,1.4609736,3.0E-4,0.0040183207,0.007889617,0.008246777,1.0452696,3.6E-4,0.03946433,0.078289196,0.07869475,1.0051802,4.4E-4
7.6,7.5634416E-5,1.4838556E-4,3.9834846E-4,2.68455,2.5E-4,3.241072E-4,6.357833E-4,9.156053E-4,1.4401217,2.8E-4,0.0039388672,0.007713256,0.008050634,1.0437399,3.4E-4,0.038697794,0.076654874,0.077042684,1.0050591,4.2E-4
7.7,6.3783E-5,1.2359623E-4,2.8357646E-4,2.2943778,1.6E-4,2.7332708E-4,5.2959064E-4,7.1949E-4,1.3585777,1.9E-4,0.0033226798,0.0064287307,0.0066671874,1.0370924,2.4E-4,0.032734364,0.06454488,0.06482551,1.0043479,3.0E-4
7.8,5.863422E-5,1.14169685E-4,2.7415142E-4,2.4012628,1.6E-4,2.512653E-4,4.892069E-4,6.79114E-4,1.3881937,1.9E-4,0.003054864,0.0059398497,0.0061784238,1.0401651,2.4E-4,0.030132094,0.05966162,0.059934318,1.0045707,2.9E-4
7.9,4.595283E-5,8.426815E-5,1.8425973E-4,2.186588,1.0E-4,1.9692584E-4,3.6109926E-4,4.7105952E-4,1.3045154,1.1E-4,0.0023949358,0.0043875277,0.004546826,1.036307,1.6E-4,0.023692891,0.044363137,0.044563822,1.0045236,2.1E-4
8.0,3.2950178E-5,5.077396E-5,1.0077142E-4,1.9847068,5.0E-5,1.412074E-4,2.1758456E-4,2.775715E-4,1.2756948,6.0E-5,0.0017178444,0.0026458753,0.0027356374,1.0339252,9.0E-5,0.017046256,0.027181072,0.027268626,1.0032212,9.0E-5
8.1,1.9177472E-5,1.9183733E-5,2.9183542E-5,1.5212649,1.0E-5,8.218658E-5,8.221342E-5,9.221259E-5,1.1216247,1.0E-5,0.0010001622,0.0010004893,0.0010104793,1.0099851,1.0E-5,0.009956728,0.010757887,0.010767779,1.0009196,1.0E-5
8.2,8.643924E-6,5.473668E-6,5.473668E-6,1.0,0.0,3.704486E-5,2.3458366E-5,2.3458366E-5,1.0,0.0,4.5092785E-4,2.8556827E-4,2.8556827E-4,1.0,0.0,0.0045001395,0.0032481793,0.0032481793,1.0,0.0
8.3,1.983087E-6,7.6564595E-7,7.6564595E-7,1.0,0.0,8.498917E-6,3.281336E-6,3.281336E-6,1.0,0.0,1.034694E-4,3.9949547E-5,3.9949547E-5,1.0,0.0,0.0010342124,4.717979E-4,4.717979E-4,1.0,0.0
