Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.7296055E-5,1.8103729E-5,3.780972E-4,20.885046,3.6E-4,7.412385E-5,7.7585224E-5,4.5755573E-4,5.89746,3.8E-4,9.0208417E-4,9.4421144E-4,0.0013738055,1.4549764,4.3E-4,0.008984311,0.009404116,0.009849885,1.0474014,4.5E-4
6.1,1.7296055E-5,1.8103729E-5,3.780972E-4,20.885046,3.6E-4,7.412385E-5,7.7585224E-5,4.5755573E-4,5.89746,3.8E-4,9.0208417E-4,9.4421144E-4,0.0013738055,1.4549764,4.3E-4,0.008984311,0.009404116,0.009849885,1.0474014,4.5E-4
6.2,1.7296055E-5,1.8103729E-5,3.780972E-4,20.885046,3.6E-4,7.412385E-5,7.7585224E-5,4.5755573E-4,5.89746,3.8E-4,9.0208417E-4,9.4421144E-4,0.0013738055,1.4549764,4.3E-4,0.008984311,0.009404116,0.009849885,1.0474014,4.5E-4
6.3,1.0669118E-5,1.1135425E-5,2.7113254E-4,24.348648,2.6E-4,4.5723988E-5,4.772239E-5,3.27709E-4,6.8669868,2.8E-4,5.5654737E-4,5.80868E-4,8.806937E-4,1.5161685,3.0E-4,0.0055515557,0.0057937936,0.0061119394,1.0549115,3.2E-4
6.4,1.0669118E-5,1.1135425E-5,2.7113254E-4,24.348648,2.6E-4,4.5723988E-5,4.772239E-5,3.27709E-4,6.8669868,2.8E-4,5.5654737E-4,5.80868E-4,8.806937E-4,1.5161685,3.0E-4,0.0055515557,0.0057937936,0.0061119394,1.0549115,3.2E-4
6.5,8.790038E-6,9.170197E-6,2.591679E-4,28.261978,2.5E-4,3.767105E-5,3.930026E-5,3.0928964E-4,7.8699136,2.7E-4,4.585485E-4,4.7837716E-4,7.582432E-4,1.5850322,2.8E-4,0.0045760344,0.004773638,0.0050722063,1.0625452,3.0E-4
6.6,7.396949E-6,7.715537E-6,2.07714E-4,26.921522,2.0E-4,3.1700827E-5,3.3066175E-5,2.3305956E-4,7.0482774,2.0E-4,3.858892E-4,4.025073E-4,6.024268E-4,1.4966854,2.0E-4,0.003852198,0.00401789,0.004227046,1.0520562,2.1E-4
6.7,6.4600285E-6,6.738031E-6,1.7673688E-4,26.229752,1.7E-4,2.7685543E-5,2.887696E-5,1.9887205E-4,6.886876,1.7E-4,3.3701936E-4,3.5152107E-4,5.214613E-4,1.4834425,1.7E-4,0.0033650869,0.003509732,0.0036891003,1.051106,1.8E-4
6.8,5.600104E-6,5.836009E-6,1.7583501E-4,30.129324,1.7E-4,2.4000226E-5,2.5011232E-5,1.9500699E-4,7.7967763,1.7E-4,2.9216358E-4,3.044698E-4,4.7441805E-4,1.5581777,1.7E-4,0.0029177975,0.003040588,0.0032200408,1.0590191,1.8E-4
6.9,4.839122E-6,5.0395092E-6,1.3503885E-4,26.796032,1.3E-4,2.0738931E-5,2.159772E-5,1.5159491E-4,7.019024,1.3E-4,2.5246723E-4,2.6292098E-4,3.928868E-4,1.4943151,1.3E-4,0.002521806,0.002626147,0.0027657792,1.0531701,1.4E-4
7.0,3.6937633E-6,3.845208E-6,7.384494E-5,19.204407,7.0E-5,1.5830317E-5,1.647936E-5,8.6478205E-5,5.247668,7.0E-5,1.9271708E-4,2.0061806E-4,2.70604E-4,1.3488517,7.0E-5,0.0019255003,0.002004401,0.0020842406,1.0398321,8.0E-5
7.1,2.7858857E-6,2.8978538E-6,4.2897736E-5,14.803279,4.0E-5,1.1939455E-5,1.2419316E-5,5.2418818E-5,4.2207494,4.0E-5,1.4535317E-4,1.511949E-4,1.9118884E-4,1.2645192,4.0E-5,0.0014525814,0.0015109418,0.0015608663,1.033042,5.0E-5
7.2,2.1672065E-6,2.2540128E-6,4.2253923E-5,18.746088,4.0E-5,9.2879945E-6,9.66002E-6,4.9659633E-5,5.140738,4.0E-5,1.1307546E-4,1.1760458E-4,1.5759988E-4,1.3400828,4.0E-5,0.0011301794,0.0011754417,0.0012253829,1.0424871,5.0E-5
7.3,1.4823496E-6,1.5422102E-6,2.1542179E-5,13.968381,2.0E-5,6.3529114E-6,6.6094562E-6,2.6609325E-5,4.0259476,2.0E-5,7.734395E-5,8.046731E-5,1.004657E-4,1.2485281,2.0E-5,7.731704E-4,8.0439687E-4,8.243808E-4,1.0248433,2.0E-5
7.4,4.2321457E-7,4.4108765E-7,1.0441083E-5,23.67122,1.0E-5,1.8137755E-6,1.8903745E-6,1.1890355E-5,6.289947,1.0E-5,2.2082493E-5,2.3015113E-5,3.3014883E-5,1.4344871,1.0E-5,2.2080299E-4,2.3013182E-4,2.4012952E-4,1.0434433,1.0E-5
7.5,5.6942316E-8,5.9415648E-8,5.9415648E-8,1.0,0.0,2.440385E-7,2.5463845E-7,2.5463845E-7,1.0,0.0,2.9711643E-6,3.1002196E-6,3.1002196E-6,1.0,0.0,2.9711247E-5,3.1001844E-5,3.1001844E-5,1.0,0.0
