Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.5181727E-5,2.51973E-5,0.0074750097,296.65915,0.00745,1.0791722E-4,1.0798398E-4,0.009256996,85.72564,0.00915,0.0013131002,0.0013139155,0.013457938,10.242621,0.01216,0.013053683,0.013141977,0.027905373,2.123377,0.01496
6.1,2.5077732E-5,2.5098372E-5,0.0074749114,297.82455,0.00745,1.0747157E-4,1.0756004E-4,0.009256576,86.059616,0.00915,0.001307681,0.0013087603,0.013442859,10.271445,0.01215,0.013000126,0.013091032,0.027845321,2.127053,0.01495
6.2,2.494612E-5,2.498005E-5,0.007474794,299.23053,0.00745,1.0690756E-4,1.0705298E-4,0.009256073,86.46255,0.00915,0.0013008224,0.0013025942,0.013436767,10.315391,0.01215,0.012932341,0.013030097,0.027785297,2.1323938,0.01495
6.3,2.4733758E-5,2.479942E-5,0.007474615,301.4028,0.00745,1.0599751E-4,1.06278916E-4,0.009255307,87.08507,0.00915,0.0012897556,0.0012931811,0.013427469,10.3832855,0.01215,0.012822957,0.012937066,0.027693657,2.1406443,0.01495
6.4,2.3237335E-5,2.317873E-5,0.007473006,322.4079,0.00745,9.958477E-5,9.933365E-5,0.009238426,93.00399,0.00914,0.0012117702,0.001208719,0.013284106,10.990234,0.01209,0.012051838,0.012101916,0.02678208,2.213045,0.01486
6.5,2.2732203E-5,2.2993298E-5,0.007472822,325.0,0.00745,9.742009E-5,9.8539E-5,0.009237639,93.74602,0.00914,0.0011854442,0.0011990548,0.013274558,11.070852,0.01209,0.011791403,0.012006322,0.026687909,2.2228212,0.01486
6.6,2.1319436E-5,2.17735E-5,0.0074716113,343.1516,0.00745,9.136581E-5,9.331167E-5,0.009232459,98.94216,0.00914,0.001111811,0.0011354799,0.013211752,11.635391,0.01209,0.011062649,0.011377227,0.02606816,2.291258,0.01486
6.7,1.970802E-5,2.0393396E-5,0.0074702413,366.3069,0.00745,8.446021E-5,8.739735E-5,0.009226599,105.570694,0.00914,0.001027818,0.001063545,0.013140687,12.355553,0.01209,0.010230771,0.010664964,0.025356589,2.3775597,0.01485
6.8,1.8744462E-5,1.9901045E-5,0.007459753,374.8423,0.00744,8.033094E-5,8.5287415E-5,0.00920451,107.92342,0.00912,9.775903E-4,0.0010378812,0.013075375,12.598141,0.01205,0.009733009,0.01041075,0.025066568,2.407758,0.01481
6.9,1.7559682E-5,1.8953415E-5,0.0074588126,393.53397,0.00744,7.5253614E-5,8.12264E-5,0.009200485,113.269646,0.00912,9.158276E-4,9.884841E-4,0.0130165825,13.168225,0.01204,0.0091206245,0.009921231,0.024554595,2.4749544,0.01478
7.0,1.6794445E-5,1.8216237E-5,0.007438081,408.3215,0.00742,7.197421E-5,7.8067256E-5,0.009177357,117.55705,0.0091,8.759337E-4,9.5005584E-4,0.012948645,13.629353,0.01201,0.008724891,0.009540141,0.024139518,2.5303106,0.01474
7.1,1.6337795E-5,1.7717046E-5,0.007427586,419.2339,0.00741,7.0017246E-5,7.5927994E-5,0.009165238,120.7096,0.00909,8.521265E-4,9.240326E-4,0.012902954,13.963743,0.01199,0.008488664,0.009281996,0.023855457,2.5700784,0.01471
7.2,1.5780008E-5,1.7165687E-5,0.0074270386,432.66772,0.00741,6.762685E-5,7.356516E-5,0.009162896,124.55484,0.00909,8.2304585E-4,8.9528906E-4,0.012864564,14.369173,0.01198,0.008200042,0.008996838,0.023524944,2.6148014,0.01466
7.3,1.5058865E-5,1.6618762E-5,0.007396496,445.06903,0.00738,6.45364E-5,7.122133E-5,0.009130576,128.20003,0.00906,7.854473E-4,8.667759E-4,0.012806418,14.774774,0.01195,0.00782677,0.008713539,0.023176407,2.6598158,0.01459
