Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3783202E-5,1.47110895E-5,1.7014921E-4,11.5660515,1.5544042E-4,5.906953E-5,6.30461E-5,2.7028692E-4,4.2871313,2.0725389E-4,7.189342E-4,7.6733343E-4,0.0011297495,1.4723058,3.626943E-4,0.0071661277,0.007648596,0.008265602,1.0806692,6.2176166E-4
6.1,1.3783202E-5,1.47110895E-5,1.7014921E-4,11.5660515,1.5544042E-4,5.906953E-5,6.30461E-5,2.7028692E-4,4.2871313,2.0725389E-4,7.189342E-4,7.6733343E-4,0.0011297495,1.4723058,3.626943E-4,0.0071661277,0.007648596,0.008265602,1.0806692,6.2176166E-4
6.2,1.3783202E-5,1.47110895E-5,1.7014921E-4,11.5660515,1.5544042E-4,5.906953E-5,6.30461E-5,2.7028692E-4,4.2871313,2.0725389E-4,7.189342E-4,7.6733343E-4,0.0011297495,1.4723058,3.626943E-4,0.0071661277,0.007648596,0.008265602,1.0806692,6.2176166E-4
6.3,1.10494875E-5,1.1793136E-5,1.1541886E-4,9.786952,1.03626946E-4,4.7354086E-5,5.054109E-5,2.0597364E-4,4.0753703,1.5544042E-4,5.763835E-4,6.151744E-4,9.25864E-4,1.505043,3.1088083E-4,0.005748908,0.0061357557,0.0065992153,1.0755343,4.6632125E-4
6.4,1.10494875E-5,1.1793136E-5,1.1541886E-4,9.786952,1.03626946E-4,4.7354086E-5,5.054109E-5,2.0597364E-4,4.0753703,1.5544042E-4,5.763835E-4,6.151744E-4,9.25864E-4,1.505043,3.1088083E-4,0.005748908,0.0061357557,0.0065992153,1.0755343,4.6632125E-4
6.5,9.788949E-6,1.045432E-5,6.226725E-5,5.956126,5.1813473E-5,4.1951964E-5,4.480351E-5,1.4842581E-4,3.3128166,1.03626946E-4,5.1064545E-4,5.453555E-4,8.0428156E-4,1.474784,2.5906737E-4,0.0050947363,0.0054410985,0.005853351,1.0757664,4.1450778E-4
6.6,8.810006E-6,9.4136285E-6,9.4136285E-6,1.0,0.0,3.775662E-5,4.0343548E-5,9.215493E-5,2.2842546,5.1813473E-5,4.5958988E-4,4.9108086E-4,6.9823297E-4,1.4218289,2.0725389E-4,0.0045864056,0.004900839,0.0052101966,1.0631233,3.1088083E-4
6.7,8.80128E-6,9.404108E-6,9.404108E-6,1.0,0.0,3.7719226E-5,4.0302748E-5,9.211413E-5,2.2855546,5.1813473E-5,4.591348E-4,4.9058435E-4,6.9773657E-4,1.422256,2.0725389E-4,0.004581874,0.0048958957,0.0052052545,1.0631874,3.1088083E-4
6.8,6.8994877E-6,7.380076E-6,7.380076E-6,1.0,0.0,2.9568899E-5,3.162856E-5,8.344039E-5,2.6381345,5.1813473E-5,3.5994186E-4,3.8501783E-4,5.9219194E-4,1.5380896,2.0725389E-4,0.003593594,0.0038443129,0.004102384,1.0671307,2.5906737E-4
6.9,4.9328037E-6,5.2709615E-6,5.2709615E-6,1.0,0.0,2.1140417E-5,2.2589675E-5,2.2589675E-5,1.0,0.0,2.5735417E-4,2.7500073E-4,3.785992E-4,1.3767207,1.03626946E-4,0.0025705635,0.0027472095,0.0029022228,1.0564258,1.5544042E-4
7.0,3.347973E-6,3.59003E-6,3.59003E-6,1.0,0.0,1.4348378E-5,1.5385775E-5,1.5385775E-5,1.0,0.0,1.746775E-4,1.8730981E-4,2.9091735E-4,1.5531346,1.03626946E-4,0.0017454025,0.0018719219,0.001975355,1.0552549,1.03626946E-4
7.1,1.2073567E-6,1.293482E-6,1.293482E-6,1.0,0.0,5.1743755E-6,5.543492E-6,5.543492E-6,1.0,0.0,6.29962E-5,6.749156E-5,6.749156E-5,1.0,0.0,6.297835E-4,6.7487074E-4,6.7487074E-4,1.0,0.0
