Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2302514E-4,2.5204287E-4,3.556437E-4,1.4110445,1.03626946E-4,5.27144E-4,0.0010797381,0.0011832532,1.0958705,1.03626946E-4,0.0063991086,0.0130670825,0.013373901,1.0234803,3.1088083E-4,0.06217949,0.12439073,0.12484441,1.0036472,5.1813474E-4
6.1,1.2302514E-4,2.5204287E-4,3.556437E-4,1.4110445,1.03626946E-4,5.27144E-4,0.0010797381,0.0011832532,1.0958705,1.03626946E-4,0.0063991086,0.0130670825,0.013373901,1.0234803,3.1088083E-4,0.06217949,0.12439073,0.12484441,1.0036472,5.1813474E-4
6.2,1.2203569E-4,2.5021084E-4,3.5381186E-4,1.4140549,1.03626946E-4,5.2290526E-4,0.0010718931,0.001175409,1.096573,1.03626946E-4,0.006347804,0.01297271,0.013279557,1.0236534,3.1088083E-4,0.061695136,0.12357691,0.124031015,1.0036746,5.1813474E-4
6.3,1.2142645E-4,2.4907055E-4,3.526717E-4,1.4159509,1.03626946E-4,5.202953E-4,0.0010670102,0.0011705266,1.0970154,1.03626946E-4,0.006316212,0.012913967,0.013220833,1.0237623,3.1088083E-4,0.06139677,0.12307103,0.123525396,1.0036919,5.1813474E-4
6.4,1.1865206E-4,2.44126E-4,3.4772765E-4,1.4243778,1.03626946E-4,5.0840975E-4,0.0010458364,0.001149355,1.0989816,1.03626946E-4,0.006172335,0.012659196,0.012914984,1.0202057,2.5906737E-4,0.060036868,0.1208638,0.12127376,1.0033919,4.6632125E-4
6.5,1.17443946E-4,2.4205919E-4,3.4566104E-4,1.4280021,1.03626946E-4,5.032341E-4,0.0010369857,0.0011405052,1.0998273,1.03626946E-4,0.006109677,0.012552682,0.012808498,1.0203793,2.5906737E-4,0.059444077,0.11993805,0.120348446,1.0034217,4.6632125E-4
6.6,1.13579066E-4,2.3514954E-4,3.387521E-4,1.4405817,1.03626946E-4,4.866766E-4,0.001007396,0.0011109186,1.1027625,1.03626946E-4,0.0059092017,0.012196515,0.012452423,1.020982,2.5906737E-4,0.057545185,0.11685214,0.11726397,1.0035244,4.6632125E-4
6.7,1.1271412E-4,2.3359268E-4,3.3719544E-4,1.4435188,1.03626946E-4,4.829711E-4,0.0010007289,0.0011042522,1.1034478,1.03626946E-4,0.005864331,0.012116249,0.012372177,1.0211227,2.5906737E-4,0.057119697,0.116155714,0.116567865,1.0035483,4.6632125E-4
6.8,1.1217975E-4,2.3247694E-4,3.360798E-4,1.4456478,1.03626946E-4,4.8068175E-4,9.959509E-4,0.0010994746,1.1039447,1.03626946E-4,0.005836608,0.012058721,0.012314664,1.0212247,2.5906737E-4,0.056856725,0.11565396,0.11606635,1.0035657,4.6632125E-4
6.9,1.1146753E-4,2.3096445E-4,3.3456745E-4,1.4485669,1.03626946E-4,4.7763053E-4,9.894737E-4,0.0010929981,1.1046257,1.03626946E-4,0.0057996577,0.011980731,0.012236695,1.0213646,2.5906737E-4,0.056506127,0.11497439,0.1153871,1.0035895,4.6632125E-4
