Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.543992E-5,2.7926513E-5,8.125835E-5,2.909721,5.3333333E-5,1.5187653E-4,1.1967963E-4,1.9967006E-4,1.6683712,8.0E-5,0.0018475284,0.0014561379,0.0015626492,1.0731465,1.0666667E-4,0.018322436,0.014869647,0.015000998,1.0088335,1.3333333E-4
6.1,3.542281E-5,2.7926513E-5,8.125835E-5,2.909721,5.3333333E-5,1.5180321E-4,1.1967963E-4,1.9967006E-4,1.6683712,8.0E-5,0.0018466372,0.0014561379,0.0015626492,1.0731465,1.0666667E-4,0.018313672,0.014869647,0.015000998,1.0088335,1.3333333E-4
6.2,3.4688688E-5,2.7926511E-5,8.125835E-5,2.909721,5.3333333E-5,1.4865733E-4,1.1967963E-4,1.9967006E-4,1.6683713,8.0E-5,0.0018084005,0.0014561379,0.0015626492,1.0731465,1.0666667E-4,0.017937548,0.014869647,0.015000998,1.0088335,1.3333333E-4
6.3,3.2087122E-5,2.7771865E-5,8.110372E-5,2.9203556,5.3333333E-5,1.3750899E-4,1.1901691E-4,1.990074E-4,1.6720934,8.0E-5,0.0016728862,0.00144808,0.0015545922,1.073554,1.0666667E-4,0.016603488,0.014790683,0.014922044,1.0088813,1.3333333E-4
6.4,3.1828724E-5,2.7738852E-5,8.1070706E-5,2.922641,5.3333333E-5,1.364017E-4,1.1887544E-4,1.9886594E-4,1.6728933,8.0E-5,0.0016594254,0.0014463598,0.0015528722,1.0736417,1.0666667E-4,0.016470885,0.014773762,0.014905125,1.0088917,1.3333333E-4
6.5,3.1563577E-5,2.747857E-5,8.081044E-5,2.940853,5.3333333E-5,1.3526545E-4,1.1776006E-4,1.9775063E-4,1.6792675,8.0E-5,0.0016456128,0.0014327979,0.0015393117,1.0743397,1.0666667E-4,0.0163348,0.014640348,0.014771729,1.008974,1.3333333E-4
6.6,3.1467625E-5,2.7322796E-5,8.0654674E-5,2.9519188,5.3333333E-5,1.3485427E-4,1.1709251E-4,1.9708314E-4,1.6831405,8.0E-5,0.0016406142,0.0014246812,0.0015311958,1.0747639,1.0666667E-4,0.016285548,0.014560594,0.014691986,1.0090238,1.3333333E-4
6.7,3.1223695E-5,2.6940816E-5,8.027271E-5,2.9795947,5.3333333E-5,1.3380898E-4,1.15455594E-4,1.9544635E-4,1.6928271,8.0E-5,0.0016279068,0.0014047775,0.0015112944,1.0758247,1.0666667E-4,0.01616033,0.014364966,0.014496384,1.0091485,1.3333333E-4
6.8,3.1015585E-5,2.6761822E-5,8.009373E-5,2.9928353,5.3333333E-5,1.3291716E-4,1.1468855E-4,1.9467938E-4,1.6974612,8.0E-5,0.001617065,0.0013954508,0.0015019686,1.0763322,1.0666667E-4,0.016053487,0.014272246,0.014403677,1.0092088,1.3333333E-4
6.9,2.6641965E-5,2.2184247E-5,7.55164E-5,3.404055,5.3333333E-5,1.1417485E-4,9.50719E-5,1.750643E-4,1.8413885,8.0E-5,0.0013891924,0.0011568897,0.0012634329,1.0920945,1.0666667E-4,0.0138054015,0.011882438,0.012014188,1.0110877,1.3333333E-4
