Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.2554693E-5,4.725218E-5,7.391759E-5,1.5643212,2.6666667E-5,1.8236451E-4,2.0249544E-4,2.8247925E-4,1.3949907,8.0E-5,0.002218027,0.0024629154,0.0025693192,1.0432024,1.0666667E-4,0.02196019,0.024390234,0.024546333,1.0064,1.6E-4
6.1,4.2554693E-5,4.725218E-5,7.391759E-5,1.5643212,2.6666667E-5,1.8236451E-4,2.0249544E-4,2.8247925E-4,1.3949907,8.0E-5,0.002218027,0.0024629154,0.0025693192,1.0432024,1.0666667E-4,0.02196019,0.024390234,0.024546333,1.0064,1.6E-4
6.2,4.2554693E-5,4.725218E-5,7.391759E-5,1.5643212,2.6666667E-5,1.8236451E-4,2.0249544E-4,2.8247925E-4,1.3949907,8.0E-5,0.002218027,0.0024629154,0.0025693192,1.0432024,1.0666667E-4,0.02196019,0.024390234,0.024546333,1.0064,1.6E-4
6.3,1.9617712E-5,1.8268593E-5,1.8268593E-5,1.0,0.0,8.40732E-5,7.829172E-5,1.3162088E-4,1.6811596,5.3333333E-5,0.0010231105,9.52804E-4,0.0010060865,1.0559218,5.3333333E-5,0.01018413,0.009490474,0.009569716,1.0083495,8.0E-5
6.4,1.5611336E-5,1.3604271E-5,1.3604271E-5,1.0,0.0,6.690401E-5,5.8302747E-5,8.496786E-5,1.457356,2.6666667E-5,8.142519E-4,7.0961076E-4,7.362585E-4,1.0375526,2.6666667E-5,0.008112748,0.0070754145,0.0071283705,1.0074846,5.3333333E-5
6.5,1.5150166E-5,1.3100925E-5,1.3100925E-5,1.0,0.0,6.492767E-5,5.6145647E-5,8.281082E-5,1.4749285,2.6666667E-5,7.9020765E-4,6.8336475E-4,7.1001315E-4,1.038996,2.6666667E-5,0.007874036,0.0068145846,0.0068675545,1.007773,5.3333333E-5
6.6,1.295588E-5,1.0380725E-5,1.0380725E-5,1.0,0.0,5.552402E-5,4.4488075E-5,7.1153554E-5,1.5993849,2.6666667E-5,6.7579525E-4,5.4150965E-4,5.681619E-4,1.0492184,2.6666667E-5,0.006737438,0.0054033357,0.0054563805,1.0098171,5.3333333E-5
6.7,1.2542085E-5,9.899369E-6,9.899369E-6,1.0,0.0,5.3750682E-5,4.242519E-5,6.9090725E-5,1.6285307,2.6666667E-5,6.542181E-4,5.164061E-4,5.43059E-4,1.0516123,2.6666667E-5,0.006522954,0.0051534795,0.005206538,1.0102956,5.3333333E-5
6.8,1.2195878E-5,9.495415E-6,9.495415E-6,1.0,0.0,5.2267E-5,4.069401E-5,6.735959E-5,1.6552705,2.6666667E-5,6.36165E-4,4.9533875E-4,5.219922E-4,1.0538086,2.6666667E-5,0.0063434686,0.004943688,0.0049967575,1.0107348,5.3333333E-5
6.9,1.1580298E-5,8.772933E-6,8.772933E-6,1.0,0.0,4.9628903E-5,3.7597754E-5,6.426342E-5,1.7092355,2.6666667E-5,6.040644E-4,4.5765814E-4,4.8431262E-4,1.058241,2.6666667E-5,0.00602425,0.0045684157,0.0046215057,1.011621,5.3333333E-5
7.0,1.0964795E-5,8.083994E-6,8.083994E-6,1.0,0.0,4.6991136E-5,3.4645236E-5,6.131098E-5,1.7696799,2.6666667E-5,5.7196687E-4,4.2172565E-4,4.4838106E-4,1.0632056,2.6666667E-5,0.0057049696,0.004210462,0.0042635705,1.0126135,5.3333333E-5
7.1,1.0230601E-5,7.3266697E-6,7.3266697E-6,1.0,0.0,4.3844695E-5,3.1399642E-5,5.806547E-5,1.84924,2.6666667E-5,5.336784E-4,3.8222488E-4,4.0888134E-4,1.0697403,2.6666667E-5,0.005323986,0.0038168381,0.003869968,1.0139198,5.3333333E-5
7.2,9.40865E-6,6.543289E-6,6.543289E-6,1.0,0.0,4.032216E-5,2.8042374E-5,5.4708293E-5,1.9509152,2.6666667E-5,4.908117E-4,3.4136363E-4,3.680212E-4,1.0780914,2.6666667E-5,0.0048972913,0.003409485,0.0034626366,1.0155894,5.3333333E-5
7.3,8.237384E-6,5.5977525E-6,5.5977525E-6,1.0,0.0,3.5302593E-5,2.3990153E-5,5.065618E-5,2.1115406,2.6666667E-5,4.2972428E-4,2.92042E-4,3.1870088E-4,1.0912844,2.6666667E-5,0.0042889426,0.002916903,0.0029700808,1.0182309,5.3333333E-5
7.4,7.5316966E-6,5.027819E-6,5.027819E-6,1.0,0.0,3.2278298E-5,2.1547625E-5,4.821372E-5,2.2375422,2.6666667E-5,3.9291743E-4,2.6231175E-4,2.8897144E-4,1.1016335,2.6666667E-5,0.0039222343,0.0026201333,0.0026733268,1.0203018,5.3333333E-5
7.5,6.149649E-6,3.933841E-6,3.933841E-6,1.0,0.0,2.6355372E-5,1.6859214E-5,4.352543E-5,2.5816998,2.6666667E-5,3.208294E-4,2.052425E-4,2.3190369E-4,1.1299009,2.6666667E-5,0.003203666,0.0020506186,0.0020772307,1.0129775,2.6666667E-5
7.6,5.457711E-6,3.3953788E-6,3.3953788E-6,1.0,0.0,2.338998E-5,1.4551547E-5,4.1217827E-5,2.832539,2.6666667E-5,2.8473578E-4,1.771515E-4,2.0381344E-4,1.1505036,2.6666667E-5,0.0028437122,0.0017701836,0.001796803,1.0150377,2.6666667E-5
7.7,4.1676276E-6,2.3331952E-6,2.3331952E-6,1.0,0.0,1.7861139E-5,9.999374E-6,9.999374E-6,1.0,0.0,2.1743766E-4,1.2173632E-4,1.2173632E-4,1.0,0.0,0.0021722503,0.0012167693,0.0012167693,1.0,0.0
