Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19818191,54.0,28.6508,28.0,26.0,6.0,138.0,17.0,22.0,35.0,48.0
0.39636382,60.0,35.21958,34.0,31.0,10.0,170.0,21.0,27.0,42.0,61.0
0.5945457,62.0,39.31035,37.0,36.0,12.0,182.0,24.0,30.0,47.0,70.0
0.79272765,62.0,42.32629,40.0,38.0,13.0,196.0,26.0,33.0,50.0,77.0
0.9909095,63.0,44.73532,42.0,41.0,14.0,207.0,28.0,35.0,53.0,83.0
1.1890914,64.0,46.745,44.0,43.0,15.0,215.0,29.0,36.0,55.0,87.0
1.3872733,65.0,48.46834,46.0,45.0,15.0,225.0,30.0,37.0,57.0,91.0
1.5854553,65.0,49.98625,47.0,46.0,15.0,240.0,31.0,39.0,59.0,95.0
1.7836372,65.0,51.34298,48.0,46.0,17.0,246.0,32.0,40.0,60.0,98.0
1.981819,65.0,52.56956,50.0,47.0,18.0,253.0,33.0,41.0,62.0,101.0
2.180001,65.0,53.68945,51.0,47.0,18.0,257.0,34.0,41.0,63.0,104.0
2.378183,65.0,54.72059,51.0,50.0,18.0,262.0,35.0,42.0,64.0,106.0
2.5763648,65.0,55.67359,52.0,50.0,18.0,265.0,35.0,43.0,65.0,108.0
2.7745466,65.0,56.56449,53.0,51.0,19.0,266.0,36.0,44.0,66.0,110.0
2.9727287,65.0,57.39765,54.0,53.0,19.0,272.0,36.0,44.0,67.0,112.0
3.1709106,65.0,58.18463,55.0,51.0,19.0,273.0,37.0,45.0,68.0,114.0
3.3690925,65.0,58.93271,55.0,52.0,19.0,277.0,37.0,46.0,69.0,115.0
3.5672743,65.0,59.63965,56.0,54.0,21.0,279.0,38.0,46.0,70.0,117.0
3.7654562,65.0,60.30643,56.0,54.0,21.0,280.0,38.0,47.0,71.0,119.0
3.963638,66.0,60.94962,57.0,55.0,21.0,284.0,39.0,47.0,71.0,120.0
4.16182,66.0,61.55296,58.0,55.0,21.0,286.0,39.0,47.0,72.0,121.0
4.360002,66.0,62.13098,58.0,55.0,22.0,290.0,40.0,48.0,73.0,123.0
4.5581837,67.0,62.68704,59.0,57.0,22.0,291.0,40.0,48.0,73.0,124.0
4.756366,69.0,63.22281,59.0,57.0,22.0,292.0,40.0,49.0,74.0,125.0
4.954548,71.0,63.73871,59.0,59.0,22.0,295.0,41.0,49.0,74.0,127.0
5.1527295,72.0,64.2313,60.0,59.0,22.0,299.0,41.0,49.0,75.0,128.0
