Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.23656853,0.23347567,0.107
6.1,0.23656853,0.23347567,0.107
6.2,0.23656853,0.23347567,0.107
6.3,0.23656853,0.23347567,0.107
6.4,0.23463698,0.23149014,0.106
6.5,0.23463698,0.23149014,0.106
6.6,0.22769664,0.22432968,0.104
6.7,0.22706407,0.22367738,0.104
6.8,0.21821655,0.21450031,0.099
6.9,0.20307082,0.19870716,0.088
7.0,0.20199789,0.19760177,0.088
7.1,0.19901322,0.1945178,0.088
7.2,0.19132744,0.18654883,0.08
7.3,0.1858626,0.18091528,0.075
7.4,0.17945391,0.17432438,0.071
7.5,0.15265335,0.14640965,0.057
7.6,0.10916034,0.1013088,0.034
7.7,0.07540562,0.066962,0.024
7.8,0.047017284,0.04053952,0.017
7.9,0.025343271,0.02129197,0.006
8.0,0.0031543828,0.0026364455,0.0
