Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,556.79266,475.0,741.0,534.0,529.0,1.0,0.04075862,471.97662
2.6,442.1045,373.0,588.0,425.0,412.0,1.0,0.04075862,374.7911
2.7,351.14386,293.0,468.0,338.0,331.0,1.0,0.04075862,297.68655
2.8,278.88077,229.0,373.0,268.0,261.0,1.0,0.04075862,236.424
2.9,221.53627,179.0,298.0,213.0,212.0,1.0,0.04075862,187.8378
3.0,176.05959,140.0,237.0,170.0,172.0,1.0,0.04075862,149.27124
3.1,139.86076,109.0,190.0,135.0,134.0,1.0,0.04075862,118.57179
3.2,111.1589,84.0,152.0,107.0,108.0,1.0,0.04075862,94.234344
3.3,88.32662,65.0,123.0,85.0,88.0,1.0,0.04075862,74.88076
3.4,70.16069,50.0,99.0,68.0,65.0,1.0,0.04075862,59.466
3.5,55.704483,38.0,80.0,54.0,53.0,1.0,0.04075862,47.19338
3.6,44.257725,29.0,65.0,43.0,44.0,1.0,0.04075862,37.491863
3.7,35.145172,22.0,53.0,34.0,33.0,1.0,0.04075862,29.772621
3.8,27.884415,16.0,43.0,27.0,26.0,1.0,0.04075862,23.616896
3.9,22.135654,12.0,35.0,21.0,20.0,1.0,0.04075862,18.753311
4.0,17.545448,9.0,29.0,17.0,16.0,1.0,0.04075862,14.867311
4.1,13.929931,6.0,24.0,13.0,13.0,1.0,0.04075862,11.808276
4.2,11.065793,4.0,20.0,11.0,10.0,1.0,0.04075862,9.383724
4.3,8.778069,3.0,16.0,8.0,8.0,0.9997931,0.04075862,7.4526896
4.4,6.962,2.0,14.0,7.0,6.0,0.9986207,0.04075862,5.913379
4.5,5.5151033,1.0,12.0,5.0,5.0,0.99331033,0.04075862,4.6795864
4.6,4.356207,1.0,10.0,4.0,4.0,0.9795172,0.04075862,3.692069
4.7,3.4490345,0.0,8.0,3.0,3.0,0.95648277,0.04075862,2.9222758
4.8,2.7271724,0.0,7.0,2.0,2.0,0.9189655,0.04075862,2.3102758
4.9,2.1492414,0.0,6.0,2.0,1.0,0.86241376,0.04075862,1.8216552
5.0,1.704,0.0,5.0,1.0,1.0,0.79386204,0.04075862,1.447931
5.1,1.3452414,0.0,4.0,1.0,1.0,0.71193105,0.04075862,1.1426207
5.2,1.0557241,0.0,4.0,1.0,0.0,0.62268966,0.04075862,0.8985517
5.3,0.82986206,0.0,3.0,1.0,0.0,0.5374483,0.04075862,0.70496553
5.4,0.6492414,0.0,3.0,0.0,0.0,0.45455173,0.04075862,0.5521379
5.5,0.50572413,0.0,2.0,0.0,0.0,0.37882757,0.04075862,0.42965516
5.6,0.38986206,0.0,2.0,0.0,0.0,0.3064138,0.04075862,0.33096552
5.7,0.29868966,0.0,2.0,0.0,0.0,0.24475862,0.04075862,0.2542069
5.8,0.22682759,0.0,2.0,0.0,0.0,0.19468966,0.04075862,0.1926207
5.9,0.17193103,0.0,1.0,0.0,0.0,0.15103449,0.04075862,0.146
