Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,5.324445,1.0,11.0,5.0,5.0,0.9919957,4.4598844E-4,4.86287
2.6,4.2363973,1.0,9.0,4.0,3.0,0.97936714,4.4598844E-4,3.8712971
2.7,3.3694427,0.0,8.0,3.0,3.0,0.95565933,4.4598844E-4,3.0797849
2.8,2.679428,0.0,7.0,2.0,2.0,0.91584903,4.4598844E-4,2.448289
2.9,2.1249003,0.0,6.0,2.0,1.0,0.8596545,4.4598844E-4,1.9391578
3.0,1.692221,0.0,5.0,1.0,1.0,0.7913244,4.4598844E-4,1.5447162
3.1,1.3434815,0.0,4.0,1.0,1.0,0.7121262,4.4598844E-4,1.2263274
3.2,1.0660063,0.0,4.0,1.0,0.0,0.6269424,4.4598844E-4,0.9728182
3.3,0.84521854,0.0,3.0,1.0,0.0,0.54441106,4.4598844E-4,0.77144265
3.4,0.6709544,0.0,3.0,0.0,0.0,0.46563542,4.4598844E-4,0.61276466
3.5,0.5349749,0.0,2.0,0.0,0.0,0.39211774,4.4598844E-4,0.48791137
3.6,0.42523825,0.0,2.0,0.0,0.0,0.3260645,4.4598844E-4,0.38756397
3.7,0.33756632,0.0,2.0,0.0,0.0,0.27109057,4.4598844E-4,0.3075912
3.8,0.2677339,0.0,2.0,0.0,0.0,0.22264212,4.4598844E-4,0.24444862
3.9,0.21346416,0.0,1.0,0.0,0.0,0.1816112,4.4598844E-4,0.19449791
4.0,0.17050843,0.0,1.0,0.0,0.0,0.14764565,4.4598844E-4,0.1555326
4.1,0.13515797,0.0,1.0,0.0,0.0,0.11905544,4.4598844E-4,0.12297545
4.2,0.106755555,0.0,1.0,0.0,0.0,0.0955589,4.4598844E-4,0.09706117
4.3,0.085254215,0.0,1.0,0.0,0.0,0.07699169,4.4598844E-4,0.07722642
4.4,0.06729731,0.0,1.0,0.0,0.0,0.06126473,4.4598844E-4,0.0606779
4.5,0.05295526,0.0,1.0,0.0,0.0,0.048730105,4.4598844E-4,0.047814656
4.6,0.0421107,0.0,1.0,0.0,0.0,0.038965307,4.4598844E-4,0.037932493
4.7,0.03370734,0.0,1.0,0.0,0.0,0.031148773,4.4598844E-4,0.030186376
4.8,0.026242899,0.0,0.0,0.0,0.0,0.024529364,4.4598844E-4,0.023590442
4.9,0.019975588,0.0,0.0,0.0,0.0,0.018754989,4.4598844E-4,0.017909957
5.0,0.0158678,0.0,0.0,0.0,0.0,0.015069715,4.4598844E-4,0.014388996
5.1,0.012205999,0.0,0.0,0.0,0.0,0.011619173,4.4598844E-4,0.011079292
5.2,0.009647435,0.0,0.0,0.0,0.0,0.009177973,4.4598844E-4,0.0087085115
5.3,0.007347073,0.0,0.0,0.0,0.0,0.0069715036,4.4598844E-4,0.0066428804
5.4,0.005821323,0.0,0.0,0.0,0.0,0.005539646,4.4598844E-4,0.0052814423
5.5,0.004295573,0.0,0.0,0.0,0.0,0.004084315,4.4598844E-4,0.0038730577
