Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029707696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059415393,0.0,2.3473076E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.089123085,0.0,2.3473076E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.118830785,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.14853849,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.17824617,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.20795387,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.23766157,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.26736927,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.29707697,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.32678464,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.35649234,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.38620004,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.41590774,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.44561544,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.47532314,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5050308,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.53473854,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5644462,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.59415394,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6238616,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6535693,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.683277,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7129847,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7426924,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7724001,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8021078,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8318155,0.0,4.6946152E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
