Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0679566E-5,3.1466803E-5,3.1466803E-5,1.0,0.0,1.3147724E-4,1.3485197E-4,1.5832188E-4,1.174042,2.3473076E-5,0.0015995599,0.0016408027,0.0018048447,1.0999767,1.6431154E-4,0.015880952,0.01630845,0.016654802,1.0212377,3.5209613E-4
6.1,3.0679566E-5,3.1466803E-5,3.1466803E-5,1.0,0.0,1.3147724E-4,1.3485197E-4,1.5832188E-4,1.174042,2.3473076E-5,0.0015995599,0.0016408027,0.0018048447,1.0999767,1.6431154E-4,0.015880952,0.01630845,0.016654802,1.0212377,3.5209613E-4
6.2,1.514536E-5,1.363595E-5,1.363595E-5,1.0,0.0,6.490707E-5,5.8438545E-5,8.191025E-5,1.4016477,2.3473076E-5,7.8995706E-4,7.112689E-4,7.581817E-4,1.0659565,4.6946152E-5,0.007871548,0.007091126,0.0071843523,1.0131469,9.3892304E-5
6.3,1.514536E-5,1.363595E-5,1.363595E-5,1.0,0.0,6.490707E-5,5.8438545E-5,8.191025E-5,1.4016477,2.3473076E-5,7.8995706E-4,7.112689E-4,7.581817E-4,1.0659565,4.6946152E-5,0.007871548,0.007091126,0.0071843523,1.0131469,9.3892304E-5
6.4,1.2532521E-5,1.0690234E-5,1.0690234E-5,1.0,0.0,5.37097E-5,4.5814515E-5,6.9286514E-5,1.5123267,2.3473076E-5,6.537194E-4,5.576548E-4,5.811148E-4,1.042069,2.3473076E-5,0.0065179965,0.0055631446,0.005633172,1.0125878,7.041923E-5
6.5,1.1094058E-5,9.084107E-6,9.084107E-6,1.0,0.0,4.7545094E-5,3.8931328E-5,6.2403495E-5,1.602912,2.3473076E-5,5.787078E-4,4.7388987E-4,4.973518E-4,1.0495093,2.3473076E-5,0.0057720304,0.004729201,0.004799287,1.0148199,7.041923E-5
6.6,9.688328E-6,7.5320527E-6,7.5320527E-6,1.0,0.0,4.1520743E-5,3.227984E-5,5.575216E-5,1.727151,2.3473076E-5,5.053978E-4,3.9293873E-4,4.164026E-4,1.0597137,2.3473076E-5,0.0050424994,0.003922696,0.0039694584,1.0119209,4.6946152E-5
6.7,8.974824E-6,6.7497303E-6,6.7497303E-6,1.0,0.0,3.8462964E-5,2.8927108E-5,5.2399504E-5,1.8114326,2.3473076E-5,4.6818596E-4,3.5213283E-4,3.7559765E-4,1.0666362,2.3473076E-5,0.004672008,0.0035159695,0.0035627508,1.0133053,4.6946152E-5
6.8,7.4780046E-6,5.1164316E-6,5.1164316E-6,1.0,0.0,3.20482E-5,2.1927388E-5,2.1927388E-5,1.0,0.0,3.9011694E-4,2.6693463E-4,2.6693463E-4,1.0,0.0,0.0038943281,0.0026662783,0.0026896887,1.0087802,2.3473076E-5
6.9,6.3409307E-6,3.907683E-6,3.907683E-6,1.0,0.0,2.7175134E-5,1.674711E-5,1.674711E-5,1.0,0.0,3.3080703E-4,2.0387798E-4,2.0387798E-4,1.0,0.0,0.0033031502,0.0020370076,0.0020370076,1.0,0.0
7.0,5.1239335E-6,2.6059872E-6,2.6059872E-6,1.0,0.0,2.195953E-5,1.116847E-5,1.116847E-5,1.0,0.0,2.6732447E-4,1.3596789E-4,1.3596789E-4,1.0,0.0,0.0026700313,0.0013588723,0.0013588723,1.0,0.0
7.1,4.438899E-6,2.0985822E-6,2.0985822E-6,1.0,0.0,1.9023713E-5,8.993894E-6,8.993894E-6,1.0,0.0,2.315891E-4,1.0949538E-4,1.0949538E-4,1.0,0.0,0.002313479,0.0010944362,0.0010944362,1.0,0.0
7.2,3.50367E-6,1.2616524E-6,1.2616524E-6,1.0,0.0,1.5015643E-5,5.407071E-6,5.407071E-6,1.0,0.0,1.8280011E-4,6.582918E-5,6.582918E-5,1.0,0.0,0.0018264982,6.5810507E-4,6.5810507E-4,1.0,0.0
7.3,2.561638E-6,7.11978E-7,7.11978E-7,1.0,0.0,1.0978401E-5,3.0513306E-6,3.0513306E-6,1.0,0.0,1.3365384E-4,3.7149337E-5,3.7149337E-5,1.0,0.0,0.0013357349,3.7143327E-4,3.7143327E-4,1.0,0.0
7.4,2.0368864E-6,5.3053367E-7,5.3053367E-7,1.0,0.0,8.729483E-6,2.2737138E-6,2.2737138E-6,1.0,0.0,1.06276275E-4,2.768212E-5,2.768212E-5,1.0,0.0,0.0010622547,2.7678726E-4,2.7678726E-4,1.0,0.0
7.5,1.1681728E-6,3.6033393E-7,3.6033393E-7,1.0,0.0,5.0064455E-6,1.5442874E-6,1.5442874E-6,1.0,0.0,6.0951766E-5,1.8801542E-5,1.8801542E-5,1.0,0.0,6.093505E-4,1.8799998E-4,1.8799998E-4,1.0,0.0
7.6,1.3154387E-7,7.12009E-8,7.12009E-8,1.0,0.0,5.6375933E-7,3.051467E-7,3.051467E-7,1.0,0.0,6.863748E-6,3.7151563E-6,3.7151563E-6,1.0,0.0,6.863536E-5,3.7151098E-5,3.7151098E-5,1.0,0.0
