Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030041458,0.0,0.01461,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.060082916,0.0,0.03056,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0
0.090124376,0.0,0.04617,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0
0.12016583,0.0,0.0623,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0
0.1502073,0.0,0.07857,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0
0.18024875,0.0,0.09383,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.21029021,0.0,0.10927,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.24033166,0.0,0.12457,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0
0.27037314,0.0,0.14039,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0
0.3004146,0.0,0.15682,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.33045605,0.0,0.17258,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0
0.3604975,0.0,0.18895,0.0,0.0,0.0,53.0,0.0,0.0,1.0,1.0
0.39053896,0.0,0.20502,0.0,0.0,0.0,53.0,0.0,0.0,1.0,1.0
0.42058042,0.0,0.22095,0.0,0.0,0.0,53.0,0.0,0.0,1.0,2.0
0.45062187,0.0,0.23667,0.0,0.0,0.0,53.0,0.0,0.0,1.0,2.0
0.48066333,0.0,0.25224,0.0,0.0,0.0,53.0,0.0,0.0,1.0,2.0
0.5107048,0.0,0.26761,0.0,0.0,0.0,55.0,0.0,0.0,1.0,2.0
0.5407463,0.0,0.28343,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.5707877,0.0,0.29995,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.6008292,0.0,0.31572,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.63087064,0.0,0.33162,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.6609121,0.0,0.34751,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.69095355,0.0,0.36291,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.720995,0.0,0.37888,0.0,0.0,0.0,57.0,0.0,0.0,1.0,2.0
0.75103647,0.0,0.39417,0.0,0.0,0.0,58.0,0.0,0.0,1.0,2.0
0.7810779,0.0,0.41002,0.0,0.0,0.0,58.0,0.0,0.0,1.0,2.0
0.8111194,0.0,0.42571,0.0,0.0,0.0,58.0,0.0,0.0,1.0,2.0
0.84116083,0.0,0.44122,0.0,0.0,0.0,58.0,0.0,0.0,1.0,2.0
0.8712023,0.0,0.45629,0.0,0.0,0.0,59.0,0.0,0.0,1.0,2.0
0.90124375,0.0,0.4723,0.0,0.0,0.0,60.0,0.0,0.0,1.0,2.0
0.9312852,0.0,0.48866,0.0,0.0,0.0,60.0,0.0,0.0,1.0,2.0
0.96132666,0.0,0.50423,0.0,0.0,0.0,61.0,0.0,0.0,1.0,2.0
0.9913681,0.0,0.5193,0.0,0.0,0.0,61.0,0.0,0.0,1.0,2.0
1.0214096,0.0,0.53529,0.0,0.0,0.0,61.0,0.0,0.0,1.0,2.0
1.0514511,0.0,0.55059,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.0814925,0.0,0.56677,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.111534,0.0,0.58149,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.1415755,0.0,0.59709,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.1716169,0.0,0.61226,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.2016584,0.0,0.62793,0.0,0.0,0.0,62.0,0.0,0.0,1.0,3.0
1.2316998,0.0,0.64393,0.0,0.0,0.0,63.0,0.0,0.0,1.0,3.0
1.2617413,0.0,0.65921,0.0,0.0,0.0,63.0,0.0,0.0,1.0,3.0
1.2917827,0.0,0.67528,0.0,0.0,0.0,66.0,0.0,0.0,1.0,3.0
1.3218242,0.0,0.69079,0.0,0.0,0.0,67.0,0.0,0.0,1.0,3.0
1.3518656,0.0,0.70579,0.0,0.0,0.0,68.0,0.0,0.0,1.0,3.0
1.3819071,0.0,0.72179,0.0,0.0,0.0,68.0,0.0,0.0,2.0,3.0
1.4119486,0.0,0.73706,0.0,0.0,0.0,68.0,0.0,0.0,2.0,3.0
1.44199,0.0,0.75243,1.0,0.0,0.0,68.0,0.0,0.0,2.0,3.0
1.4720315,0.0,0.76796,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
1.5020729,0.0,0.78322,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
1.5321144,0.0,0.798,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
1.5621558,0.0,0.81272,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
1.5921973,0.0,0.82893,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
1.6222388,0.0,0.84456,1.0,0.0,0.0,69.0,0.0,0.0,2.0,3.0
