Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044826083,0.0,7.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.089652166,0.0,0.00158,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.13447826,0.0,0.00236,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.17930433,0.0,0.00307,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.22413042,0.0,0.00376,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.2689565,0.0,0.00436,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.3137826,0.0,0.00522,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.35860866,0.0,0.00597,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.40343475,0.0,0.00678,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.44826084,0.0,0.00755,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.49308693,0.0,0.00821,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.537913,0.0,0.00892,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.5827391,0.0,0.00955,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.6275652,0.0,0.01031,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.6723913,0.0,0.01108,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.7172173,0.0,0.01182,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.7620434,0.0,0.01253,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.8068695,0.0,0.01325,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.8516956,0.0,0.01375,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.8965217,0.0,0.01434,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.9413478,0.0,0.0152,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.98617387,0.0,0.01599,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0309999,0.0,0.01669,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.075826,0.0,0.01747,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
