Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,352.0,296.25986,287.0,282.0,206.0,2174.0,247.0,265.0,315.0,388.0
2.6,267.0,235.2981,228.0,227.0,156.0,1748.0,193.0,209.0,252.0,309.0
2.7,211.0,186.88223,181.0,180.0,119.0,1361.0,150.0,165.0,201.0,247.0
2.8,159.0,148.41603,144.0,142.0,88.0,1088.0,117.0,130.0,161.0,197.0
2.9,127.0,117.87461,114.0,112.0,66.0,843.0,91.0,102.0,129.0,158.0
3.0,101.0,93.64773,91.0,88.0,48.0,662.0,70.0,80.0,104.0,127.0
3.1,81.0,74.40542,72.0,71.0,34.0,515.0,54.0,63.0,84.0,103.0
3.2,68.0,59.10474,57.0,57.0,26.0,415.0,41.0,49.0,67.0,83.0
3.3,54.0,46.93889,46.0,45.0,19.0,344.0,32.0,38.0,54.0,67.0
3.4,45.0,37.26288,36.0,35.0,12.0,278.0,24.0,30.0,44.0,55.0
3.5,31.0,29.58481,29.0,28.0,8.0,226.0,18.0,23.0,35.0,45.0
3.6,16.0,23.49343,23.0,22.0,4.0,179.0,13.0,18.0,29.0,37.0
3.7,13.0,18.65708,18.0,17.0,2.0,141.0,10.0,14.0,23.0,30.0
3.8,9.0,14.81916,14.0,13.0,1.0,121.0,7.0,10.0,19.0,25.0
3.9,7.0,11.76649,11.0,11.0,0.0,107.0,5.0,8.0,15.0,21.0
4.0,3.0,9.34175,9.0,8.0,0.0,85.0,3.0,6.0,13.0,17.0
4.1,3.0,7.41469,7.0,7.0,0.0,64.0,2.0,4.0,10.0,14.0
4.2,3.0,5.88248,6.0,5.0,0.0,50.0,1.0,3.0,8.0,12.0
4.3,3.0,4.66619,4.0,4.0,0.0,45.0,1.0,2.0,7.0,10.0
4.4,1.0,3.7035,3.0,3.0,0.0,31.0,0.0,2.0,6.0,9.0
4.5,1.0,2.93658,3.0,2.0,0.0,25.0,0.0,1.0,5.0,7.0
4.6,1.0,2.32564,2.0,2.0,0.0,21.0,0.0,1.0,4.0,6.0
4.7,1.0,1.84449,2.0,1.0,0.0,17.0,0.0,0.0,3.0,5.0
4.8,1.0,1.45808,1.0,1.0,0.0,15.0,0.0,0.0,3.0,5.0
4.9,0.0,1.15388,1.0,1.0,0.0,12.0,0.0,0.0,2.0,4.0
5.0,0.0,0.90914,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
5.1,0.0,0.71503,0.0,0.0,0.0,10.0,0.0,0.0,2.0,3.0
5.2,0.0,0.56248,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
5.3,0.0,0.44093,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.4,0.0,0.34534,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.5,0.0,0.26705,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.6,0.0,0.20605,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
5.7,0.0,0.15752,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
