Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.744542E-5,4.3965032E-5,5.396459E-5,1.2274435,1.0E-5,1.604705E-4,1.8840893E-4,1.9840704E-4,1.053066,1.0E-5,0.0019519776,0.0022916375,0.0023714541,1.0348295,8.0E-5,0.019349206,0.02269807,0.02282512,1.0055974,1.3E-4
6.1,3.744542E-5,4.3965032E-5,5.396459E-5,1.2274435,1.0E-5,1.604705E-4,1.8840893E-4,1.9840704E-4,1.053066,1.0E-5,0.0019519776,0.0022916375,0.0023714541,1.0348295,8.0E-5,0.019349206,0.02269807,0.02282512,1.0055974,1.3E-4
6.2,3.744542E-5,4.3965032E-5,5.396459E-5,1.2274435,1.0E-5,1.604705E-4,1.8840893E-4,1.9840704E-4,1.053066,1.0E-5,0.0019519776,0.0022916375,0.0023714541,1.0348295,8.0E-5,0.019349206,0.02269807,0.02282512,1.0055974,1.3E-4
6.3,2.1079984E-5,2.5354779E-5,2.5354779E-5,1.0,0.0,9.0339665E-5,1.0865892E-4,1.0865892E-4,1.0,0.0,0.0010993304,0.0013221395,0.001342113,1.015107,2.0E-5,0.010939079,0.01314495,0.0131844245,1.003003,4.0E-5
6.4,2.1079984E-5,2.5354779E-5,2.5354779E-5,1.0,0.0,9.0339665E-5,1.0865892E-4,1.0865892E-4,1.0,0.0,0.0010993304,0.0013221395,0.001342113,1.015107,2.0E-5,0.010939079,0.01314495,0.0131844245,1.003003,4.0E-5
6.5,1.7397282E-5,2.0663578E-5,2.0663578E-5,1.0,0.0,7.455765E-5,8.855525E-5,8.855525E-5,1.0,0.0,9.073613E-4,0.0010776386,0.0010976171,1.0185391,2.0E-5,0.009036654,0.010725424,0.010755102,1.0027671,3.0E-5
6.6,1.52050325E-5,1.7680335E-5,1.7680335E-5,1.0,0.0,6.51628E-5,7.577071E-5,7.577071E-5,1.0,0.0,7.9306826E-4,9.221258E-4,9.4210735E-4,1.021669,2.0E-5,0.007902439,0.009183858,0.009213583,1.0032367,3.0E-5
6.7,1.332523E-5,1.526459E-5,1.526459E-5,1.0,0.0,5.7106878E-5,6.541806E-5,6.541806E-5,1.0,0.0,6.950544E-4,7.9617975E-4,8.1616384E-4,1.0251,2.0E-5,0.006928845,0.0079339035,0.007963665,1.0037513,3.0E-5
6.8,1.1525329E-5,1.30315375E-5,1.30315375E-5,1.0,0.0,4.9393333E-5,5.584827E-5,5.584827E-5,1.0,0.0,6.011979E-4,6.797448E-4,6.89738E-4,1.0147014,1.0E-5,0.00599574,0.0067771086,0.006796973,1.0029311,2.0E-5
6.9,1.0253909E-5,1.151498E-5,1.151498E-5,1.0,0.0,4.3944583E-5,4.9349E-5,4.9349E-5,1.0,0.0,5.3489394E-4,6.006621E-4,6.006621E-4,1.0,0.0,0.0053360825,0.005990765,0.006000705,1.0016593,1.0E-5
7.0,8.104563E-6,8.991533E-6,8.991533E-6,1.0,0.0,3.4733377E-5,3.8534585E-5,3.8534585E-5,1.0,0.0,4.2279682E-4,4.6906E-4,4.6906E-4,1.0,0.0,0.0042199334,0.0046809474,0.004690901,1.0021263,1.0E-5
7.1,6.7986157E-6,7.516056E-6,7.516056E-6,1.0,0.0,2.91366E-5,3.2211283E-5,3.2211283E-5,1.0,0.0,3.5468035E-4,3.9210395E-4,3.9210395E-4,1.0,0.0,0.003541148,0.0039143376,0.0039242986,1.0025448,1.0E-5
7.2,5.6893327E-6,6.280187E-6,6.280187E-6,1.0,0.0,2.4382627E-5,2.691482E-5,2.691482E-5,1.0,0.0,2.9681803E-4,3.2764065E-4,3.2764065E-4,1.0,0.0,0.002964219,0.0032717746,0.0032817419,1.0030464,1.0E-5
7.3,4.253348E-6,4.707105E-6,4.707105E-6,1.0,0.0,1.8228506E-5,2.017316E-5,2.017316E-5,1.0,0.0,2.2190946E-4,2.4558237E-4,2.4558237E-4,1.0,0.0,0.00221688,0.0024532909,0.0024632663,1.0040661,1.0E-5
7.4,2.5448119E-6,2.8520674E-6,2.8520674E-6,1.0,0.0,1.0906291E-5,1.2223099E-5,1.2223099E-5,1.0,0.0,1.3277601E-4,1.4880771E-4,1.4880771E-4,1.0,0.0,0.001326967,0.0014872429,0.0014872429,1.0,0.0
7.5,4.3706837E-8,4.5630156E-8,4.5630156E-8,1.0,0.0,1.8731501E-7,1.955578E-7,1.955578E-7,1.0,0.0,2.2805577E-6,2.380914E-6,2.380914E-6,1.0,0.0,2.2805343E-5,2.3808941E-5,2.3808941E-5,1.0,0.0
