Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1545662E-5,2.3196331E-5,1.8802767E-4,8.105923,1.6483516E-4,9.2335285E-5,9.940951E-5,5.059625E-4,5.089679,4.065934E-4,0.0011236023,0.0012097188,0.0035804738,2.959757,0.0023736265,0.011179381,0.0120393215,0.018227646,1.5140095,0.006263736
6.1,2.1545662E-5,2.3196331E-5,1.8802767E-4,8.105923,1.6483516E-4,9.2335285E-5,9.940951E-5,5.059625E-4,5.089679,4.065934E-4,0.0011236023,0.0012097188,0.0035804738,2.959757,0.0023736265,0.011179381,0.0120393215,0.018227646,1.5140095,0.006263736
6.2,2.1545662E-5,2.3196331E-5,1.8802767E-4,8.105923,1.6483516E-4,9.2335285E-5,9.940951E-5,5.059625E-4,5.089679,4.065934E-4,0.0011236023,0.0012097188,0.0035804738,2.959757,0.0023736265,0.011179381,0.0120393215,0.018227646,1.5140095,0.006263736
6.3,1.0025529E-5,1.0747755E-5,4.3714434E-5,4.0673084,3.2967033E-5,4.2965847E-5,4.6061068E-5,1.7792312E-4,3.862766,1.3186813E-4,5.229836E-4,5.606624E-4,0.0013294619,2.3712342,7.6923077E-4,0.005217545,0.0055937925,0.008052489,1.4395403,0.0024725276
6.4,1.0025529E-5,1.0747755E-5,4.3714434E-5,4.0673084,3.2967033E-5,4.2965847E-5,4.6061068E-5,1.7792312E-4,3.862766,1.3186813E-4,5.229836E-4,5.606624E-4,0.0013294619,2.3712342,7.6923077E-4,0.005217545,0.0055937925,0.008052489,1.4395403,0.0024725276
6.5,6.9617327E-6,7.4571967E-6,2.9435054E-5,3.947201,2.1978021E-5,2.9835655E-5,3.1959073E-5,1.30857E-4,4.0945187,9.89011E-5,3.6318856E-4,3.8904088E-4,8.6138456E-4,2.2141235,4.7252746E-4,0.0036259557,0.0038844529,0.00547167,1.4086076,0.0015934065
6.6,4.9919777E-6,5.3470912E-6,2.7324995E-5,5.1102543,2.1978021E-5,2.1394015E-5,2.2915943E-5,7.785974E-5,3.3976233,5.4945056E-5,2.60441E-4,2.7897258E-4,6.3052285E-4,2.2601607,3.5164834E-4,0.0026013597,0.0027868825,0.0040470967,1.452195,0.0012637363
6.7,3.6630722E-6,3.924921E-6,2.5902857E-5,6.599587,2.1978021E-5,1.5698786E-5,1.6821014E-5,7.176514E-5,4.2663984,5.4945056E-5,1.9111596E-4,2.0478234E-4,5.014249E-4,2.4485748,2.967033E-4,0.0019095168,0.0020464994,0.0030115533,1.4715632,9.67033E-4
6.8,2.5599613E-6,2.7451356E-6,2.4723096E-5,9.006148,2.1978021E-5,1.0971216E-5,1.17648415E-5,5.5720368E-5,4.736177,4.3956043E-5,1.3356637E-4,1.4323248E-4,3.6298123E-4,2.5342102,2.1978022E-4,0.0013348613,0.0014318867,0.0021122298,1.4751376,6.813187E-4
6.9,1.7684905E-6,1.8970168E-6,1.28860065E-5,6.792774,1.0989011E-5,7.579223E-6,8.130072E-6,4.109684E-5,5.054917,3.2967033E-5,9.2273134E-5,9.8983626E-5,2.857783E-4,2.8871272,1.8681318E-4,9.223483E-4,9.898363E-4,0.0015497211,1.5656338,5.6043954E-4
