Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.7538634E-4,6.863679E-4,1.0162597,1.0989011E-5,0.0013306376,0.0028914304,0.0030229173,1.0454746,1.3186813E-4,0.016080605,0.03466114,0.03518094,1.0149965,5.3846155E-4,0.1496549,0.28687167,0.28793746,1.0037152,0.0014945054
6.1,3.1064058E-4,6.7538634E-4,6.863679E-4,1.0162597,1.0989011E-5,0.0013306376,0.0028914304,0.0030229173,1.0454746,1.3186813E-4,0.016080605,0.03466114,0.03518094,1.0149965,5.3846155E-4,0.1496549,0.28687167,0.28793746,1.0037152,0.0014945054
6.2,3.1064058E-4,6.7538634E-4,6.863679E-4,1.0162597,1.0989011E-5,0.0013306376,0.0028914304,0.0030229173,1.0454746,1.3186813E-4,0.016080605,0.03466114,0.03518094,1.0149965,5.3846155E-4,0.1496549,0.28687167,0.28793746,1.0037152,0.0014945054
6.3,3.1064058E-4,6.7538634E-4,6.863679E-4,1.0162597,1.0989011E-5,0.0013306376,0.0028914304,0.0030229173,1.0454746,1.3186813E-4,0.016080605,0.03466114,0.03518094,1.0149965,5.3846155E-4,0.1496549,0.28687167,0.28793746,1.0037152,0.0014945054
6.4,1.9872203E-4,4.3253382E-4,4.435181E-4,1.0253952,1.0989011E-5,8.5138786E-4,0.0018524277,0.001973083,1.0651336,1.2087912E-4,0.010316478,0.022326224,0.022831175,1.022617,5.164835E-4,0.098504856,0.19728218,0.19839363,1.0056338,0.0013846154
6.5,1.291105E-4,2.8822906E-4,2.9921488E-4,1.038115,1.0989011E-5,5.5321335E-4,0.0012346853,0.0013444398,1.0888926,1.0989011E-4,0.006714592,0.014929512,0.015394985,1.031178,4.7252746E-4,0.065152965,0.13832536,0.1394143,1.0078722,0.0012637363
6.6,1.291105E-4,2.8822906E-4,2.9921488E-4,1.038115,1.0989011E-5,5.5321335E-4,0.0012346853,0.0013444398,1.0888926,1.0989011E-4,0.006714592,0.014929512,0.015394985,1.031178,4.7252746E-4,0.065152965,0.13832536,0.1394143,1.0078722,0.0012637363
6.7,1.08001186E-4,2.4403051E-4,2.5501684E-4,1.0450203,1.0989011E-5,4.6278012E-4,0.0010454265,0.0011552017,1.1050053,1.0989011E-4,0.0056198016,0.012654087,0.013109785,1.0360119,4.6153847E-4,0.054797906,0.11947057,0.12052527,1.0088282,0.0011978023
6.8,1.0624356E-4,2.3920518E-4,2.5019157E-4,1.0459287,1.0989011E-5,4.5525006E-4,0.0010247629,0.0011345403,1.1071248,1.0989011E-4,0.0055285925,0.012405391,0.012861203,1.0367432,4.6153847E-4,0.053930566,0.11741964,0.11847679,1.0090033,0.0011978023
6.9,1.0393785E-4,2.32906E-4,2.4389244E-4,1.0471712,1.0989011E-5,4.4537184E-4,9.977872E-4,0.0011075677,1.110024,1.0989011E-4,0.0054089287,0.012080644,0.012536608,1.0377432,4.6153847E-4,0.05279156,0.11471701,0.115777396,1.0092436,0.0011978023
7.0,1.0155622E-4,2.2659826E-4,2.3758478E-4,1.0484846,1.0989011E-5,4.3516833E-4,9.7077433E-4,0.0010805578,1.1130885,1.0989011E-4,0.005285311,0.011755354,0.012211466,1.0388005,4.6153847E-4,0.05161361,0.111976855,0.11304053,1.0094991,0.0011978023
7.1,9.885595E-5,2.1947875E-4,2.3046536E-4,1.0500576,1.0989011E-5,4.2359953E-4,9.402845E-4,0.0010500713,1.1167591,1.0989011E-4,0.0051451353,0.011388074,0.011833492,1.0391127,4.5054944E-4,0.05027629,0.10886101,0.10988924,1.0094454,0.0011538462
7.2,9.6411415E-5,2.131053E-4,2.2409197E-4,1.0515552,1.0989011E-5,4.1312634E-4,9.129891E-4,0.0010227788,1.1202531,1.0989011E-4,0.005018219,0.011059172,0.011504739,1.0402893,4.5054944E-4,0.049064007,0.10605039,0.10708187,1.0097263,0.0011538462
7.3,9.1180635E-5,1.9537064E-4,2.0635751E-4,1.056236,1.0989011E-5,3.907156E-4,8.3703414E-4,9.468323E-4,1.1311752,1.0989011E-4,0.004746591,0.010143385,0.010589365,1.0439675,4.5054944E-4,0.046464786,0.09823892,0.09927942,1.0105915,0.0011538462
7.4,8.887388E-5,1.8784897E-4,1.9883591E-4,1.0584882,1.0989011E-5,3.8083247E-4,8.048187E-4,9.1462035E-4,1.1364303,1.0989011E-4,0.0046267817,0.009754742,0.010190015,1.0446216,4.3956045E-4,0.045316286,0.09487182,0.0958963,1.0107986,0.0011318681
7.5,8.6750515E-5,1.8115775E-4,1.9214478E-4,1.0606489,1.0989011E-5,3.7173493E-4,7.7615946E-4,8.8596425E-4,1.141472,1.0989011E-4,0.004516484,0.009408884,0.009844308,1.046278,4.3956045E-4,0.04425787,0.09183367,0.09286159,1.0111933,0.0011318681
7.6,8.453092E-5,1.750256E-4,1.860127E-4,1.0627742,1.0989011E-5,3.6222505E-4,7.498942E-4,8.597019E-4,1.146431,1.0989011E-4,0.0044011753,0.009091817,0.0095273815,1.0479072,4.3956045E-4,0.04315024,0.088990174,0.090011306,1.0114746,0.0011208791
7.7,8.259102E-5,1.7023997E-4,1.8122711E-4,1.0645391,1.0989011E-5,3.539135E-4,7.2939595E-4,8.3920587E-4,1.1505492,1.0989011E-4,0.004300386,0.008844306,0.009279978,1.0492603,4.3956045E-4,0.042181134,0.08673861,0.08776227,1.0118016,0.0011208791
7.8,7.444844E-5,1.5340719E-4,1.6439451E-4,1.071622,1.0989011E-5,3.1902574E-4,6.572938E-4,7.6711166E-4,1.1670758,1.0989011E-4,0.0038772223,0.007973238,0.008365688,1.0492209,3.956044E-4,0.03810269,0.07854723,0.0793573,1.0103132,8.791209E-4
7.9,5.2586525E-5,1.0045548E-4,1.1144338E-4,1.1093808,1.0989011E-5,2.2535135E-4,4.3045246E-4,4.9635815E-4,1.1531079,6.5934066E-5,0.0027402006,0.0052281762,0.005490534,1.0501814,2.6373626E-4,0.027066574,0.052382782,0.05293469,1.0105361,5.824176E-4
8.0,3.379877E-5,5.430089E-5,5.430089E-5,1.0,0.0,1.4484383E-4,2.3269735E-4,2.656567E-4,1.1416404,3.2967033E-5,0.0017620471,0.0028294115,0.002906117,1.02711,7.6923076E-5,0.017481409,0.028946057,0.029159475,1.007373,2.1978022E-4
8.1,1.8668277E-5,1.941804E-5,1.941804E-5,1.0,0.0,8.000444E-5,8.321752E-5,9.4205614E-5,1.1320406,1.0989011E-5,9.736188E-4,0.001012703,0.0010346588,1.0216804,2.1978021E-5,0.009693642,0.010855786,0.010877525,1.0020026,2.1978021E-5
8.2,8.541571E-6,5.5025394E-6,5.5025394E-6,1.0,0.0,3.660622E-5,2.3582099E-5,2.3582099E-5,1.0,0.0,4.455896E-4,2.870743E-4,2.870743E-4,1.0,0.0,0.0044469717,0.0032636335,0.0032636335,1.0,0.0
8.3,1.983087E-6,7.731745E-7,7.731745E-7,1.0,0.0,8.498917E-6,3.313601E-6,3.313601E-6,1.0,0.0,1.034694E-4,4.0342362E-5,4.0342362E-5,1.0,0.0,0.0010342124,4.7608858E-4,4.7608858E-4,1.0,0.0
