Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34530059,0.0,0.16736,0.0,0.0,0.0,121.0,0.0,0.0,0.0,1.0
0.69060117,0.0,0.35185,0.0,0.0,0.0,233.0,0.0,0.0,1.0,2.0
1.0359018,0.0,0.5401,0.0,0.0,0.0,266.0,0.0,0.0,1.0,3.0
1.3812023,0.0,0.72927,0.0,0.0,0.0,306.0,0.0,0.0,1.0,3.0
1.7265029,0.0,0.92021,1.0,0.0,0.0,349.0,0.0,0.0,2.0,4.0
2.0718036,0.0,1.11048,1.0,0.0,0.0,370.0,0.0,0.0,2.0,4.0
2.4171042,0.0,1.30146,1.0,0.0,0.0,388.0,0.0,0.0,2.0,5.0
2.7624047,0.0,1.49777,1.0,1.0,0.0,406.0,0.0,0.0,3.0,5.0
3.1077054,0.0,1.69101,1.0,1.0,0.0,416.0,0.0,0.0,3.0,6.0
3.4530058,0.0,1.8798,1.0,1.0,0.0,420.0,0.0,0.0,3.0,6.0
3.7983065,0.0,2.06884,2.0,1.0,0.0,451.0,0.0,0.0,3.0,7.0
4.143607,0.0,2.26106,2.0,1.0,0.0,502.0,0.0,0.0,4.0,7.0
4.488908,0.0,2.45292,2.0,1.0,0.0,527.0,0.0,1.0,4.0,7.0
4.8342085,0.0,2.64452,2.0,1.0,0.0,542.0,0.0,1.0,4.0,8.0
5.1795087,0.0,2.83551,2.0,2.0,0.0,555.0,0.0,1.0,4.0,8.0
5.5248094,0.0,3.02785,2.0,2.0,0.0,571.0,0.0,1.0,5.0,9.0
5.87011,0.0,3.22448,3.0,2.0,0.0,579.0,0.0,1.0,5.0,9.0
6.2154107,0.0,3.41163,3.0,2.0,0.0,590.0,0.0,1.0,5.0,10.0
6.5607114,0.0,3.59831,3.0,2.0,0.0,597.0,0.0,1.0,5.0,10.0
6.9060116,0.0,3.79018,3.0,2.0,0.0,606.0,0.0,1.0,6.0,11.0
7.2513123,0.0,3.97568,3.0,2.0,0.0,616.0,0.0,1.0,6.0,11.0
7.596613,0.0,4.15991,3.0,3.0,0.0,630.0,0.0,1.0,6.0,11.0
7.9419136,0.0,4.34658,3.0,3.0,0.0,642.0,0.0,2.0,6.0,12.0
8.287214,0.0,4.53255,4.0,3.0,0.0,652.0,0.0,2.0,6.0,12.0
8.632515,1.0,4.71774,4.0,3.0,0.0,655.0,0.0,2.0,7.0,13.0
8.977816,1.0,4.90066,4.0,3.0,0.0,659.0,0.0,2.0,7.0,13.0
9.323116,1.0,5.07853,4.0,3.0,0.0,667.0,1.0,2.0,7.0,14.0
9.668417,1.0,5.25907,4.0,3.0,0.0,672.0,1.0,2.0,7.0,14.0
10.013717,1.0,5.43809,4.0,4.0,0.0,678.0,1.0,2.0,8.0,14.0
10.359017,1.0,5.61656,5.0,4.0,0.0,679.0,1.0,2.0,8.0,15.0
10.704318,1.0,5.79619,5.0,4.0,0.0,684.0,1.0,2.0,8.0,15.0
11.049619,1.0,5.97957,5.0,4.0,0.0,691.0,1.0,3.0,8.0,16.0
11.394919,1.0,6.15969,5.0,4.0,0.0,697.0,1.0,3.0,8.0,16.0
11.74022,1.0,6.34216,5.0,4.0,0.0,701.0,1.0,3.0,9.0,16.0
12.085521,1.0,6.52212,5.0,4.0,0.0,703.0,1.0,3.0,9.0,17.0
12.430821,1.0,6.69638,5.0,5.0,0.0,708.0,1.0,3.0,9.0,17.0
12.776122,1.0,6.86922,6.0,5.0,0.0,709.0,1.0,3.0,9.0,18.0
13.121423,1.0,7.04863,6.0,5.0,0.0,710.0,1.0,3.0,10.0,18.0
13.466723,1.0,7.22488,6.0,5.0,0.0,711.0,1.0,3.0,10.0,19.0
13.812023,1.0,7.40061,6.0,5.0,0.0,714.0,1.0,3.0,10.0,19.0
14.157324,1.0,7.57239,6.0,5.0,0.0,717.0,2.0,3.0,10.0,19.0
14.5026245,1.0,7.74271,6.0,5.0,0.0,720.0,2.0,4.0,10.0,20.0
14.847925,1.0,7.91259,7.0,6.0,0.0,723.0,2.0,4.0,11.0,20.0
15.193226,1.0,8.07765,7.0,6.0,0.0,725.0,2.0,4.0,11.0,20.0
15.538527,1.0,8.24957,7.0,6.0,0.0,728.0,2.0,4.0,11.0,21.0
15.883827,1.0,8.42078,7.0,6.0,0.0,735.0,2.0,4.0,11.0,21.0
16.229128,1.0,8.59349,7.0,6.0,0.0,739.0,2.0,4.0,11.0,22.0
16.574429,1.0,8.76367,7.0,6.0,0.0,740.0,2.0,4.0,12.0,22.0
16.91973,1.0,8.93688,7.0,6.0,0.0,746.0,2.0,4.0,12.0,23.0
17.26503,1.0,9.10393,8.0,6.0,0.0,750.0,2.0,4.0,12.0,23.0
17.61033,1.0,9.27001,8.0,7.0,0.0,753.0,2.0,5.0,12.0,23.0
17.955631,1.0,9.4352,8.0,7.0,0.0,756.0,2.0,5.0,12.0,23.0
18.300932,1.0,9.60054,8.0,7.0,0.0,757.0,2.0,5.0,13.0,24.0
18.646233,1.0,9.76137,8.0,7.0,0.0,763.0,2.0,5.0,13.0,24.0
18.991533,1.0,9.92784,8.0,7.0,0.0,764.0,3.0,5.0,13.0,25.0
19.336834,1.0,10.09382,8.0,7.0,0.0,765.0,3.0,5.0,13.0,25.0
19.682135,1.0,10.25661,9.0,8.0,0.0,766.0,3.0,5.0,13.0,25.0
20.027433,1.0,10.41845,9.0,8.0,0.0,767.0,3.0,5.0,14.0,26.0
20.372734,1.0,10.57889,9.0,8.0,0.0,770.0,3.0,5.0,14.0,26.0
20.718035,1.0,10.74086,9.0,8.0,0.0,773.0,3.0,6.0,14.0,26.0
21.063335,1.0,10.90081,9.0,8.0,0.0,777.0,3.0,6.0,14.0,27.0
21.408636,1.0,11.0631,9.0,8.0,0.0,778.0,3.0,6.0,14.0,27.0
21.753937,1.0,11.21837,9.0,8.0,0.0,782.0,3.0,6.0,14.0,27.0
22.099237,1.0,11.37615,9.0,8.0,0.0,785.0,3.0,6.0,15.0,28.0
22.444538,1.0,11.53352,10.0,9.0,0.0,787.0,3.0,6.0,15.0,28.0
22.789839,1.0,11.69086,10.0,9.0,0.0,788.0,3.0,6.0,15.0,28.0
23.13514,1.0,11.84191,10.0,9.0,0.0,789.0,3.0,6.0,15.0,29.0
23.48044,1.0,11.9963,10.0,9.0,0.0,792.0,4.0,6.0,15.0,29.0
23.82574,1.0,12.15346,10.0,9.0,0.0,795.0,4.0,6.0,16.0,30.0
24.171041,1.0,12.30635,10.0,9.0,0.0,796.0,4.0,7.0,16.0,30.0
24.516342,1.0,12.46437,10.0,9.0,0.0,802.0,4.0,7.0,16.0,30.0
24.861643,2.0,12.61821,11.0,9.0,0.0,804.0,4.0,7.0,16.0,31.0
25.206944,2.0,12.77084,11.0,9.0,0.0,808.0,4.0,7.0,16.0,31.0
25.552244,2.0,12.92068,11.0,9.0,0.0,809.0,4.0,7.0,16.0,31.0
25.897545,2.0,13.07235,11.0,9.0,0.0,809.0,4.0,7.0,17.0,31.0
26.242846,2.0,13.22675,11.0,10.0,0.0,811.0,4.0,7.0,17.0,32.0
26.588146,2.0,13.37735,11.0,10.0,0.0,811.0,4.0,7.0,17.0,32.0
26.933447,2.0,13.52326,11.0,10.0,0.0,813.0,4.0,7.0,17.0,32.0
27.278748,2.0,13.66936,11.0,10.0,0.0,817.0,4.0,7.0,17.0,33.0
27.624046,2.0,13.81412,12.0,10.0,0.0,818.0,4.0,8.0,17.0,33.0
27.969347,2.0,13.96124,12.0,10.0,0.0,821.0,5.0,8.0,18.0,33.0
28.314648,2.0,14.11099,12.0,10.0,0.0,824.0,5.0,8.0,18.0,34.0
28.659948,2.0,14.25746,12.0,10.0,0.0,828.0,5.0,8.0,18.0,34.0
29.005249,2.0,14.40369,12.0,10.0,0.0,830.0,5.0,8.0,18.0,34.0
29.35055,2.0,14.54871,12.0,11.0,0.0,831.0,5.0,8.0,18.0,35.0
29.69585,2.0,14.69127,12.0,11.0,0.0,831.0,5.0,8.0,18.0,35.0
30.041151,2.0,14.83967,12.0,12.0,0.0,832.0,5.0,8.0,19.0,35.0
30.386452,2.0,14.98462,13.0,12.0,0.0,835.0,5.0,8.0,19.0,36.0
30.731752,2.0,15.12766,13.0,12.0,0.0,835.0,5.0,8.0,19.0,36.0
31.077053,2.0,15.27218,13.0,12.0,0.0,836.0,5.0,9.0,19.0,36.0
31.422354,3.0,15.42226,13.0,12.0,0.0,837.0,5.0,9.0,19.0,37.0
31.767654,3.0,15.56798,13.0,12.0,0.0,837.0,5.0,9.0,19.0,37.0
32.112953,3.0,15.71035,13.0,12.0,0.0,838.0,5.0,9.0,20.0,37.0
32.458256,3.0,15.85657,13.0,12.0,0.0,839.0,6.0,9.0,20.0,37.0
32.803555,3.0,15.99916,13.0,12.0,0.0,840.0,6.0,9.0,20.0,38.0
33.148857,3.0,16.13638,14.0,12.0,0.0,842.0,6.0,9.0,20.0,38.0
33.494156,3.0,16.2756,14.0,12.0,0.0,842.0,6.0,9.0,20.0,38.0
33.83946,3.0,16.41452,14.0,12.0,0.0,842.0,6.0,9.0,20.0,39.0
34.184757,3.0,16.5539,14.0,12.0,0.0,842.0,6.0,9.0,21.0,39.0
34.53006,3.0,16.68906,14.0,12.0,0.0,842.0,6.0,9.0,21.0,39.0
34.87536,3.0,16.8233,14.0,12.0,0.0,843.0,6.0,10.0,21.0,39.0
35.22066,3.0,16.95763,14.0,12.0,0.0,844.0,6.0,10.0,21.0,40.0
35.56596,3.0,17.09248,14.0,12.0,1.0,846.0,6.0,10.0,21.0,40.0
35.911263,3.0,17.23053,15.0,14.0,1.0,847.0,6.0,10.0,21.0,40.0
36.25656,3.0,17.36352,15.0,13.0,1.0,849.0,6.0,10.0,22.0,41.0
36.601864,3.0,17.50414,15.0,14.0,1.0,849.0,6.0,10.0,22.0,41.0
36.947163,3.0,17.64181,15.0,14.0,1.0,860.0,7.0,10.0,22.0,41.0
37.292465,3.0,17.78019,15.0,14.0,1.0,872.0,7.0,10.0,22.0,42.0
37.637764,3.0,17.91844,15.0,14.0,1.0,877.0,7.0,10.0,22.0,42.0
37.983067,3.0,18.05575,15.0,14.0,1.0,881.0,7.0,10.0,22.0,42.0
38.328365,3.0,18.19217,15.0,14.0,1.0,886.0,7.0,10.0,22.0,43.0
38.673668,3.0,18.32611,15.0,14.0,1.0,895.0,7.0,11.0,23.0,43.0
