Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13256459,0.0,0.00172,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.26512918,0.0,0.0038,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.39769378,0.0,0.00602,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.53025836,0.0,0.00797,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
0.66282296,0.0,0.01015,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0.79538757,0.0,0.01212,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0.9279521,0.0,0.01412,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
1.0605167,0.0,0.01636,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
1.1930813,0.0,0.01849,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
1.3256459,0.0,0.02086,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
1.4582105,0.0,0.02304,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1.5907751,0.0,0.02529,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
1.7233397,0.0,0.0276,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
1.8559042,0.0,0.02963,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
1.9884689,0.0,0.03199,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.1210334,0.0,0.03423,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.253598,0.0,0.0364,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.3861625,0.0,0.03853,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.5187273,0.0,0.04073,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.6512918,0.0,0.04323,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.7838564,0.0,0.04537,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.916421,0.0,0.04774,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
