Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.13970852,0.13559511,0.098
6.1,0.13970852,0.13559511,0.098
6.2,0.13970852,0.13559511,0.098
6.3,0.11269419,0.10751692,0.081
6.4,0.10001714,0.094432235,0.07
6.5,0.09874168,0.09312363,0.07
6.6,0.090106845,0.08424758,0.062
6.7,0.083736636,0.07770818,0.055
6.8,0.0772173,0.071017586,0.05
6.9,0.068336695,0.061902132,0.045
7.0,0.06084568,0.05421717,0.039
7.1,0.055646095,0.048893236,0.037
7.2,0.0506523,0.04378115,0.034
7.3,0.04438523,0.037368577,0.024
7.4,0.04021436,0.033107657,0.022
7.5,0.035051465,0.027828079,0.019
7.6,0.028307525,0.02096678,0.015
7.7,0.018683232,0.011326644,0.008
7.8,0.010305807,0.0038851216,0.002
7.9,0.006147886,0.0012318345,0.001
8.0,0.0036265813,4.270125E-4,0.001
8.1,7.841067E-4,1.08391774E-4,0.0
