Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.13011059,0.13643193,0.175
6.1,0.13011059,0.13643193,0.175
6.2,0.07140138,0.0749647,0.106
6.3,0.07140138,0.0749647,0.106
6.4,0.06674734,0.07014803,0.099
6.5,0.06674734,0.07014803,0.099
6.6,0.05739661,0.060478684,0.085
6.7,0.04413711,0.04672724,0.067
6.8,0.0053160605,0.00569853,0.004
6.9,0.0041323714,0.0044861916,0.004
7.0,0.0038736654,0.0042217956,0.004
7.1,0.0033707572,0.003708632,0.004
7.2,0.0033113437,0.0036479298,0.004
7.3,0.0030059542,0.0033133535,0.004
7.4,0.0027146288,0.0029782804,0.003
7.5,0.0023520256,0.0025722955,0.002
7.6,0.0011533784,0.0012533397,0.001
