Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,4.0E-5,0.004
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,1.3E-4,0.013
197,Anaheim,2.0E-5,0.002
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,1.3E-4,0.012
668,Bartlett Springs 2011 CFM,0.00196,0.187
669,Battle Creek 2011 CFM,3.0E-5,0.003
842,Bear River fault zone,2.3E-4,0.023
581,Bennett Valley 2011 CFM,6.0E-5,0.006
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,6.1E-4,0.055
192,Big Pine (Central),6.0E-5,0.006
191,Big Pine (East),1.6E-4,0.016
200,Big Pine (West),3.0E-5,0.003
87,Blackwater,7.0E-5,0.007
169,Blue Cut,1.2E-4,0.012
170,Brawley (Seismic Zone) alt 1,0.00612,0.576
541,Breckenridge 2011,1.0E-5,0.001
882,Bullion Mountains,9.0E-5,0.009
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,7.0E-5,0.007
165,Cady,3.0E-5,0.003
602,Calaveras (Central) 2011 CFM,0.00294,0.273
601,Calaveras (No) 2011 CFM,0.00123,0.122
621,Calaveras (So) - Paicines extension 2011 CFM,0.0025,0.237
603,Calaveras (So) 2011 CFM,0.00245,0.238
88,Calico-Hidalgo,8.3E-4,0.077
724,Camp Rock 2011,8.0E-5,0.008
173,Canada David (Detachment),1.4E-4,0.014
176,Carlsbad,1.3E-4,0.013
721,Carson Range (Genoa),2.9E-4,0.029
670,Casmalia 2011 CFM,2.2E-4,0.021
34,Cedar Mtn-Mahogany Mtn,7.0E-5,0.007
172,Cerro Prieto,0.00445,0.426
129,Channel Islands Thrust,5.1E-4,0.048
214,Channel Islands Western Deep Ramp,4.0E-4,0.037
238,Chino alt 1,1.2E-4,0.012
124,Clamshell-Sawpit,1.0E-4,0.01
844,Clayton,1.0E-4,0.01
81,Cleghorn,3.4E-4,0.034
884,Cleghorn Lake,1.7E-4,0.017
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0
184,Compton,1.6E-4,0.016
622,Concord 2011 CFM,5.5E-4,0.055
626,Contra Costa (Lafayette) 2011 CFM,1.7E-4,0.017
633,Contra Costa Shear Zone (connector) 2011 CFM,1.9E-4,0.018
776,Coronado Bank alt1,5.0E-4,0.05
157,Coyote Canyon,0.0,0.0
163,Coyote Lake,0.0,0.0
125,Cucamonga,4.4E-4,0.043
894,Davis Creek,0.0,0.0
245,Death Valley (Black Mtns Frontal),5.6E-4,0.056
45,Death Valley (Fish Lake Valley),4.7E-4,0.047
46,Death Valley (No),5.8E-4,0.058
246,Death Valley (So),6.1E-4,0.055
51,Deep Springs,0.0,0.0
230,Del Valle,2.2E-4,0.022
889,Dog Valley,7.0E-5,0.007
888,Dry Mountain,0.0,0.0
249,Earthquake Valley,5.9E-4,0.059
255,Earthquake Valley (No  Extension),6.0E-4,0.06
256,Earthquake Valley (So Extension),4.5E-4,0.045
671,East Huasna 2011 CFM,1.0E-5,0.001
672,Eaton Roughs 2011 CFM,8.8E-4,0.086
96,Elmore Ranch,0.0,0.0
103,Elsinore (Coyote Mountains),3.5E-4,0.035
296,Elsinore (Glen Ivy) rev,7.2E-4,0.072
102,Elsinore (Julian),5.3E-4,0.053
402,Elsinore (Stepovers Combined),6.6E-4,0.066
299,Elsinore (Temecula) rev,6.5E-4,0.065
196,Elysian Park (Lower CFM),1.0E-5,0.001
146,Elysian Park (Upper),2.0E-4,0.02
90,Emerson-Copper Mtn 2011,1.9E-4,0.019
95,Eureka Peak,0.0,0.0
20,Fickle Hill (alt1),1.9E-4,0.018
698,Fish Slough 2011 CFM,2.0E-5,0.002
893,Fitzhugh Creek,0.0,0.0
204,Fontana (Seismicity),0.0,0.0
634,Franklin 2011 CFM,4.0E-4,0.038
699,Garberville - Briceland 2011 CFM,9.1E-4,0.088
159,Garlic Springs,0.0,0.0
341,Garlock (Central),0.00152,0.141
48,Garlock (East),5.8E-4,0.058
49,Garlock (West),8.0E-4,0.079
700,Gillem - Big Crack 2011 CFM,0.0,0.0
160,Goldstone Lake,3.0E-5,0.003
701,Goose Lake 2011 CFM,3.0E-5,0.003
86,Gravel Hills-Harper Lk,8.0E-5,0.008
131,Great Valley 01,1.0E-5,0.001
133,Great Valley 02,4.0E-5,0.004
132,Great Valley 03 Mysterious Ridge,5.5E-4,0.053
383,Great Valley 03a Dunnigan Hills,0.0,0.0
134,Great Valley 04a Trout Creek,5.3E-4,0.052
381,Great Valley 04b Gordon Valley,3.2E-4,0.032
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.0,0.0
645,Great Valley 06 (Midland) 2011 CFM alt1,7.0E-5,0.007
136,Great Valley 07 (Orestimba),0.0,0.0
137,Great Valley 08 (Quinto),1.0E-5,0.001
151,Great Valley 09 (Laguna Seca),5.0E-5,0.005
138,Great Valley 10 (Panoche),5.0E-5,0.005
139,Great Valley 11,7.0E-5,0.007
140,Great Valley 12,8.0E-5,0.008
142,Great Valley 13 (Coalinga),8.0E-5,0.008
141,Great Valley 14 (Kettleman Hills),1.2E-4,0.012
623,Green Valley 2011 CFM,9.1E-4,0.089
636,Greenville (No) 2011 CFM,6.0E-4,0.058
635,Greenville (So) 2011 CFM,3.9E-4,0.039
702,Hartley Springs 2011 CFM,2.0E-5,0.002
37,Hat Creek-McArthur-Mayfield,1.1E-4,0.011
639,Hayward (No) 2011 CFM,0.0038,0.349
638,Hayward (So) 2011 CFM,0.00324,0.304
637,Hayward (So) extension 2011 CFM,9.1E-4,0.089
167,Hector Mine,1.0E-4,0.01
84,Helendale-So Lockhart,1.9E-4,0.019
703,Hilton Creek 2011 CFM,5.0E-5,0.005
108,Hollywood,3.9E-4,0.036
228,Holser alt 1,1.1E-4,0.011
723,Homestead Valley 2011,1.0E-5,0.001
704,Honey Lake 2011 CFM,0.0,0.0
30,Hosgri,4.7E-4,0.044
208,Hosgri (Extension),6.0E-5,0.006
50,Hunter Mountain-Saline Valley,8.6E-4,0.085
677,Hunting Creek - Bartlett Springs connector 2011,0.00151,0.147
640,Hunting Creek - Berryessa 2011 CFM,9.9E-4,0.098
97,Imperial,0.00578,0.548
678,Incline Village 2011 CFM,0.0,0.0
65,Independence rev 2011,4.0E-5,0.004
892,Jess Valley,0.0,0.0
91,Johnson Valley (No) 2011 rev,8.0E-5,0.008
168,Joshua Tree (Seismicity),4.0E-5,0.004
679,Keddie Ridge 2011 CFM,0.0,0.0
542,Kern Canyon (Lake Isabella) 2011,2.0E-5,0.002
544,Kern Canyon (North Kern) 2011,3.0E-5,0.003
543,Kern Canyon (South Kern) 2011,5.0E-5,0.005
92,Kickapoo,0.0,0.0
680,King Range 2011 CFM,6.0E-5,0.006
641,La Panza 2011,3.0E-5,0.003
104,Laguna Salada,1.2E-4,0.012
207,Lake Isabella (Seismicity),3.0E-5,0.003
642,Las Positas,0.0,0.0
890,Last Chance,7.0E-5,0.007
85,Lenwood-Lockhart-Old Woman Springs,4.3E-4,0.04
705,Likely 2011 CFM,4.0E-5,0.004
681,Lions Head 2011 CFM,1.0E-5,0.001
144,Little Lake,1.0E-4,0.01
16,Little Salmon (Offshore),6.2E-4,0.062
17,Little Salmon (Onshore),8.5E-4,0.084
683,Los Alamos 2011 CFM,3.5E-4,0.035
780,Los Alamos extension,4.3E-4,0.042
643,Los Medanos - Roe Island,2.0E-5,0.002
74,Los Osos 2011,7.0E-5,0.007
201,Lost Hills,0.0,0.0
166,Ludlow,2.0E-4,0.02
644,Maacama 2011 CFM,0.00341,0.321
22,Mad River (alt1),2.0E-4,0.02
221,Malibu Coast (Extension) alt 1,2.0E-4,0.02
220,Malibu Coast alt 1,2.0E-4,0.02
164,Manix-Afton Hills,2.2E-4,0.021
21,McKinleyville (alt1),1.2E-4,0.012
155,McLean Lake,0.0,0.0
13,Mendocino,0.00411,0.383
605,Mission (connected) 2011 CFM,3.2E-4,0.032
250,Mission Creek,4.0E-4,0.04
779,Mission Hills 2011,7.0E-5,0.007
78,Mission Ridge-Arroyo Parida-Santa Ana,4.3E-4,0.041
686,Mohawk Valley 2011 CFM,6.0E-5,0.006
707,Mono Lake 2011 CFM,0.0,0.0
646,Monte Vista - Shannon 2011 CFM,3.1E-4,0.03
11,Monterey Bay-Tularcitos,2.6E-4,0.023
188,Morales (East),9.0E-5,0.009
187,Morales (West),3.0E-5,0.003
711,Mount Diablo Thrust North CFM,5.6E-4,0.056
713,Mount Diablo Thrust South,3.8E-4,0.038
156,Nelson Lake,0.0,0.0
