Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.10230823,0.12568675,0.15135135
6.1,0.10230823,0.12568675,0.15135135
6.2,0.10230823,0.12568675,0.15135135
6.3,0.10022633,0.123416655,0.14594595
6.4,0.10022633,0.123416655,0.14594595
6.5,0.0989224,0.12200254,0.14234234
6.6,0.09408794,0.115275994,0.13333334
6.7,0.09259202,0.11345782,0.13333334
6.8,0.08884027,0.10829362,0.11891892
6.9,0.06624198,0.07701161,0.07387388
7.0,0.05827775,0.06643283,0.061261263
7.1,0.049432814,0.054947965,0.046846848
7.2,0.04703595,0.052069537,0.045045044
7.3,0.044899683,0.04964557,0.043243244
7.4,0.044424217,0.04914621,0.043243244
7.5,0.043945078,0.048639987,0.03963964
7.6,0.042479035,0.047053374,0.037837837
7.7,0.038236886,0.04239887,0.032432433
7.8,0.0018030588,0.0018964246,0.0054054055
7.9,1.3353022E-5,1.3898761E-5,0.0
