Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.031862345,0.015328734,0.01981982
6.1,0.031862345,0.015328734,0.01981982
6.2,0.031862345,0.015328734,0.01981982
6.3,0.031862345,0.015328734,0.01981982
6.4,0.031862345,0.015328734,0.01981982
6.5,0.031862345,0.015328734,0.01981982
6.6,0.031862345,0.015328734,0.01981982
6.7,0.031862345,0.015328734,0.01981982
6.8,0.031862345,0.015328734,0.01981982
6.9,0.031862345,0.015328734,0.01981982
7.0,0.031862345,0.015328734,0.01981982
7.1,0.025503501,0.00853667,0.012612613
7.2,0.025503501,0.00853667,0.012612613
7.3,0.02348671,0.0077913376,0.010810811
7.4,0.012876389,0.005340231,0.0072072074
7.5,0.007797629,0.0035591351,0.0036036037
