Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.24694374,0.30080006,0.245
6.1,0.21166047,0.25620815,0.181
6.2,0.13834728,0.16246827,0.107
6.3,0.11631825,0.13443822,0.089
6.4,0.09528734,0.10748165,0.065
6.5,0.07626398,0.08314787,0.046
6.6,0.055706345,0.056772973,0.029
6.7,0.04654528,0.045883413,0.021
6.8,0.039810147,0.038107585,0.019
6.9,0.028691359,0.025304686,0.011
7.0,0.013895143,0.00811394,0.002
7.1,0.01035617,0.0041151145,0.002
7.2,0.01035617,0.0041151145,0.002
7.3,0.00887642,0.0036079828,0.002
7.4,0.0071772956,0.003301086,0.002
7.5,0.0071772956,0.003301086,0.002
