Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.877682E-5,1.9409315E-4,2.7407764E-4,1.4120932,8.0E-5,4.2326056E-4,8.315628E-4,0.0010613715,1.2763577,2.3E-4,0.0051410277,0.010077406,0.0107109565,1.0628684,6.4E-4,0.05023708,0.09835201,0.09907332,1.007334,8.0E-4
6.1,9.877682E-5,1.9409315E-4,2.7407764E-4,1.4120932,8.0E-5,4.2326056E-4,8.315628E-4,0.0010613715,1.2763577,2.3E-4,0.0051410277,0.010077406,0.0107109565,1.0628684,6.4E-4,0.05023708,0.09835201,0.09907332,1.007334,8.0E-4
6.2,9.877682E-5,1.9409315E-4,2.7407764E-4,1.4120932,8.0E-5,4.2326056E-4,8.315628E-4,0.0010613715,1.2763577,2.3E-4,0.0051410277,0.010077406,0.0107109565,1.0628684,6.4E-4,0.05023708,0.09835201,0.09907332,1.007334,8.0E-4
6.3,9.877682E-5,1.9409315E-4,2.7407764E-4,1.4120932,8.0E-5,4.2326056E-4,8.315628E-4,0.0010613715,1.2763577,2.3E-4,0.0051410277,0.010077406,0.0107109565,1.0628684,6.4E-4,0.05023708,0.09835201,0.09907332,1.007334,8.0E-4
6.4,9.877682E-5,1.9409315E-4,2.7407764E-4,1.4120932,8.0E-5,4.2326056E-4,8.315628E-4,0.0010613715,1.2763577,2.3E-4,0.0051410277,0.010077406,0.0107109565,1.0628684,6.4E-4,0.05023708,0.09835201,0.09907332,1.007334,8.0E-4
6.5,9.861474E-5,1.9383078E-4,2.738153E-4,1.4126512,8.0E-5,4.2256617E-4,8.304391E-4,0.0010602481,1.2767318,2.3E-4,0.0051326132,0.010063851,0.01069741,1.062954,6.4E-4,0.050156746,0.098229796,0.098951206,1.0073441,8.0E-4
6.6,9.861474E-5,1.9383078E-4,2.738153E-4,1.4126512,8.0E-5,4.2256617E-4,8.304391E-4,0.0010602481,1.2767318,2.3E-4,0.0051326132,0.010063851,0.01069741,1.062954,6.4E-4,0.050156746,0.098229796,0.098951206,1.0073441,8.0E-4
6.7,9.8552715E-5,1.9373032E-4,2.737148E-4,1.4128652,8.0E-5,4.223004E-4,8.3000876E-4,0.0010598178,1.2768755,2.3E-4,0.0051293927,0.01005866,0.010692223,1.0629867,6.4E-4,0.050125998,0.098182976,0.09890443,1.0073481,8.0E-4
6.8,9.8464974E-5,1.9358192E-4,2.7356643E-4,1.4131818,8.0E-5,4.219245E-4,8.293732E-4,0.0010591825,1.2770878,2.3E-4,0.0051248376,0.010050993,0.010684561,1.0630352,6.4E-4,0.05008251,0.09811299,0.09883451,1.0073539,8.0E-4
6.9,9.825824E-5,1.9326196E-4,2.732465E-4,1.4138659,8.0E-5,4.2103877E-4,8.280028E-4,0.0010578124,1.2775469,2.3E-4,0.0051141046,0.010034463,0.010668041,1.0631402,6.4E-4,0.049980022,0.09796208,0.09868371,1.0073664,8.0E-4
