Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1614323,0.0,0.01535,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.3228646,0.0,0.01838,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.4842969,0.0,0.0202,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.6457292,0.0,0.02173,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.8071615,0.0,0.02285,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.9685938,0.0,0.02382,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.1300261,0.0,0.02459,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.2914584,0.0,0.02532,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.4528908,0.0,0.0258,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.614323,0.0,0.0264,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.7757553,0.0,0.02696,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.9371876,0.0,0.0274,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.09862,0.0,0.02779,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.2600522,0.0,0.02819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.4214845,0.0,0.02868,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.5829167,0.0,0.02906,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.744349,0.0,0.0295,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.9057815,0.0,0.02981,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
3.0672138,0.0,0.03002,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.228646,0.0,0.03034,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.3900783,0.0,0.03058,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.5515106,0.0,0.03088,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.7129428,0.0,0.03104,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.874375,0.0,0.03123,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.0358076,0.0,0.03148,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.19724,0.0,0.03163,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.358672,0.0,0.03185,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.5201044,0.0,0.03214,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.6815367,0.0,0.0324,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.842969,0.0,0.03256,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.004401,0.0,0.03276,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.1658335,0.0,0.03295,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.3272657,0.0,0.03319,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.488698,0.0,0.03334,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.6501303,0.0,0.03348,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.811563,0.0,0.03362,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.9729953,0.0,0.03386,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
