Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.46218297,0.5065365,0.3413793
6.1,0.46218297,0.5065365,0.3413793
6.2,0.3408064,0.3725993,0.25287357
6.3,0.3408064,0.3725993,0.25287357
6.4,0.28814155,0.3160588,0.2137931
6.5,0.27807578,0.30550456,0.2091954
6.6,0.26234362,0.2889038,0.20114942
6.7,0.24293955,0.2683288,0.1816092
6.8,0.21245626,0.23579076,0.15747127
6.9,0.18167622,0.20292081,0.13333334
7.0,0.13889004,0.15632099,0.1045977
7.1,0.1351813,0.15230125,0.10344828
7.2,0.09936351,0.113444656,0.064367816
7.3,0.05325169,0.061205775,0.035632186
