Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.65143496,0.6996434,0.434
6.1,0.65143496,0.6996434,0.434
6.2,0.44103816,0.4711219,0.352
6.3,0.3365452,0.3593121,0.292
6.4,0.33633685,0.3591086,0.292
6.5,0.2826633,0.30200776,0.276
6.6,0.24915846,0.26643,0.258
6.7,0.21143383,0.22629833,0.231
6.8,0.14970997,0.16031519,0.184
6.9,0.103300415,0.11075749,0.137
7.0,0.06917996,0.07436202,0.097
7.1,0.020983784,0.022568136,0.027
7.2,0.0012682052,0.0012870205,0.004
7.3,1.4064225E-4,1.4273774E-4,0.001
