Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23020287,178.0,95.13282,92.0,87.0,47.0,525.0,70.0,80.0,106.0,154.0
0.46040574,202.0,116.43378,111.0,109.0,58.0,612.0,86.0,97.0,129.0,203.0
0.6906086,211.0,129.6041,123.0,122.0,65.0,671.0,96.0,108.0,143.0,232.0
0.9208115,215.0,139.30182,132.0,130.0,69.0,736.0,103.0,116.0,154.0,253.0
1.1510143,219.0,147.014,139.0,133.0,77.0,811.0,108.0,122.0,163.0,270.0
1.3812172,223.0,153.45735,145.0,141.0,83.0,869.0,113.0,127.0,170.0,284.0
1.61142,224.0,158.99873,149.0,149.0,83.0,913.0,117.0,132.0,176.0,297.0
1.841623,226.0,163.87953,154.0,149.0,92.0,937.0,121.0,135.0,181.0,308.0
2.0718257,228.0,168.2414,158.0,155.0,95.0,965.0,124.0,139.0,186.0,319.0
2.3020287,232.0,172.19293,161.0,157.0,97.0,997.0,126.0,142.0,191.0,328.0
2.5322316,234.0,175.78465,164.0,160.0,97.0,1016.0,129.0,145.0,195.0,336.0
2.7624345,236.0,179.0888,167.0,161.0,100.0,1034.0,131.0,147.0,198.0,344.0
2.9926374,236.0,182.15764,170.0,162.0,103.0,1052.0,134.0,150.0,202.0,351.0
3.22284,238.0,185.05273,173.0,166.0,103.0,1068.0,136.0,152.0,205.0,357.0
3.453043,239.0,187.73169,175.0,169.0,107.0,1079.0,137.0,154.0,208.0,364.0
3.683246,240.0,190.243,177.0,170.0,108.0,1092.0,139.0,156.0,211.0,369.0
3.9134488,241.0,192.62885,179.0,170.0,111.0,1101.0,141.0,158.0,214.0,374.0
4.1436515,243.0,194.87975,181.0,176.0,113.0,1109.0,142.0,160.0,216.0,379.0
4.3738546,245.0,197.02286,183.0,178.0,115.0,1118.0,144.0,161.0,219.0,384.0
4.6040573,248.0,199.0808,185.0,177.0,116.0,1128.0,145.0,163.0,221.0,389.0
4.8342605,252.0,201.0426,187.0,177.0,117.0,1135.0,147.0,164.0,223.0,394.0
5.064463,258.0,202.90067,188.0,175.0,118.0,1143.0,148.0,166.0,225.0,398.0
5.294666,261.0,204.69695,190.0,183.0,119.0,1156.0,149.0,167.0,227.0,402.0
5.524869,266.0,206.41998,191.0,180.0,119.0,1162.0,150.0,168.0,229.0,405.0
5.7550716,268.0,208.0906,193.0,181.0,119.0,1170.0,152.0,170.0,231.0,409.0
