Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07541829,0.0,0.01733,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.15083659,0.0,0.02198,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.22625487,0.0,0.02483,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.30167317,0.0,0.02715,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.37709144,0.0,0.02886,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.45250973,0.0,0.03011,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.52792805,0.0,0.03108,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.60334635,0.0,0.03211,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.6787646,0.0,0.0328,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.7541829,0.0,0.03365,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.82960117,0.0,0.03424,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.90501946,0.0,0.03485,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.98043776,0.0,0.03539,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.0558561,0.0,0.03586,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.1312743,0.0,0.03644,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.2066927,0.0,0.03689,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.2821109,0.0,0.03733,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.3575292,0.0,0.03777,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.4329475,0.0,0.03815,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1.5083658,0.0,0.03857,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
