Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2409.0,3912.9465,3470.0,3188.0,2551.0,19821.0,2854.0,3077.0,4536.0,8162.0
2.6,2009.0,3108.0784,2757.0,2616.0,2022.0,15862.0,2262.0,2443.0,3603.0,6495.0
2.7,1696.0,2468.7231,2191.0,1987.0,1578.0,12531.0,1792.0,1939.0,2862.0,5160.0
2.8,1384.0,1961.0215,1741.0,1598.0,1234.0,9999.0,1419.0,1538.0,2276.0,4094.0
2.9,1171.0,1557.6722,1383.0,1273.0,971.0,7919.0,1123.0,1221.0,1809.0,3253.0
3.0,1013.0,1237.2903,1099.0,1015.0,741.0,6202.0,888.0,968.0,1437.0,2585.0
3.1,852.0,982.77625,874.0,813.0,597.0,4928.0,701.0,767.0,1143.0,2053.0
3.2,727.0,780.5711,694.0,651.0,458.0,3897.0,553.0,608.0,910.0,1631.0
3.3,608.0,619.9999,552.0,495.0,362.0,3083.0,435.0,482.0,724.0,1298.0
3.4,492.0,492.40125,439.0,410.0,270.0,2467.0,343.0,381.0,577.0,1031.0
3.5,366.0,391.07925,349.0,324.0,213.0,1982.0,269.0,302.0,458.0,819.0
3.6,251.0,310.52072,278.0,260.0,158.0,1564.0,211.0,238.0,365.0,651.0
3.7,183.0,246.55533,221.0,209.0,121.0,1226.0,165.0,188.0,291.0,518.0
3.8,150.0,195.77403,175.0,165.0,89.0,979.0,128.0,148.0,232.0,412.0
3.9,118.0,155.4622,140.0,129.0,68.0,775.0,100.0,117.0,186.0,328.0
4.0,89.0,123.42487,111.0,105.0,49.0,621.0,77.0,92.0,149.0,261.0
4.1,66.0,97.944,88.0,81.0,38.0,495.0,60.0,72.0,119.0,207.0
4.2,52.0,77.72615,70.0,65.0,26.0,398.0,46.0,56.0,95.0,166.0
4.3,44.0,61.66965,56.0,50.0,17.0,315.0,35.0,44.0,77.0,132.0
4.4,34.0,48.90711,44.0,39.0,13.0,246.0,26.0,34.0,61.0,105.0
4.5,28.0,38.79737,35.0,33.0,8.0,198.0,20.0,26.0,49.0,84.0
4.6,18.0,30.76856,28.0,26.0,4.0,165.0,15.0,20.0,40.0,67.0
4.7,12.0,24.3745,22.0,21.0,4.0,135.0,11.0,16.0,32.0,54.0
4.8,10.0,19.28498,17.0,15.0,1.0,109.0,8.0,12.0,26.0,43.0
4.9,4.0,15.25054,14.0,12.0,0.0,86.0,6.0,9.0,21.0,35.0
5.0,2.0,12.05521,11.0,10.0,0.0,67.0,4.0,7.0,17.0,28.0
5.1,2.0,9.51363,9.0,7.0,0.0,54.0,3.0,5.0,14.0,23.0
5.2,2.0,7.48722,7.0,6.0,0.0,43.0,2.0,4.0,11.0,18.0
5.3,2.0,5.87914,5.0,4.0,0.0,36.0,1.0,3.0,9.0,15.0
5.4,2.0,4.6081,4.0,3.0,0.0,30.0,0.0,2.0,7.0,12.0
5.5,1.0,3.59482,3.0,2.0,0.0,22.0,0.0,1.0,6.0,10.0
5.6,0.0,2.79331,2.0,2.0,0.0,20.0,0.0,1.0,5.0,8.0
5.7,0.0,2.1554,2.0,1.0,0.0,17.0,0.0,0.0,4.0,7.0
5.8,0.0,1.65184,1.0,1.0,0.0,15.0,0.0,0.0,3.0,6.0
5.9,0.0,1.25281,1.0,0.0,0.0,13.0,0.0,0.0,2.0,5.0
6.0,0.0,0.98302,1.0,0.0,0.0,13.0,0.0,0.0,2.0,4.0
6.1,0.0,0.71967,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
6.2,0.0,0.47448,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.3,0.0,0.36878,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.4,0.0,0.27761,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.5,0.0,0.21508,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.6,0.0,0.17927,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.7,0.0,0.14641,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.8,0.0,0.12283,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.9,0.0,0.09957,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0,0.0,0.08247,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.1,0.0,0.07157,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.2,0.0,0.05569,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.3,0.0,0.03771,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.4,0.0,0.03329,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.5,0.0,0.02564,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.6,0.0,0.01337,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,0.00387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,0.00234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,0.00133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,3.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
