Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39664543,2.0,3.38111,3.0,3.0,0.0,23.0,0.0,1.0,5.0,8.0
0.79329085,2.0,4.05177,4.0,3.0,0.0,30.0,0.0,2.0,6.0,10.0
1.1899363,2.0,4.46441,4.0,4.0,0.0,31.0,1.0,2.0,7.0,10.0
1.5865817,2.0,4.77006,4.0,4.0,0.0,34.0,1.0,2.0,7.0,11.0
1.9832271,2.0,5.012,5.0,4.0,0.0,36.0,1.0,2.0,8.0,12.0
2.3798726,2.0,5.21695,5.0,4.0,0.0,36.0,1.0,3.0,8.0,12.0
2.7765179,2.0,5.38978,5.0,4.0,0.0,38.0,1.0,3.0,8.0,12.0
3.1731634,2.0,5.54251,5.0,4.0,0.0,39.0,1.0,3.0,8.0,13.0
3.5698087,2.0,5.67766,5.0,4.0,0.0,39.0,1.0,3.0,8.0,13.0
3.9664543,2.0,5.80119,5.0,5.0,0.0,39.0,1.0,3.0,9.0,13.0
4.3630996,2.0,5.91492,5.0,5.0,0.0,39.0,1.0,3.0,9.0,13.0
4.759745,2.0,6.01933,6.0,5.0,0.0,40.0,1.0,3.0,9.0,14.0
5.1563907,2.0,6.11635,6.0,5.0,0.0,40.0,1.0,3.0,9.0,14.0
5.5530357,2.0,6.20572,6.0,5.0,0.0,40.0,1.0,3.0,9.0,14.0
5.9496813,2.0,6.29055,6.0,5.0,0.0,40.0,1.0,3.0,9.0,14.0
6.346327,2.0,6.36936,6.0,5.0,0.0,40.0,1.0,3.0,9.0,14.0
6.7429724,2.0,6.44422,6.0,5.0,0.0,40.0,1.0,3.0,9.0,15.0
7.1396174,2.0,6.51274,6.0,5.0,0.0,40.0,1.0,3.0,9.0,15.0
7.536263,2.0,6.57804,6.0,5.0,0.0,40.0,1.0,3.0,10.0,15.0
7.9329085,2.0,6.64301,6.0,5.0,0.0,40.0,2.0,3.0,10.0,15.0
8.329554,2.0,6.70199,6.0,5.0,0.0,40.0,2.0,3.0,10.0,15.0
8.726199,2.0,6.75836,6.0,5.0,0.0,40.0,2.0,4.0,10.0,15.0
9.122845,2.0,6.81293,6.0,5.0,0.0,41.0,2.0,4.0,10.0,15.0
9.51949,2.0,6.8644,6.0,6.0,0.0,43.0,2.0,4.0,10.0,15.0
9.916136,2.0,6.91542,6.0,6.0,0.0,44.0,2.0,4.0,10.0,16.0
10.312781,2.0,6.964,6.0,6.0,0.0,44.0,2.0,4.0,10.0,16.0
10.709427,2.0,7.01009,6.0,6.0,0.0,44.0,2.0,4.0,10.0,16.0
11.106071,2.0,7.05604,7.0,6.0,0.0,44.0,2.0,4.0,10.0,16.0
11.502717,2.0,7.1007,7.0,6.0,0.0,44.0,2.0,4.0,10.0,16.0
11.899363,2.0,7.14193,7.0,6.0,0.0,45.0,2.0,4.0,10.0,16.0
12.296008,2.0,7.18293,7.0,6.0,0.0,45.0,2.0,4.0,10.0,16.0
12.692654,2.0,7.22484,7.0,6.0,0.0,45.0,2.0,4.0,10.0,16.0
13.089299,2.0,7.26356,7.0,6.0,0.0,45.0,2.0,4.0,11.0,16.0
13.485945,2.0,7.30029,7.0,6.0,0.0,46.0,2.0,4.0,11.0,16.0
13.88259,2.0,7.33734,7.0,6.0,0.0,46.0,2.0,4.0,11.0,17.0
14.279235,2.0,7.37248,7.0,6.0,0.0,46.0,2.0,4.0,11.0,17.0
14.67588,2.0,7.40809,7.0,6.0,0.0,48.0,2.0,4.0,11.0,17.0
15.072526,2.0,7.44233,7.0,6.0,0.0,49.0,2.0,4.0,11.0,17.0
15.469172,2.0,7.47545,7.0,6.0,0.0,50.0,2.0,4.0,11.0,17.0
15.865817,2.0,7.50813,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
16.262463,2.0,7.54022,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
16.659107,2.0,7.57229,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
17.055754,2.0,7.60204,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
17.452398,2.0,7.63185,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
17.849045,2.0,7.66107,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
18.24569,2.0,7.69017,7.0,6.0,0.0,51.0,2.0,4.0,11.0,17.0
18.642336,2.0,7.71877,7.0,6.0,0.0,52.0,2.0,4.0,11.0,17.0
19.03898,2.0,7.74637,7.0,6.0,0.0,52.0,2.0,4.0,11.0,17.0
19.435625,2.0,7.77278,7.0,6.0,0.0,53.0,2.0,4.0,11.0,17.0
19.832272,2.0,7.79946,7.0,6.0,0.0,53.0,2.0,4.0,11.0,18.0
20.228916,2.0,7.82469,7.0,6.0,0.0,53.0,2.0,4.0,11.0,18.0
20.625563,2.0,7.8495,7.0,6.0,0.0,54.0,2.0,4.0,11.0,18.0
