Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2302514E-4,2.5204287E-4,3.8869513E-4,1.5421786,1.366867E-4,5.27144E-4,0.0010797381,0.0012162774,1.1264558,1.366867E-4,0.0063991086,0.0130670825,0.013336884,1.0206474,2.733734E-4,0.06217949,0.12439073,0.12474978,1.0028865,4.1006014E-4
6.1,1.2302514E-4,2.5204287E-4,3.8869513E-4,1.5421786,1.366867E-4,5.27144E-4,0.0010797381,0.0012162774,1.1264558,1.366867E-4,0.0063991086,0.0130670825,0.013336884,1.0206474,2.733734E-4,0.06217949,0.12439073,0.12474978,1.0028865,4.1006014E-4
6.2,1.2203569E-4,2.5021084E-4,3.8686336E-4,1.5461495,1.366867E-4,5.2290526E-4,0.0010718931,0.0012084333,1.1273823,1.366867E-4,0.006347804,0.01297271,0.013242537,1.0207996,2.733734E-4,0.061695136,0.12357691,0.123936296,1.0029082,4.1006014E-4
6.3,1.2142645E-4,2.4907055E-4,3.8572322E-4,1.5486504,1.366867E-4,5.202953E-4,0.0010670102,0.0012035511,1.1279658,1.366867E-4,0.006316212,0.012913967,0.01318381,1.0208955,2.733734E-4,0.06139677,0.12307103,0.123430625,1.0029218,4.1006014E-4
6.4,1.1865206E-4,2.44126E-4,3.8077935E-4,1.5597656,1.366867E-4,5.0840975E-4,0.0010458364,0.0011823801,1.1305594,1.366867E-4,0.006172335,0.012659196,0.012929109,1.0213214,2.733734E-4,0.060036868,0.1208638,0.12122431,1.0029827,4.1006014E-4
6.5,1.17443946E-4,2.4205919E-4,3.787128E-4,1.5645463,1.366867E-4,5.032341E-4,0.0010369857,0.0011735306,1.1316749,1.366867E-4,0.006109677,0.012552682,0.012822624,1.0215048,2.733734E-4,0.059444077,0.11993805,0.12029893,1.0030088,4.1006014E-4
6.6,1.13579066E-4,2.3514954E-4,3.718041E-4,1.581139,1.366867E-4,4.866766E-4,0.001007396,0.001143945,1.1355466,1.366867E-4,0.0059092017,0.012196515,0.012466554,1.0221407,2.733734E-4,0.057545185,0.11685214,0.117214285,1.0030992,4.1006014E-4
6.7,1.1271412E-4,2.3359268E-4,3.7024746E-4,1.5850132,1.366867E-4,4.829711E-4,0.0010007289,0.0011372789,1.1364504,1.366867E-4,0.005864331,0.012116249,0.01238631,1.0222892,2.733734E-4,0.057119697,0.116155714,0.11651814,1.0031202,4.1006014E-4
6.8,1.1217975E-4,2.3247694E-4,3.6913189E-4,1.5878215,1.366867E-4,4.8068175E-4,9.959509E-4,0.0011325014,1.1371057,1.366867E-4,0.005836608,0.012058721,0.012328798,1.0223968,2.733734E-4,0.056856725,0.11565396,0.116016604,1.0031356,4.1006014E-4
6.9,1.1146753E-4,2.3096445E-4,3.676196E-4,1.5916718,1.366867E-4,4.7763053E-4,9.894737E-4,0.0011260251,1.1380042,1.366867E-4,0.0057996577,0.011980731,0.0122508295,1.0225444,2.733734E-4,0.056506127,0.11497439,0.115337305,1.0031564,4.1006014E-4
7.0,1.0965793E-4,2.2719789E-4,3.6385356E-4,1.601483,1.366867E-4,4.698779E-4,9.733434E-4,0.001109897,1.1402934,1.366867E-4,0.005705768,0.011786487,0.0120566385,1.0229204,2.733734E-4,0.055614736,0.11327597,0.11363958,1.00321,4.1006014E-4
7.1,9.927982E-5,2.0538924E-4,3.4204786E-4,1.6653641,1.366867E-4,4.2541555E-4,8.7994366E-4,0.0010165101,1.155199,1.366867E-4,0.0051671406,0.010660981,0.01093144,1.025369,2.733734E-4,0.05048634,0.1033706,0.10373827,1.0035568,4.1006014E-4
