Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5590541,0.0,0.29287,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.1181082,0.0,0.3475,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.6771623,0.0,0.38032,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
2.2362163,0.0,0.4046,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
2.7952704,0.0,0.42458,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
3.3543246,0.0,0.44115,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
3.9133787,0.0,0.45549,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
4.4724326,0.0,0.46798,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.031487,0.0,0.47928,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.590541,0.0,0.48944,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.1495953,0.0,0.49846,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.708649,0.0,0.5069,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
7.267703,0.0,0.51465,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
7.8267574,0.0,0.52184,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
8.385812,0.0,0.52874,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
8.944865,0.0,0.53489,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
9.50392,0.0,0.54098,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
10.062974,0.0,0.54653,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
10.622027,0.0,0.55138,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
11.181082,0.0,0.5568,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
11.740136,0.0,0.56139,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
12.2991905,0.0,0.56557,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
12.858244,0.0,0.57001,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
13.417298,0.0,0.57431,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
13.976353,0.0,0.57824,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
14.535406,0.0,0.58198,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
15.0944605,0.0,0.5859,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
15.653515,0.0,0.59003,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
16.212568,0.0,0.59347,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
16.771624,0.0,0.59682,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
17.330677,0.0,0.60014,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
17.88973,0.0,0.60347,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
18.448786,0.0,0.60654,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
19.00784,0.0,0.6101,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
19.566893,0.0,0.61327,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
20.125948,0.0,0.61652,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
20.685001,0.0,0.61936,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
21.244055,0.0,0.62202,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
21.80311,0.0,0.62473,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
22.362164,0.0,0.62706,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
22.921219,0.0,0.62973,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
23.480272,0.0,0.63233,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
24.039326,0.0,0.63489,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
24.598381,0.0,0.63717,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
25.157434,0.0,0.63955,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
25.716488,0.0,0.64189,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
26.275543,0.0,0.64413,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
26.834597,0.0,0.64629,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
27.39365,0.0,0.64855,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
27.952705,0.0,0.65075,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
28.511759,0.0,0.65268,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
29.070812,0.0,0.65476,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
29.629868,0.0,0.65673,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
30.188921,0.0,0.65876,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
30.747974,0.0,0.66068,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
31.30703,0.0,0.66253,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
31.866083,0.0,0.66417,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
32.425137,0.0,0.6661,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
32.98419,0.0,0.66787,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
33.543247,0.0,0.66975,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
34.1023,0.0,0.67143,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
34.661354,0.0,0.67328,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
35.22041,0.0,0.67488,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
35.77946,0.0,0.67657,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
36.338516,0.0,0.67805,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
36.89757,0.0,0.67978,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
37.456623,0.0,0.68151,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
38.01568,0.0,0.68313,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
38.574734,0.0,0.68464,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
39.133785,0.0,0.68633,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
39.69284,0.0,0.68785,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
40.251896,0.0,0.68939,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
40.810947,0.0,0.69098,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
41.370003,0.0,0.6925,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
41.929058,0.0,0.69381,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
42.48811,0.0,0.69528,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
43.047165,0.0,0.69674,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
43.60622,0.0,0.69809,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
44.16527,0.0,0.69968,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
44.724327,0.0,0.70106,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
45.283382,0.0,0.70239,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
45.842438,0.0,0.70348,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
46.40149,0.0,0.70464,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
46.960545,0.0,0.70621,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
47.5196,0.0,0.70739,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
48.07865,0.0,0.70849,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0
