Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2177.0,3535.5051,3189.0,2945.0,2418.0,17133.0,2664.0,2860.0,3997.0,7064.0
2.6,1808.0,2808.1233,2534.0,2415.0,1878.0,13617.0,2111.0,2270.0,3176.0,5609.0
2.7,1515.0,2230.482,2014.0,1876.0,1460.0,10881.0,1671.0,1801.0,2525.0,4458.0
2.8,1220.0,1771.6207,1600.0,1528.0,1152.0,8593.0,1323.0,1429.0,2007.0,3538.0
2.9,1024.0,1407.158,1272.0,1193.0,925.0,6784.0,1046.0,1134.0,1595.0,2812.0
3.0,877.0,1117.6677,1011.0,942.0,715.0,5411.0,827.0,899.0,1268.0,2237.0
3.1,730.0,887.69165,803.0,744.0,565.0,4314.0,653.0,713.0,1008.0,1776.0
3.2,624.0,705.0561,639.0,592.0,434.0,3412.0,515.0,564.0,803.0,1412.0
3.3,503.0,559.9759,508.0,469.0,334.0,2666.0,405.0,447.0,639.0,1124.0
3.4,426.0,444.70035,404.0,386.0,256.0,2111.0,318.0,353.0,508.0,893.0
3.5,326.0,353.16867,321.0,309.0,200.0,1704.0,250.0,279.0,405.0,711.0
3.6,234.0,280.4732,255.0,242.0,150.0,1344.0,195.0,221.0,323.0,565.0
3.7,168.0,222.7445,203.0,194.0,118.0,1058.0,153.0,174.0,258.0,449.0
3.8,139.0,176.85902,161.0,148.0,87.0,835.0,119.0,137.0,206.0,358.0
3.9,109.0,140.4458,128.0,119.0,65.0,646.0,92.0,108.0,165.0,286.0
4.0,83.0,111.50363,102.0,96.0,48.0,524.0,71.0,85.0,132.0,227.0
4.1,63.0,88.49708,81.0,74.0,32.0,420.0,55.0,66.0,106.0,181.0
4.2,50.0,70.23626,64.0,61.0,24.0,332.0,42.0,52.0,85.0,144.0
4.3,44.0,55.72863,51.0,49.0,16.0,269.0,32.0,40.0,68.0,115.0
4.4,35.0,44.20749,41.0,38.0,10.0,217.0,24.0,31.0,55.0,92.0
4.5,29.0,35.03521,32.0,31.0,8.0,180.0,18.0,24.0,44.0,73.0
4.6,19.0,27.7666,26.0,23.0,4.0,144.0,13.0,19.0,36.0,59.0
4.7,13.0,21.98519,20.0,19.0,2.0,112.0,10.0,14.0,29.0,47.0
4.8,10.0,17.39268,16.0,14.0,1.0,93.0,7.0,11.0,23.0,38.0
4.9,5.0,13.752,13.0,11.0,0.0,81.0,5.0,8.0,19.0,30.0
5.0,3.0,10.85069,10.0,9.0,0.0,64.0,3.0,6.0,15.0,25.0
5.1,2.0,8.55457,8.0,7.0,0.0,55.0,2.0,5.0,12.0,20.0
5.2,2.0,6.7407,6.0,5.0,0.0,41.0,1.0,3.0,10.0,16.0
5.3,2.0,5.28925,5.0,4.0,0.0,35.0,1.0,2.0,8.0,13.0
5.4,2.0,4.13696,4.0,3.0,0.0,27.0,0.0,2.0,7.0,11.0
5.5,1.0,3.22257,3.0,2.0,0.0,23.0,0.0,1.0,5.0,9.0
5.6,0.0,2.49062,2.0,1.0,0.0,19.0,0.0,1.0,4.0,7.0
5.7,0.0,1.91848,2.0,1.0,0.0,16.0,0.0,0.0,3.0,6.0
5.8,0.0,1.45987,1.0,1.0,0.0,14.0,0.0,0.0,3.0,5.0
5.9,0.0,1.10184,1.0,0.0,0.0,12.0,0.0,0.0,2.0,4.0
