Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0708583E-5,3.3095846E-5,0.004349022,131.40688,0.004316069,1.3160157E-4,1.4183241E-4,0.006164503,43.46329,0.006023525,0.0016010714,0.0017255784,0.011715898,6.7895484,0.010007589,0.015895851,0.017135633,0.03032813,1.7698867,0.0134225
6.1,3.0708583E-5,3.3095846E-5,0.004349022,131.40688,0.004316069,1.3160157E-4,1.4183241E-4,0.006164503,43.46329,0.006023525,0.0016010714,0.0017255784,0.011715898,6.7895484,0.010007589,0.015895851,0.017135633,0.03032813,1.7698867,0.0134225
6.2,1.1707779E-5,1.2545122E-5,9.6111983E-4,76.61303,9.485866E-4,5.017523E-5,5.3763757E-5,0.0013817135,25.699722,0.0013280213,6.107122E-4,6.5438676E-4,0.0033560893,5.1286025,0.0027034718,0.006090366,0.0065255696,0.0101537965,1.5560015,0.0036520585
6.3,1.1707779E-5,1.2545122E-5,9.6111983E-4,76.61303,9.485866E-4,5.017523E-5,5.3763757E-5,0.0013817135,25.699722,0.0013280213,6.107122E-4,6.5438676E-4,0.0033560893,5.1286025,0.0027034718,0.006090366,0.0065255696,0.0101537965,1.5560015,0.0036520585
6.4,7.929244E-6,8.480098E-6,7.1991404E-4,84.89454,7.1143993E-4,3.3982033E-5,3.6342793E-5,0.0010323225,28.405151,9.96016E-4,4.136527E-4,4.423877E-4,0.0023387216,5.286588,0.0018971732,0.0041288356,0.0044154758,0.006965351,1.5774859,0.0025611839
6.5,5.8832115E-6,6.285991E-6,4.3314727E-4,68.90676,4.2686396E-4,2.521352E-5,2.6939697E-5,6.435044E-4,23.886845,6.165813E-4,3.0693135E-4,3.27944E-4,0.0015132884,4.614472,0.0011857332,0.0030650778,0.0032748538,0.004787622,1.4619346,0.0015177386
6.6,5.8832115E-6,6.285991E-6,4.3314727E-4,68.90676,4.2686396E-4,2.521352E-5,2.6939697E-5,6.435044E-4,23.886845,6.165813E-4,3.0693135E-4,3.27944E-4,0.0015132884,4.614472,0.0011857332,0.0030650778,0.0032748538,0.004787622,1.4619346,0.0015177386
6.7,3.0715053E-6,3.2814662E-6,1.9299817E-4,58.814613,1.8971732E-4,1.3163528E-5,1.4063357E-5,2.512067E-4,17.862497,2.3714665E-4,1.6025416E-4,1.7120909E-4,7.876848E-4,4.6007185,6.165813E-4,0.0016013865,0.0017108864,0.0025158054,1.4704691,8.0629863E-4
6.8,2.2722281E-6,2.4287538E-6,2.4287538E-6,1.0,0.0,9.738084E-6,1.0408908E-5,5.7837744E-5,5.5565624,4.742933E-5,1.1855473E-4,1.26722E-4,4.5868524E-4,3.619618,3.3200532E-4,0.001184915,0.0012665876,0.0017402802,1.3739911,4.742933E-4
6.9,9.952399E-7,1.0653489E-6,1.0653489E-6,1.0,0.0,4.265307E-6,4.5657757E-6,4.5657757E-6,1.0,0.0,5.1928873E-5,5.5587418E-5,2.4529418E-4,4.4127645,1.8971732E-4,5.191674E-4,5.557858E-4,8.4020355E-4,1.5117401,2.8457597E-4
7.0,4.7385504E-7,5.0755597E-7,5.0755597E-7,1.0,0.0,2.0308057E-6,2.1752398E-6,2.1752398E-6,1.0,0.0,2.4724779E-5,2.6483543E-5,1.2133969E-4,4.5817013,9.485866E-5,2.4722028E-4,2.6483546E-4,4.5450253E-4,1.7161696,1.8971732E-4
