Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6572556E-5,1.7598066E-5,1.7598066E-5,1.0,0.0,7.102331E-5,7.541821E-5,7.541821E-5,1.0,0.0,8.6436566E-4,9.178488E-4,9.553097E-4,1.0408138,3.7495312E-5,0.0086101135,0.009142512,0.009179665,1.0040637,3.7495312E-5
6.1,1.6572556E-5,1.7598066E-5,1.7598066E-5,1.0,0.0,7.102331E-5,7.541821E-5,7.541821E-5,1.0,0.0,8.6436566E-4,9.178488E-4,9.553097E-4,1.0408138,3.7495312E-5,0.0086101135,0.009142512,0.009179665,1.0040637,3.7495312E-5
6.2,1.1085717E-5,1.1557147E-5,1.1557147E-5,1.0,0.0,4.750935E-5,4.952971E-5,4.952971E-5,1.0,0.0,5.782728E-4,6.028609E-4,6.4033363E-4,1.0621581,3.7495312E-5,0.0057677035,0.0060126255,0.0060498957,1.0061986,3.7495312E-5
6.3,1.0208568E-5,1.0592237E-5,1.0592237E-5,1.0,0.0,4.375027E-5,4.539453E-5,4.539453E-5,1.0,0.0,5.325294E-4,5.5254117E-4,5.900158E-4,1.0678222,3.7495312E-5,0.0053125503,0.0055119814,0.00554927,1.006765,3.7495312E-5
6.4,9.0682315E-6,9.342637E-6,9.342637E-6,1.0,0.0,3.8863272E-5,4.003927E-5,4.003927E-5,1.0,0.0,4.730576E-4,4.8737114E-4,5.248482E-4,1.0768963,3.7495312E-5,0.0047205184,0.004863236,0.004900549,1.0076724,3.7495312E-5
6.5,7.605796E-6,7.748587E-6,7.748587E-6,1.0,0.0,3.259586E-5,3.3207816E-5,3.3207816E-5,1.0,0.0,3.9678233E-4,4.0423148E-4,4.4171166E-4,1.0927196,3.7495312E-5,0.0039607463,0.0040351,0.0040724436,1.0092548,3.7495312E-5
6.6,5.889873E-6,5.8795385E-6,5.8795385E-6,1.0,0.0,2.5242069E-5,2.519778E-5,2.519778E-5,1.0,0.0,3.0727885E-4,3.0673988E-4,3.442237E-4,1.1222006,3.7495312E-5,0.003068543,0.0030631777,0.0031005582,1.0122032,3.7495312E-5
6.7,5.66586E-6,5.641641E-6,5.641641E-6,1.0,0.0,2.428203E-5,2.417824E-5,2.417824E-5,1.0,0.0,2.955936E-4,2.9433038E-4,3.3181466E-4,1.1273544,3.7495312E-5,0.0029520073,0.0029394177,0.0029768029,1.0127186,3.7495312E-5
6.8,5.521556E-6,5.489427E-6,5.489427E-6,1.0,0.0,2.3663597E-5,2.3525903E-5,2.3525903E-5,1.0,0.0,2.880662E-4,2.8639034E-4,3.238749E-4,1.1308863,3.7495312E-5,0.0028769306,0.002860224,0.0028976123,1.0130718,3.7495312E-5
6.9,5.29752E-6,5.2499317E-6,5.2499317E-6,1.0,0.0,2.270346E-5,2.2499513E-5,2.2499513E-5,1.0,0.0,2.7637955E-4,2.7389723E-4,3.1138226E-4,1.1368581,3.7495312E-5,0.0027603607,0.0027356069,0.0027729995,1.0136689,3.7495312E-5
7.0,5.106743E-6,5.0476788E-6,5.0476788E-6,1.0,0.0,2.1885859E-5,2.163273E-5,2.163273E-5,1.0,0.0,2.6642776E-4,2.6334674E-4,3.0083215E-4,1.1423426,3.7495312E-5,0.0026610855,0.0026303562,0.0026677528,1.0142174,3.7495312E-5
7.1,4.8469647E-6,4.770373E-6,4.770373E-6,1.0,0.0,2.0772539E-5,2.0444295E-5,2.0444295E-5,1.0,0.0,2.528763E-4,2.4888094E-4,2.863669E-4,1.1506181,3.7495312E-5,0.0025258875,0.00248603,0.0025234323,1.0150449,3.7495312E-5
7.2,4.545514E-6,4.4481935E-6,4.4481935E-6,1.0,0.0,1.9480629E-5,1.9063547E-5,1.9063547E-5,1.0,0.0,2.3715083E-4,2.3207403E-4,2.6956064E-4,1.1615287,3.7495312E-5,0.0023689792,0.0023183243,0.0023557327,1.0161359,3.7495312E-5
