Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0037822E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,8.587355E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,0.001045009,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.010401085,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.1,2.0037822E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,8.587355E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,0.001045009,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.010401085,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.2,2.0037822E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,8.587355E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,0.001045009,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.010401085,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.3,2.0037822E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,8.587355E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,0.001045009,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.010401085,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.4,1.132487E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,4.8534253E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,5.907443E-4,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.005891764,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.5,1.132487E-5,1.0469162E-6,1.0469162E-6,1.0,0.0,4.8534253E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,5.907443E-4,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.005891764,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.6,9.347473E-6,1.0469162E-6,1.0469162E-6,1.0,0.0,4.0059982E-5,4.486776E-6,4.1981923E-5,9.3568125,3.7495312E-5,4.8762115E-4,5.4625183E-5,9.211845E-5,1.6863732,3.7495312E-5,0.0048655253,5.461226E-4,5.8359746E-4,1.0686198,3.7495312E-5
6.7,7.842647E-6,1.0048342E-6,1.0048342E-6,1.0,0.0,3.361091E-5,4.3064256E-6,4.1801577E-5,9.706792,3.7495312E-5,4.0913603E-4,5.2429517E-5,8.992287E-5,1.715119,3.7495312E-5,0.004083836,5.2417646E-4,5.616521E-4,1.0714943,3.7495312E-5
6.8,6.26597E-6,9.734822E-7,9.734822E-7,1.0,0.0,2.685388E-5,4.17206E-6,4.1667216E-5,9.987205,3.7495312E-5,3.2689696E-4,5.0793697E-5,8.828711E-5,1.7381508,3.7495312E-5,0.003264165,5.078258E-4,5.4530206E-4,1.0737975,3.7495312E-5
6.9,5.258436E-6,9.183254E-7,9.183254E-7,1.0,0.0,2.2535958E-5,3.9356746E-6,4.143084E-5,10.5269985,3.7495312E-5,2.7434074E-4,4.7915833E-5,8.5409345E-5,1.782487,3.7495312E-5,0.0027400232,4.790598E-4,5.1653717E-4,1.0782311,3.7495312E-5
7.0,4.675028E-6,8.6611794E-7,8.6611794E-7,1.0,0.0,2.003568E-5,3.7119291E-6,4.1207102E-5,11.101264,3.7495312E-5,2.4390711E-4,4.5191846E-5,8.268547E-5,1.8296545,3.7495312E-5,0.0024363957,4.518313E-4,4.8930966E-4,1.0829477,3.7495312E-5
7.1,2.8270078E-6,6.8741696E-7,6.8741696E-7,1.0,0.0,1.2115692E-5,2.9460696E-6,4.044127E-5,13.727195,3.7495312E-5,1.4749856E-4,3.5867848E-5,7.3361814E-5,2.0453365,3.7495312E-5,0.001474007,3.586247E-4,3.9610657E-4,1.1045156,3.7495312E-5
7.2,1.6881406E-6,2.2706382E-7,2.2706382E-7,1.0,0.0,7.2348685E-6,9.731303E-7,9.731303E-7,1.0,0.0,8.808096E-5,1.1847799E-5,1.1847799E-5,1.0,0.0,8.8046055E-4,1.1847183E-4,1.1847183E-4,1.0,0.0
7.3,9.086107E-7,1.5266386E-7,1.5266386E-7,1.0,0.0,3.8940398E-6,6.5427355E-7,6.5427355E-7,1.0,0.0,4.7408903E-5,7.965752E-6,7.965752E-6,1.0,0.0,4.739879E-4,7.965475E-5,7.965475E-5,1.0,0.0
7.4,1.9717383E-7,9.003913E-8,9.003913E-8,1.0,0.0,8.450304E-7,3.8588192E-7,3.8588192E-7,1.0,0.0,1.0288197E-5,4.6981027E-6,4.6981027E-6,1.0,0.0,1.028772E-4,4.6980065E-5,4.6980065E-5,1.0,0.0
7.5,1.086975E-7,6.6597195E-8,6.6597195E-8,1.0,0.0,4.6584634E-7,2.8541652E-7,2.8541652E-7,1.0,0.0,5.6716644E-6,3.474941E-6,3.474941E-6,1.0,0.0,5.6715195E-5,3.474889E-5,3.474889E-5,1.0,0.0
7.6,2.4217808E-8,1.5820765E-8,1.5820765E-8,1.0,0.0,1.03790605E-7,6.780328E-8,6.780328E-8,1.0,0.0,1.2636499E-6,8.255046E-7,8.255046E-7,1.0,0.0,1.2636427E-5,8.2550205E-6,8.2550205E-6,1.0,0.0
