Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.916391E-5,4.846144E-5,1.2845756E-4,2.650717,8.0E-5,1.6783454E-4,2.0767706E-4,2.9765838E-4,1.4332751,9.0E-5,0.0020414705,0.002525836,0.0027053813,1.0710835,1.8E-4,0.02022818,0.025002018,0.025206767,1.0081893,2.1E-4
6.1,3.916391E-5,4.846144E-5,1.2845756E-4,2.650717,8.0E-5,1.6783454E-4,2.0767706E-4,2.9765838E-4,1.4332751,9.0E-5,0.0020414705,0.002525836,0.0027053813,1.0710835,1.8E-4,0.02022818,0.025002018,0.025206767,1.0081893,2.1E-4
6.2,3.916391E-5,4.846144E-5,1.2845756E-4,2.650717,8.0E-5,1.6783454E-4,2.0767706E-4,2.9765838E-4,1.4332751,9.0E-5,0.0020414705,0.002525836,0.0027053813,1.0710835,1.8E-4,0.02022818,0.025002018,0.025206767,1.0081893,2.1E-4
6.3,2.5080448E-5,3.1209278E-5,9.120741E-5,2.922445,6.0E-5,1.074832E-4,1.337474E-4,1.9373937E-4,1.4485469,6.0E-5,0.0013078224,0.0016271928,0.0017569812,1.0797622,1.3E-4,0.013001524,0.016156636,0.016294373,1.0085251,1.4E-4
6.4,2.5080448E-5,3.1209278E-5,9.120741E-5,2.922445,6.0E-5,1.074832E-4,1.337474E-4,1.9373937E-4,1.4485469,6.0E-5,0.0013078224,0.0016271928,0.0017569812,1.0797622,1.3E-4,0.013001524,0.016156636,0.016294373,1.0085251,1.4E-4
6.5,2.0924435E-5,2.6196436E-5,7.619512E-5,2.9086065,5.0E-5,8.967307E-5,1.1226571E-4,1.622601E-4,1.4453219,5.0E-5,0.0010912227,0.0013659955,0.0014758452,1.0804174,1.1E-4,0.010858798,0.013577994,0.013696364,1.0087178,1.2E-4
6.6,2.0902167E-5,2.6172534E-5,7.617123E-5,2.9103496,5.0E-5,8.957764E-5,1.1216328E-4,1.6215767E-4,1.4457287,5.0E-5,0.0010900621,0.00136475,0.0014745999,1.0804908,1.1E-4,0.010847305,0.013565691,0.013684063,1.0087259,1.2E-4
6.7,1.8346258E-5,2.3072977E-5,7.3071824E-5,3.1669874,5.0E-5,7.862446E-5,9.888052E-5,1.4887557E-4,1.5056108,5.0E-5,9.568323E-4,0.0012032198,0.0013130873,1.0913113,1.1E-4,0.009527229,0.011968649,0.012087213,1.0099062,1.2E-4
6.8,1.780268E-5,2.2368109E-5,7.236699E-5,3.2352753,5.0E-5,7.6294964E-5,9.5859876E-5,1.4585508E-4,1.5215447,5.0E-5,9.284953E-4,0.0011664834,0.001276355,1.0941905,1.1E-4,0.009246254,0.011605174,0.011723782,1.0102202,1.2E-4
6.9,1.5844284E-5,1.9648765E-5,4.9648177E-5,2.5267835,3.0E-5,6.790231E-5,8.4206345E-5,1.1420382E-4,1.3562376,3.0E-5,8.26397E-4,0.0010247432,0.001114651,1.0877368,9.0E-5,0.008233306,0.01020158,0.01030056,1.0097024,1.0E-4
7.0,1.5015954E-5,1.8550601E-5,4.8550046E-5,2.6171682,3.0E-5,6.43525E-5,7.950023E-5,1.0949784E-4,1.3773274,3.0E-5,7.8321004E-4,9.674984E-4,0.001047421,1.0826075,8.0E-5,0.007804554,0.0096342275,0.009723361,1.0092517,9.0E-5
7.1,1.341035E-5,1.6646125E-5,3.6645793E-5,2.2014608,2.0E-5,5.7471665E-5,7.1338654E-5,9.133723E-5,1.2803329,2.0E-5,6.9949287E-4,8.682145E-4,9.181711E-4,1.0575395,5.0E-5,0.0069729513,0.008649518,0.0087089995,1.0068768,6.0E-5
7.2,1.1195578E-5,1.40566235E-5,3.4056342E-5,2.4227967,2.0E-5,4.7980167E-5,6.0241342E-5,8.024014E-5,1.331978,2.0E-5,5.8400194E-4,7.3320244E-4,7.731731E-4,1.0545152,4.0E-5,0.005824696,0.007308944,0.0073585785,1.0067909,5.0E-5
7.3,9.675513E-6,1.2088249E-5,1.2088249E-5,1.0,0.0,4.1465824E-5,5.180581E-5,5.180581E-5,1.0,0.0,5.0472945E-4,6.305639E-4,6.505512E-4,1.0316976,2.0E-5,0.005035846,0.006288815,0.006318626,1.0047404,3.0E-5
7.4,7.780715E-6,9.648389E-6,9.648389E-6,1.0,0.0,3.3345495E-5,4.134964E-5,4.134964E-5,1.0,0.0,4.059058E-4,5.033248E-4,5.233147E-4,1.0397158,2.0E-5,0.004051652,0.0050227656,0.005052615,1.0059428,3.0E-5
7.5,4.5214815E-6,5.5700034E-6,5.5700034E-6,1.0,0.0,1.9377634E-5,2.3871267E-5,2.3871267E-5,1.0,0.0,2.3589715E-4,2.9060125E-4,3.1059544E-4,1.0688028,2.0E-5,0.002356469,0.0029029332,0.002922875,1.0068696,2.0E-5
7.6,1.5600239E-7,1.8436103E-7,1.8436103E-7,1.0,0.0,6.6858144E-7,7.901185E-7,7.901185E-7,1.0,0.0,8.1399485E-6,9.6196645E-6,9.6196645E-6,1.0,0.0,8.139651E-5,9.6193886E-5,9.6193886E-5,1.0,0.0
